Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,89.33,32522.1666,8.9497,1.1608
2014-01-03,89.16,32460.2751,8.9326,1.1585
2014-01-06,88.92,32372.8988,8.9086,1.1554
2014-01-07,88.4,32183.5836,8.8565,1.1487
2014-01-08,87.58,31885.0481,8.7743,1.138
2014-01-09,87.68,31921.4549,8.7844,1.1393
2014-01-10,87.49,31852.282,8.7653,1.1368
2014-01-13,86.34,31433.6042,8.6501,1.1219
2014-01-14,87.45,31837.7193,8.7613,1.1363
2014-01-15,87.88,31994.2684,8.8044,1.1419
2014-01-16,87.24,31761.2651,8.7403,1.1336
2014-01-17,86.47,31480.933,8.6631,1.1236
2014-01-21,85.0,30047.5,8.5159,1.1045
2014-01-22,84.56,29891.96,8.4718,1.0988
2014-01-23,83.07,29365.245,8.3225,1.0794
2014-01-24,81.61,28849.135,8.1762,1.0604
2014-01-27,82.29,29089.515,8.2443,1.0693
2014-01-28,83.1,29375.85,8.3255,1.0798
2014-01-29,82.21,29061.235,8.2363,1.0682
2014-01-30,82.36,29114.26,8.2514,1.0702
2014-01-31,81.28,28732.48,8.1432,1.0562
2014-02-03,80.26,28371.91,8.041,1.0429
2014-02-04,80.35,28403.725,8.05,1.0441
2014-02-05,80.44,28435.54,8.059,1.0452
2014-02-06,80.69,28523.915,8.084,1.0485
2014-02-07,80.88,28591.08,8.1031,1.051
2014-02-10,82.35,29110.725,8.2504,1.0701
2014-02-11,83.21,29414.735,8.3365,1.0812
2014-02-12,82.26,29078.91,8.2413,1.0689
2014-02-13,82.88,29200.8741,8.3035,1.0769
2014-02-14,84.02,29602.527,8.4177,1.0918
2014-02-18,84.37,29725.8415,8.4527,1.0963
2014-02-19,84.01,29599.0037,8.4167,1.0916
2014-02-20,83.81,29528.5383,8.3966,1.089
2014-02-21,83.79,29521.4918,8.3946,1.0888
2014-02-24,83.44,29398.1773,8.3596,1.0842
2014-02-25,83.34,29362.9446,8.3495,1.0829
2014-02-26,83.43,29394.654,8.3586,1.0841
2014-02-27,83.85,29542.6314,8.4006,1.0895
2014-02-28,83.84,29539.1081,8.3996,1.0894
2014-03-03,83.18,29306.5722,8.3335,1.0808
2014-03-04,84.11,29634.2365,8.4267,1.0929
2014-03-05,84.37,29725.8415,8.4527,1.0963
2014-03-06,84.4,29736.4113,8.4557,1.0967
