Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,15.36,10720.2867,40.7427,8.6017
2014-01-03,15.296,10675.6189,40.5729,8.5659
2014-01-06,15.092,10533.24,40.0318,8.4516
2014-01-07,15.186,10598.846,40.2812,8.5043
2014-01-08,15.27,10657.4725,40.504,8.5513
2014-01-09,15.34,10706.328,40.6897,8.5905
2014-01-10,15.316,10689.5776,40.626,8.5771
2014-01-13,14.68,10245.6907,38.939,8.2209
2014-01-14,14.87,10378.2984,39.443,8.3273
2014-01-15,15.036,10494.1557,39.8833,8.4203
2014-01-16,14.862,10372.7149,39.4218,8.3228
2014-01-17,14.834,10353.1727,39.3475,8.3072
2014-01-21,14.582,10177.293,38.679,8.166
2014-01-22,14.632,10212.1898,38.8117,8.194
2014-01-23,14.374,10032.1225,38.1273,8.0495
2014-01-24,14.036,9796.2203,37.2308,7.8603
2014-01-27,14.092,9835.3047,37.3793,7.8916
2014-01-28,14.136,9866.0139,37.496,7.9163
2014-01-29,13.799,9630.8097,36.6021,7.7275
2014-01-30,13.492,9416.5435,35.7878,7.5556
2014-01-31,13.302,9283.9358,35.2838,7.4492
2014-02-03,12.684,8852.6118,33.6446,7.1031
2014-02-04,12.71,8870.7581,33.7135,7.1177
2014-02-05,12.748,8897.2796,33.8143,7.139
2014-02-06,13.02,9087.118,34.5358,7.2913
2014-02-07,13.304,9285.3317,35.2891,7.4503
2014-02-10,13.204,9215.5381,35.0239,7.3943
2014-02-11,13.134,9166.6827,34.8382,7.3551
2014-02-12,13.2,9212.7464,35.0133,7.3921
2014-02-13,13.236,9237.8721,35.1088,7.4123
2014-02-14,13.14,9170.8703,34.8541,7.3585
2014-02-18,13.306,9286.7275,35.2944,7.4515
2014-02-19,13.124,9157.881,34.8117,7.3495
2014-02-20,13.154,9178.8149,34.8912,7.3663
2014-02-21,13.28,9266.7372,35.2255,7.4369
2014-02-24,13.354,9318.3742,35.4218,7.4783
2014-02-25,13.84,9657.5033,36.7109,7.7505
2014-02-26,14.092,9833.348,37.3793,7.8916
2014-02-27,14.064,9813.8097,37.305,7.8759
2014-02-28,14.112,9847.3039,37.4324,7.9028
2014-03-03,14.03,9790.0846,37.2149,7.8569
2014-03-04,14.348,10011.9839,38.0584,8.035
2014-03-05,14.348,10011.9839,38.0584,8.035
