Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,10.0067,18401.3482,,27.6951
2014-01-03,9.9707,18335.1475,,27.5955
2014-01-06,9.8,18021.307,,27.1231
2014-01-07,9.9573,18310.6287,,27.5586
2014-01-08,10.0853,18546.009,,27.9128
2014-01-09,9.8353,18086.2818,,27.2209
2014-01-10,9.7147,17864.3715,,26.8869
2014-01-13,9.2893,17082.2376,,25.7098
2014-01-14,10.7513,19770.7224,,29.7561
2014-01-15,10.942,20121.341,,30.2838
2014-01-16,11.398,20959.8834,,31.5458
2014-01-17,11.334,20842.1933,,31.3687
2014-01-21,11.7787,21659.8948,,32.5994
2014-01-22,11.904,21890.3713,,32.9463
2014-01-23,12.1,22250.7975,,33.4887
2014-01-24,11.64,21404.8994,,32.2156
2014-01-27,11.308,20794.3816,,31.2968
2014-01-28,11.892,21868.3044,,32.9131
2014-01-29,11.682,21482.1336,,32.3319
2014-01-30,12.1893,22415.0733,,33.736
2014-01-31,12.094,22239.764,,33.4721
2014-02-03,11.8073,21712.6101,,32.6787
2014-02-04,11.9153,21911.2123,,32.9777
2014-02-05,11.628,21382.8325,,32.1824
2014-02-06,11.892,21868.3044,,32.9131
2014-02-07,12.4353,22867.4449,,34.4168
2014-02-10,13.104,24097.062,,36.2675
2014-02-11,13.108,24104.4176,,36.2786
2014-02-12,13.0213,23945.0455,,36.0387
2014-02-13,13.3087,24473.4253,,36.8339
2014-02-14,13.2153,24301.7938,,36.5756
2014-02-18,13.58,24972.3826,,37.5849
2014-02-19,12.9093,23739.0877,,35.7287
2014-02-20,13.998,25741.0465,,38.7418
2014-02-21,13.9733,25695.6868,,38.6735
2014-02-24,14.51,26682.5679,,40.1588
2014-02-25,16.5333,30403.2935,,45.7587
2014-02-26,16.8667,31167.5609,,46.6813
2014-02-27,16.836,31110.8926,,46.5964
2014-02-28,16.3207,30158.6189,,45.1701
2014-03-03,16.704,30866.9726,,46.2311
2014-03-04,16.9893,31394.2341,,47.0208
2014-03-05,16.844,31125.6756,,46.6186
2014-03-06,16.8627,31160.1694,,46.6702
2014-03-07,16.414,30331.0876,,45.4285
2014-03-10,15.9227,29423.163,,44.0686
2014-03-11,15.6273,28877.4227,,43.2512
2014-03-12,16.0993,29749.6217,,44.5576
2014-03-13,15.8527,29293.8115,,43.8749
2014-03-14,15.398,28453.6425,,42.6165
2014-03-17,15.5987,28824.4502,,43.1719
2014-03-18,16.0027,29570.9934,,44.29
2014-03-19,15.7227,29053.5872,,43.5151
2014-03-20,15.6607,28939.0187,,43.3435
2014-03-21,15.2593,28197.4032,,42.2327
2014-03-24,14.678,27123.1695,,40.6238
2014-03-25,14.696,27156.4313,,40.6736
2014-03-26,14.1973,26234.9556,,39.2935
2014-03-27,13.8213,25540.1531,,38.2528
2014-03-28,14.158,26162.2724,,39.1846
2014-03-31,13.8967,25679.36,,26.3303
2014-04-01,14.4647,26728.9553,,27.4065
2014-04-02,15.3527,28369.8719,,29.089
2014-04-03,15.0267,27767.4633,,28.4713
2014-04-04,14.1483,26144.4095,,26.8071
2014-04-07,13.8347,25564.7915,,26.2128
2014-04-08,14.364,26542.9355,,27.2158
2014-04-09,14.462,26724.0276,,27.4014
2014-04-10,13.6127,25154.5623,,25.7922
2014-04-11,13.5853,25104.0536,,25.7404
2014-04-14,13.206,24403.0915,,25.0217
2014-04-15,12.9273,23888.1491,,24.4937
2014-04-16,13.274,24528.7472,,25.1505
2014-04-17,13.208,24406.7872,,25.0255
2014-04-21,13.6253,25177.9688,,25.8162
2014-04-22,14.576,26934.6858,,27.6174
2014-04-23,13.866,25622.6917,,26.2722
