Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,33.17,11404.4304,12.272,1.7944
2014-01-03,33.42,11490.3848,12.3645,1.8079
2014-01-06,33.2,11414.745,12.2831,1.796
2014-01-07,33.31,11452.5649,12.3238,1.802
2014-01-08,33.92,11662.2936,12.5495,1.835
2014-01-09,34.6,11896.0896,12.8011,1.8718
2014-01-10,34.84,11978.6059,12.8899,1.8847
2014-01-13,33.9,11655.4173,12.5421,1.8339
2014-01-14,34.47,11851.3933,12.753,1.8647
2014-01-15,34.78,11957.9768,12.8677,1.8815
2014-01-16,35.04,12047.3694,12.9639,1.8956
2014-01-17,35.04,12047.3694,12.9639,1.8956
2014-01-21,34.99,12030.1785,12.9454,1.8929
2014-01-22,35.58,12233.0309,13.1636,1.9248
2014-01-23,35.46,12191.7728,13.1193,1.9183
2014-01-24,34.77,11954.5386,12.864,1.881
2014-01-27,34.65,11913.2805,12.8196,1.8745
2014-01-28,34.66,11916.7187,12.8233,1.875
2014-01-29,34.39,11823.8879,12.7234,1.8604
2014-01-30,34.49,11858.2697,12.7604,1.8658
2014-01-31,37.4,12726.6934,13.837,2.0232
2014-02-03,36.02,12257.0988,13.3264,1.9486
2014-02-04,35.47,12069.9416,13.123,1.9188
2014-02-05,35.59,12110.7759,13.1673,1.9253
2014-02-06,35.7,12148.2073,13.208,1.9313
2014-02-07,36.09,12280.9188,13.3523,1.9524
2014-02-10,36.5,12420.4361,13.504,1.9745
2014-02-11,36.76,12508.9104,13.6002,1.9886
2014-02-12,36.89,12553.1476,13.6483,1.9956
2014-02-13,37.47,12750.5134,13.8629,2.027
2014-02-14,37.73,12838.9877,13.9591,2.0411
2014-02-18,38.34,13046.5621,14.1848,2.0741
2014-02-19,38.29,13029.5478,14.1663,2.0714
2014-02-20,39.17,13328.9995,14.4919,2.119
2014-02-21,38.91,13240.5251,14.3957,2.1049
2014-02-24,38.86,13223.5108,14.3772,2.1022
2014-02-25,38.93,13247.3308,14.4031,2.106
2014-02-26,39.11,13308.5823,14.4697,2.1157
2014-02-27,38.91,13240.5251,14.3957,2.1049
2014-02-28,39.45,13424.2795,14.5954,2.1341
2014-03-03,38.81,13206.4965,14.3587,2.0995
2014-03-04,39.6,13475.3224,14.6509,2.1422
2014-03-05,40.42,13754.3569,14.9543,2.1866
2014-03-06,40.17,13669.2854,14.8618,2.1731
2014-03-07,40.27,13703.314,14.8988,2.1785
2014-03-10,40.19,13676.0911,14.8692,2.1742
2014-03-11,39.74,13522.9624,14.7027,2.1498
2014-03-12,40.47,13771.3711,14.9728,2.1893
2014-03-13,40.47,13771.3711,14.9728,2.1893
2014-03-14,41.48,14115.0599,15.3465,2.2439
2014-03-17,41.67,14179.7143,15.4168,2.2542
2014-03-18,42.33,14404.303,15.661,2.2899
2014-03-19,41.91,14261.3829,15.5056,2.2672
2014-03-20,42.29,14390.6915,15.6462,2.2878
2014-03-21,42.37,14417.9144,15.6758,2.2921
2014-03-24,42.37,14417.9144,15.6758,2.2921
2014-03-25,42.43,14438.3316,15.698,2.2953
2014-03-26,42.87,14588.0574,15.8608,2.3191
2014-03-27,42.87,14588.0574,15.8608,2.3191
2014-03-28,43.15,14683.3374,15.841,2.3399
2014-03-31,44.01,14975.9833,16.1568,2.3865
2014-04-01,43.45,14785.4232,15.9512,2.3561
2014-04-02,41.44,14101.4485,15.2133,2.2471
2014-04-03,41.99,14288.6057,15.4152,2.277
2014-04-04,41.22,14026.5856,15.1325,2.2352
2014-04-07,41.02,13958.5284,15.0591,2.2244
2014-04-08,41.59,14152.4914,15.2683,2.2553
2014-04-09,42.29,14390.6915,15.5253,2.2932
2014-04-10,41.32,14060.6142,15.1692,2.2406
2014-04-11,41.67,14179.7143,15.2977,2.2596
2014-04-14,42.38,14421.3173,15.5584,2.2981
2014-04-15,42.44,14441.7344,15.5804,2.3014
2014-04-16,42.75,14547.223,15.6942,2.3182
2014-04-17,42.65,14513.1945,15.6575,2.3127
2014-04-21,43.03,14642.5031,15.797,2.3334
2014-04-22,43.2,14700.3517,15.8594,2.3426
2014-04-23,43.25,14717.366,15.8778,2.3453
2014-04-24,42.5,14462.1516,15.6024,2.3046
2014-04-25,42.43,14438.3316,15.5767,2.3008
2014-04-28,42.52,14468.9573,15.6098,2.3057
2014-04-29,41.8,14223.9514,15.3454,2.2667
2014-04-30,41.97,14281.8,15.4079,2.2759
2014-05-01,42.41,14431.5258,15.5694,2.2997
2014-05-02,42.65,14513.1945,15.6575,2.3127
2014-05-05,38.44,13393.1152,14.1119,2.0845
2014-05-06,38.25,13326.9161,14.0422,2.0742
2014-05-07,39.23,13668.3639,14.402,2.1273
2014-05-08,39.16,13643.9748,14.3763,2.1235
2014-05-09,39.43,13738.0471,14.4754,2.1381
2014-05-12,39.83,13877.4135,14.6222,2.1598
2014-05-13,40.1,13971.4859,14.7213,2.1745
2014-05-14,40.15,13988.9067,14.7397,2.1772
2014-05-15,40.6,14145.694,14.9049,2.2016
2014-05-16,40.9,14250.2188,15.015,2.2179
2014-05-19,40.97,14274.6079,15.0407,2.2216
2014-05-20,40.64,14159.6306,14.9196,2.2038
2014-05-21,39.78,13859.9927,14.6039,2.1571
2014-05-22,39.13,13633.5223,14.3652,2.1219
2014-05-23,39.72,13839.0878,14.5818,2.1539
2014-05-27,41.54,14473.2051,15.25,2.2526
2014-05-28,40.75,14197.9564,14.96,2.2097
2014-05-29,43.25,15068.9966,15.8778,2.3453
2014-05-30,42.46,14793.7479,15.5877,2.3024
2014-06-02,43.4,15121.2591,15.9328,2.3534
2014-06-03,42.08,14661.3498,15.4482,2.2818
2014-06-04,41.43,14434.8793,15.2096,2.2466
2014-06-05,40.9,14250.2188,15.015,2.2179
2014-06-06,40.12,13978.4542,14.7287,2.1756
2014-06-09,37.5,13065.604,13.7668,2.0335
2014-06-10,36.07,12567.369,13.2419,1.9559
2014-06-11,36.09,12574.3373,13.2492,1.957
2014-06-12,35.17,12253.7945,12.9115,1.9071
2014-06-13,35.43,12344.3827,13.0069,1.9212
2014-06-16,35.15,12246.8262,12.9041,1.9061
2014-06-17,35.47,12358.3193,13.0216,1.9234
2014-06-18,36.04,12556.9165,13.2309,1.9543
2014-06-19,35.97,12532.5274,13.2052,1.9505
2014-06-20,36.44,12696.2829,13.3777,1.976
2014-06-23,36.27,12637.0522,13.3153,1.9668
2014-06-24,36.03,12553.4323,13.2272,1.9538
2014-06-25,36.38,12675.378,13.3557,1.9728
2014-06-26,37.03,12901.8484,13.5943,2.008
2014-06-27,37.44,13044.6991,14.0124,1.9688
2014-06-30,37.54,13079.5407,14.0499,1.974
2014-07-01,37.87,13194.518,14.1734,1.9914
2014-07-02,38.96,13574.2915,14.5813,2.0487
2014-07-03,38.51,13417.5043,14.4129,2.025
2014-07-07,39.02,13595.1965,14.6038,2.0518
2014-07-08,39.24,13671.848,14.6861,2.0634
2014-07-09,38.81,13522.0291,14.5252,2.0408
2014-07-10,39.13,13633.5223,14.6449,2.0576
2014-07-11,39.68,13825.1511,14.8508,2.0865
2014-07-14,39.85,13884.3819,14.9144,2.0955
2014-07-15,39.26,13678.8164,14.6936,2.0645
2014-07-16,39.23,13668.3639,14.6824,2.0629
2014-07-17,39.06,13609.1331,14.6187,2.0539
2014-07-18,39.48,13755.4679,14.7759,2.076
2014-07-21,38.76,13504.6083,14.5065,2.0382
2014-07-22,39.54,13776.3729,14.7984,2.0792
2014-07-23,39.29,13689.2689,14.7048,2.066
2014-07-24,39.77,13856.5086,14.8845,2.0913
2014-07-25,39.54,13776.3729,14.7984,2.0792
2014-07-28,40.56,14131.7449,15.1801,2.1328
2014-07-29,39.17,13647.4589,14.6599,2.0597
2014-07-30,38.2,13309.4953,14.2969,2.0087
2014-07-31,37.21,14147.8413,13.9263,1.9567
2014-08-01,37.05,15092.7998,13.8665,1.9483
2014-08-04,37.24,15170.1988,13.9376,1.9582
2014-08-05,36.74,14966.5173,13.7504,1.932
2014-08-06,37.13,15125.3889,13.8964,1.9525
2014-08-07,36.39,13955.5032,13.6195,1.9135
2014-08-08,36.87,14139.5824,13.7991,1.9388
2014-08-11,37.31,14308.3217,13.9638,1.9619
2014-08-12,37.37,14331.3316,13.9862,1.9651
2014-08-13,37.66,14442.5461,14.0948,1.9803
2014-08-14,37.59,14415.7012,14.0686,1.9766
2014-08-15,37.39,14339.0015,13.9937,1.9661
2014-08-18,37.32,14312.1566,13.9675,1.9624
2014-08-19,37.56,14404.1962,14.0573,1.9751
2014-08-20,37.42,14350.5065,14.0049,1.9677
2014-08-21,37.45,14362.0114,14.0162,1.9693
2014-08-22,37.02,14197.1072,13.8552,1.9467
2014-08-25,37.46,14365.8464,14.0199,1.9698
2014-08-26,37.22,14273.8068,13.9301,1.9572
2014-08-27,37.71,14461.721,14.1135,1.983
2014-08-28,38.04,14588.2754,14.237,2.0003
2014-08-29,38.06,14595.9454,14.2445,2.0014
2014-09-02,38.37,14714.8299,14.3605,2.0177
2014-09-03,37.79,14492.4008,14.1434,1.9872
2014-09-04,37.39,14339.0015,13.9937,1.9661
2014-09-05,37.89,14530.7507,14.1808,1.9924
2014-09-08,38.32,14695.655,14.3418,2.015
2014-09-09,38.23,14661.1401,14.3081,2.0103
2014-09-10,38.82,14887.4041,14.5289,2.0413
2014-09-11,38.81,14883.5691,14.5252,2.0408
2014-09-12,38.26,14672.6451,14.3193,2.0119
2014-09-15,38.3,14687.985,14.3343,2.014
2014-09-16,39.08,14987.1137,14.6262,2.055
2014-09-17,38.43,14737.8398,14.3829,2.0208
2014-09-18,38.78,14872.0642,14.5139,2.0392
2014-09-19,38.51,14768.5196,14.4129,2.025
2014-09-22,37.87,14523.0807,14.1734,1.9914
2014-09-23,37.23,14277.6418,13.9338,1.9577
