Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,43.1,47175.6701,20.0975,4.3184
2014-01-03,43.29,47383.637,20.1861,4.3374
2014-01-06,42.93,46989.5943,20.0183,4.3014
2014-01-07,42.7,46737.8448,19.911,4.2783
2014-01-08,43.29,47383.637,20.1861,4.3374
2014-01-09,43.06,47131.8875,20.0789,4.3144
2014-01-10,43.11,47186.6157,20.1022,4.3194
2014-01-13,42.24,46234.3458,19.6965,4.2322
2014-01-14,43.34,47438.3652,20.2094,4.3424
2014-01-15,43.54,47657.2778,20.3027,4.3625
2014-01-16,43.37,47471.2021,20.2234,4.3454
2014-01-17,43.45,47558.7671,20.2607,4.3535
2014-01-21,43.85,47996.5924,20.4472,4.3935
2014-01-22,44.61,48828.4604,20.8016,4.4697
2014-01-23,44.09,48259.2875,20.5592,4.4176
2014-01-24,42.95,47011.4856,20.0276,4.3034
2014-01-27,42.64,46672.171,19.883,4.2723
2014-01-28,42.9,46956.7574,20.0043,4.2983
2014-01-29,42.4,46409.4759,19.7711,4.2483
2014-01-30,42.69,46726.8992,19.9063,4.2773
2014-01-31,42.4,46409.4759,19.7711,4.2483
2014-02-03,41.5,45424.3691,19.3514,4.1581
2014-02-04,40.89,44756.6856,19.067,4.097
2014-02-05,40.97,44844.2506,19.1043,4.105
2014-02-06,41.23,45128.837,19.2255,4.131
2014-02-07,41.95,45916.9225,19.5613,4.2032
2014-02-10,42.36,46365.6934,19.7525,4.2442
2014-02-11,43.13,47208.5069,20.1115,4.3214
2014-02-12,43.3,47394.5827,20.1908,4.3384
2014-02-13,43.74,47876.1904,20.396,4.3825
2014-02-14,43.86,48007.538,20.4519,4.3945
2014-02-18,44.01,48171.7225,20.5219,4.4096
2014-02-19,43.93,48084.1574,20.4846,4.4015
2014-02-20,44.2,48379.6895,20.6105,4.4286
2014-02-21,44.15,48324.9613,20.5871,4.4236
2014-02-24,44.45,48193.3118,20.727,4.4536
2014-02-25,44.47,48214.9961,20.7364,4.4557
2014-02-26,44.63,48388.4703,20.811,4.4717
2014-02-27,44.78,48551.1024,20.8809,4.4867
2014-02-28,44.96,48746.261,20.9648,4.5047
2014-03-03,44.58,48334.2596,20.7876,4.4667
2014-03-04,45.26,49071.5252,21.1047,4.5348
2014-03-05,45.18,48984.788,21.0674,4.5268
2014-03-06,45.68,49526.895,21.3006,4.5769
2014-03-07,45.85,49711.2114,21.3798,4.5939
2014-03-10,45.87,49732.8957,21.3892,4.5959
2014-03-11,45.67,49516.0529,21.2959,4.5759
2014-03-12,46.43,50340.0555,21.6503,4.652
2014-03-13,44.99,48778.7874,20.9788,4.5078
2014-03-14,44.31,48041.5219,20.6617,4.4396
2014-03-17,45.27,49082.3673,21.1094,4.5358
2014-03-18,45.4,49223.3151,21.17,4.5488
2014-03-19,45.52,49353.4208,21.226,4.5609
2014-03-20,46.95,50903.8468,21.8928,4.7041
2014-03-21,47.15,51120.6896,21.986,4.7242
2014-03-24,46.57,50491.8455,21.7156,4.6661
2014-03-25,46.69,50621.9512,21.7715,4.6781
2014-03-26,46.39,50296.687,21.6316,4.648
2014-03-27,46.08,49960.5806,21.4871,4.617
2014-03-28,46.64,50567.7405,21.7482,4.6731
2014-03-31,47.16,51131.5317,20.9713,4.7931
2014-04-01,47.53,51532.6909,21.1359,4.8307
2014-04-02,47.62,51630.2702,21.1759,4.8398
2014-04-03,47.69,51706.1651,21.207,4.8469
2014-04-04,46.34,50242.4763,20.6067,4.7097
2014-04-07,46.25,50144.897,20.5667,4.7006
2014-04-08,46.77,50708.6883,20.7979,4.7534
2014-04-09,47.24,51218.2689,21.0069,4.8012
2014-04-10,45.53,49364.2629,20.2465,4.6274
2014-04-11,44.98,48767.9452,20.0019,4.5715
2014-04-14,45.32,49136.578,20.1531,4.606
2014-04-15,45.81,49667.8428,20.371,4.6558
2014-04-16,45.21,49017.3145,20.1042,4.5949
2014-04-17,45.83,49689.5271,20.3799,4.6579
2014-04-21,46.11,49993.107,20.5044,4.6863
2014-04-22,46.59,50513.5298,20.7179,4.7351
2014-04-23,46.46,50372.5819,20.66,4.7219
2014-04-24,48.47,52551.8521,21.5539,4.9262
2014-04-25,46.34,50242.4763,20.6067,4.7097
2014-04-28,45.45,49277.5258,20.2109,4.6193
2014-04-29,46.12,50003.9492,20.5089,4.6874
2014-04-30,45.45,49277.5258,20.2109,4.6193
2014-05-01,45.23,49038.9987,20.1131,4.5969
2014-05-02,45.78,49412.6978,20.3577,4.6528
2014-05-05,45.72,49347.9367,20.331,4.6467
2014-05-06,45.38,48980.9573,20.1798,4.6121
2014-05-07,45.58,49196.8275,20.2687,4.6325
2014-05-08,46.11,49768.8837,20.5044,4.6863
2014-05-09,45.84,49477.4588,20.3843,4.6589
2014-05-12,46.95,50675.5387,20.8779,4.7717
2014-05-13,46.14,49801.2642,20.5177,4.6894
2014-05-14,45.61,49229.2081,20.2821,4.6355
2014-05-15,44.89,48452.0752,19.9619,4.5623
2014-05-16,44.99,48560.0103,20.0064,4.5725
2014-05-19,45.6,49218.4146,20.2776,4.6345
2014-05-20,45.71,49337.1432,20.3265,4.6457
2014-05-21,45.65,49272.3821,20.2999,4.6396
2014-05-22,46.14,49801.2642,20.5177,4.6894
2014-05-23,46.25,49919.9928,20.5667,4.7006
2014-05-27,46.35,50027.9279,20.6111,4.7107
2014-05-28,46.46,50146.6566,20.66,4.7219
2014-05-29,46.66,50362.5268,20.749,4.7422
2014-05-30,46.98,50707.9192,20.8913,4.7748
2014-06-02,46.99,50718.7127,20.8957,4.7758
2014-06-03,46.99,50718.7127,20.8957,4.7758
2014-06-04,46.85,50567.6035,20.8335,4.7615
2014-06-05,47.4,51161.2467,21.078,4.8174
2014-06-06,47.5,51269.1818,21.1225,4.8276
2014-06-09,47.88,51679.3353,21.2915,4.8662
2014-06-10,47.97,51776.4769,21.3315,4.8754
2014-06-11,48.09,51905.999,21.3849,4.8876
2014-06-12,48.14,51959.9666,21.4071,4.8927
2014-06-13,48.33,52165.0433,21.4916,4.912
2014-06-16,48.13,51949.1731,21.4027,4.8916
2014-06-17,48.26,52089.4887,21.4605,4.9048
2014-06-18,47.87,51668.5418,21.2871,4.8652
2014-06-19,47.91,51711.7158,21.3048,4.8693
2014-06-20,47.94,51744.0964,21.3182,4.8723
2014-06-23,48.08,51895.2055,21.3804,4.8866
2014-06-24,47.71,51495.8456,21.2159,4.8489
2014-06-25,48.04,51852.0315,21.3626,4.8825
2014-06-26,47.79,51582.1937,21.2515,4.8571
2014-06-27,47.76,51549.8131,21.2381,4.854
2014-06-30,47.79,51582.1937,21.0991,4.8747
2014-07-01,48.49,52337.7395,21.4082,4.9461
2014-07-02,48.51,52359.3265,21.417,4.9481
2014-07-03,48.95,52834.2411,21.6112,4.993
2014-07-07,48.92,52801.8605,21.598,4.99
2014-07-08,48.85,52726.3059,21.5671,4.9828
2014-07-09,49.28,53190.427,21.7569,5.0267
2014-07-10,48.995,52882.8119,21.6311,4.9976
2014-07-11,49.29,53201.2205,21.7613,5.0277
2014-07-14,48.92,52801.8605,21.598,4.99
2014-07-15,48.66,52521.2292,21.4832,4.9634
2014-07-16,49.05,52942.1762,21.6554,5.0032
2014-07-17,48.15,51970.7601,21.258,4.9114
2014-07-18,48.82,52693.9254,21.5538,4.9797
2014-07-21,49.17,52491.706,21.7084,5.0155
2014-07-22,49.12,52438.3282,21.6863,5.0104
2014-07-23,48.195,51450.8393,21.2779,4.916
2014-07-24,47.86,51093.2082,21.13,4.8818
2014-07-25,46.82,49982.9505,20.6709,4.7757
2014-07-28,47.35,50548.7549,20.9048,4.8298
2014-07-29,46.77,49929.5727,20.6488,4.7706
2014-07-30,47.23,50420.6482,20.8519,4.8176
2014-07-31,46.25,49374.4438,20.4192,4.7176
2014-08-01,46.24,49363.7683,20.4148,4.7166
2014-08-04,46.39,49523.9016,20.481,4.7319
2014-08-05,45.99,49096.8794,20.3044,4.6911
2014-08-06,46.17,49289.0394,20.3839,4.7094
2014-08-07,45.67,48755.2616,20.1631,4.6584
2014-08-08,46.33,49459.8483,20.4545,4.7258
2014-08-11,46.5,49641.3327,20.5296,4.7431
2014-08-12,46.665,49817.4794,20.6024,4.7599
2014-08-13,47.08,50260.5149,20.7856,4.8023
2014-08-14,47.26,50452.6749,20.8651,4.8206
2014-08-15,47.56,50772.9416,20.9976,4.8512
2014-08-18,47.56,50772.9416,20.9976,4.8512
2014-08-19,47.69,50911.7238,21.055,4.8645
2014-08-20,47.88,51114.5594,21.1388,4.8839
2014-08-21,48.17,51424.1505,21.2669,4.9134
2014-08-22,48.02,51264.0171,21.2006,4.8981
2014-08-25,47.37,50570.106,20.9137,4.8318
2014-08-26,47.49,50698.2127,20.9667,4.8441
2014-08-27,47.78,51007.8038,21.0947,4.8737
2014-08-28,48.02,51264.0171,21.2006,4.8981
2014-08-29,48.18,51434.826,21.2713,4.9145
2014-09-02,47.905,51141.2482,21.1499,4.8864
2014-09-03,48.35,51616.3105,21.3463,4.9318
2014-09-04,48.25,51509.5549,21.3022,4.9216
2014-09-05,48.58,51861.8482,21.4479,4.9553
2014-09-08,48.49,51765.7682,21.4082,4.9461
2014-09-09,48.28,51541.5816,21.3154,4.9247
2014-09-10,47.99,51231.9905,21.1874,4.8951
2014-09-11,48.15,51402.7993,21.258,4.9114
2014-09-12,47.83,51061.1816,21.1168,4.8788
2014-09-15,47.59,50804.9682,21.0108,4.8543
2014-09-16,47.92,51157.2616,21.1565,4.8879
2014-09-17,48.37,51637.6616,21.3552,4.9338
2014-09-18,48.98,52288.8704,21.6245,4.9961
2014-09-19,48.75,52043.3327,21.5229,4.9726
2014-09-22,48.66,51947.2527,21.4832,4.9634
2014-09-23,48.655,51941.9149,21.481,4.9629
2014-09-24,48.81,52107.386,21.5494,4.9787
2014-09-25,48.14,51392.1238,21.2536,4.9104
2014-09-26,48.33,51594.9593,21.3375,4.9298
2014-09-29,48.26,51520.2305,21.3066,4.9226
2014-09-30,47.69,50911.7238,19.4739,4.8109
2014-10-01,46.88,50047.0038,19.1431,4.7292
2014-10-02,46.84,50004.3016,19.1268,4.7252
2014-10-03,46.82,49982.9505,19.1186,4.7231
2014-10-06,46.625,49774.7771,19.039,4.7035
2014-10-07,46.01,49118.2305,18.7878,4.6414
2014-10-08,46.94,50111.0571,19.1676,4.7352
2014-10-09,46.02,49128.906,18.7919,4.6424
2014-10-10,42.74,45627.3239,17.4526,4.3116
2014-10-13,41.93,44762.6039,17.1218,4.2298
2014-10-14,42.31,45168.275,17.277,4.2682
2014-10-15,42.76,45648.675,17.4607,4.3136
2014-10-16,43.59,46534.7461,17.7997,4.3973
2014-10-17,43.67,46620.1505,17.8323,4.4054
2014-10-20,44.41,47410.1416,18.1345,4.48
2014-10-21,46.77,49929.5727,19.0982,4.7181
2014-10-22,46.62,49769.4394,19.0369,4.703
2014-10-23,47.0,50175.1105,19.1921,4.7413
2014-10-24,47.57,50783.6171,19.4249,4.7988
2014-10-27,47.95,51189.2882,19.58,4.8371
2014-10-28,48.5,51776.4438,19.8046,4.8926
2014-10-29,48.33,51594.9593,19.7352,4.8755
2014-10-30,47.53,50740.9149,19.4085,4.7948
2014-10-31,49.66,52455.8544,20.2783,5.0096
2014-11-03,50.08,52899.5003,20.4498,5.052
2014-11-04,50.4,53237.5163,20.5805,5.0843
2014-11-05,51.13,54008.6153,20.8786,5.1579
2014-11-06,50.905,53770.9478,20.7867,5.1352
2014-11-07,50.9,53765.6663,20.7846,5.1347
2014-11-10,51.56,54462.8242,21.0541,5.2013
2014-11-11,51.315,54204.0307,20.9541,5.1766
2014-11-12,51.28,54167.0602,20.9398,5.1731
2014-11-13,51.18,54061.4303,20.899,5.163
2014-11-14,51.63,54536.7652,21.0827,5.2084
2014-11-17,51.55,54452.2612,21.0501,5.2003
2014-11-18,51.84,54758.5882,21.1685,5.2295
2014-11-19,51.94,54864.2182,21.2093,5.2396
2014-11-20,52.23,55170.5452,21.3277,5.2689
2014-11-21,52.56,55519.1242,21.4625,5.3022
2014-11-24,52.85,55825.4511,21.5809,5.3314
2014-11-25,52.44,55392.3682,21.4135,5.2901
2014-11-26,54.33,57388.775,22.1853,5.4807
2014-11-28,54.42,57483.842,22.222,5.4898
2014-12-01,54.25,57304.271,22.1526,5.4727
2014-12-02,54.56,57631.724,22.2792,5.5039
2014-12-03,55.62,58751.4019,22.712,5.6109
2014-12-04,55.41,58529.5789,22.6263,5.5897
2014-12-05,55.58,58709.1499,22.6957,5.6068
2014-12-08,55.08,58181.0,22.4915,5.5564
2014-12-09,55.01,58107.059,22.4629,5.5493
2014-12-10,54.095,57140.5445,22.0893,5.457
2014-12-11,54.485,57552.5015,22.2485,5.4964
2014-12-12,53.11,56100.0891,21.6871,5.3577
2014-12-15,53.065,56052.5556,21.6687,5.3531
2014-12-16,52.47,55424.0572,21.4257,5.2931
2014-12-17,53.5,56512.0461,21.8463,5.397
2014-12-18,54.47,57536.657,22.2424,5.4949
2014-12-19,54.23,57283.145,22.1444,5.4706
2014-12-22,54.82,57906.362,22.3853,5.5302
2014-12-23,54.78,57864.11,22.369,5.5261
2014-12-24,54.86,57948.614,22.4017,5.5342
2014-12-26,54.745,57827.1395,22.3547,5.5226
2014-12-29,54.455,57520.8125,22.2363,5.4933
2014-12-30,53.93,56966.2551,22.0219,5.4404
2014-12-31,53.465,56475.0756,19.8569,5.3857
2015-01-02,53.48,56490.9201,19.8625,5.3873
2015-01-05,52.645,55608.9096,19.5523,5.3031
2015-01-06,51.78,54695.2102,19.2311,5.216
2015-01-07,52.71,55677.5691,19.5765,5.3097
2015-01-08,53.57,56585.9871,19.8959,5.3963
2015-01-09,53.6,56617.6761,19.907,5.3993
2015-01-12,53.12,56110.6521,19.7288,5.351
2015-01-13,52.79,55762.0731,19.6062,5.3178
2015-01-14,52.71,55677.5691,19.5765,5.3097
2015-01-15,52.385,55334.2717,19.4558,5.277
2015-01-16,53.285,56284.9416,19.79,5.3676
2015-01-20,53.805,56834.2176,19.9832,5.42
2015-01-21,54.28,57335.96,20.1596,5.4678
2015-01-22,54.97,58064.807,20.4158,5.5374
2015-01-23,55.06,58159.874,20.4493,5.5464
2015-01-26,55.05,58149.311,20.4456,5.5454
2015-01-27,54.83,57916.925,20.3638,5.5232
2015-01-28,53.935,56971.5365,20.0314,5.4331
2015-01-29,54.67,57747.917,20.3044,5.5071
2015-01-30,53.45,56459.2311,19.8513,5.3842
2015-02-02,53.49,56501.4831,19.8662,5.3883
2015-02-03,54.44,57504.968,20.219,5.484
2015-02-04,54.615,57689.8205,20.284,5.5016
2015-02-05,55.31,58423.9489,20.5421,5.5716
2015-02-06,54.36,57420.464,20.1893,5.4759
2015-02-09,54.27,57325.397,20.1559,5.4668
2015-02-10,55.82,58962.6619,20.7315,5.623
2015-02-11,56.0,59152.7959,20.7984,5.6411
2015-02-12,57.44,60673.8678,21.3332,5.7862
