Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,36.29,10202.951,20.0041,2.3352
2014-01-03,36.31,10208.574,20.0152,2.3365
2014-01-06,36.16,10166.4014,19.9325,2.3268
2014-01-07,35.76,10053.9412,19.712,2.3011
2014-01-08,35.78,10059.5643,19.723,2.3024
2014-01-09,35.82,10070.8103,19.7451,2.3049
2014-01-10,35.67,10028.6377,19.6624,2.2953
2014-01-13,34.75,9769.9793,19.1553,2.2361
2014-01-14,35.2,9896.497,19.4033,2.265
2014-01-15,35.61,10011.7687,19.6293,2.2914
2014-01-16,35.65,10023.0147,19.6514,2.294
2014-01-17,36.1,10149.5324,19.8994,2.3229
2014-01-21,36.1,10149.5324,19.8994,2.3229
2014-01-22,38.0,10683.7183,20.9467,2.4452
2014-01-23,37.79,10624.6767,20.831,2.4317
2014-01-24,36.41,10236.6891,20.0703,2.3429
2014-01-27,36.77,10337.9032,20.2687,2.3661
2014-01-28,36.83,10354.7723,20.3018,2.3699
2014-01-29,36.1,10149.5324,19.8994,2.3229
2014-01-30,36.39,10231.066,20.0593,2.3416
2014-01-31,35.5,9980.8421,19.5687,2.2843
2014-02-03,34.28,9637.8385,18.8962,2.2058
2014-02-04,35.1,9868.3819,19.3482,2.2586
2014-02-05,34.83,9792.4713,19.1993,2.2412
2014-02-06,35.27,9916.1775,19.4419,2.2695
2014-02-07,35.82,10070.8103,19.7451,2.3049
2014-02-10,35.22,9902.12,19.4143,2.2663
2014-02-11,36.15,10163.5899,19.927,2.3262
2014-02-12,36.83,10354.7723,20.3018,2.3699
2014-02-13,36.84,10357.5838,20.3073,2.3706
2014-02-14,37.33,10545.7569,20.5774,2.4021
2014-02-18,37.83,10687.0073,20.853,2.4343
2014-02-19,37.27,10528.8068,20.5444,2.3982
2014-02-20,38.53,10884.7579,21.2389,2.4793
2014-02-21,38.31,10822.6077,21.1176,2.4652
2014-02-24,39.19,11071.2085,21.6027,2.5218
2014-02-25,38.8,10961.0332,21.3877,2.4967
2014-02-26,38.8,10961.0332,21.3877,2.4967
2014-02-27,39.89,11268.9591,21.9886,2.5668
2014-02-28,39.7,11215.2839,21.8838,2.5546
2014-03-03,39.11,11048.6084,21.5586,2.5166
2014-03-04,39.89,11268.9591,21.9886,2.5668
2014-03-05,39.97,11291.5592,22.0327,2.572
2014-03-06,40.11,11169.2077,22.1098,2.581
2014-03-07,40.18,11188.7003,22.1484,2.5855
2014-03-10,39.63,11035.5448,21.8453,2.5501
2014-03-11,39.22,10921.3744,21.6192,2.5237
2014-03-12,38.79,10801.6347,21.3822,2.496
2014-03-13,37.82,10531.5242,20.8475,2.4336
2014-03-14,37.75,10512.0317,20.8089,2.4291
2014-03-17,38.4,10693.0336,21.1672,2.4709
2014-03-18,38.79,10801.6347,21.3822,2.496
2014-03-19,38.56,10737.5879,21.2554,2.4812
2014-03-20,38.47,10712.5261,21.2058,2.4755
2014-03-21,38.41,10695.8182,21.1728,2.4716
2014-03-24,37.89,10551.0167,20.8861,2.4381
2014-03-25,38.9,10832.2658,21.4429,2.5031
2014-03-26,38.02,10587.2171,20.9578,2.4465
2014-03-27,37.78,10520.3857,20.8255,2.4311
2014-03-28,38.53,10729.234,21.8842,2.4629
2014-03-31,39.29,10940.8669,22.3159,2.5115
2014-04-01,39.89,11107.9456,22.6567,2.5498
2014-04-02,40.43,11258.3164,22.9634,2.5843
2014-04-03,40.1,11166.4231,22.776,2.5632
2014-04-04,39.08,10882.3894,22.1966,2.498
2014-04-07,38.22,10642.91,21.7082,2.4431
2014-04-08,38.17,10628.9868,21.6798,2.4399
2014-04-09,39.29,10940.8669,22.3159,2.5115
2014-04-10,37.97,10573.2939,21.5662,2.4271
2014-04-11,36.96,10292.0448,20.9925,2.3625
2014-04-14,37.37,10406.2152,21.2254,2.3887
2014-04-15,37.71,10500.8931,21.4185,2.4105
2014-04-16,38.89,10829.4812,22.0887,2.4859
2014-04-17,39.54,11010.483,22.4579,2.5274
2014-04-21,39.44,10982.6366,22.4011,2.5211
2014-04-22,40.06,11155.2845,22.7533,2.5607
2014-04-23,40.15,11180.3463,22.8044,2.5664
2014-04-24,39.73,11063.3913,22.5658,2.5396
2014-04-25,39.26,10932.513,22.2989,2.5095
2014-04-28,39.26,10932.513,22.2989,2.5095
2014-04-29,39.99,11135.792,22.7135,2.5562
2014-04-30,40.9,11389.1946,23.2304,2.6144
2014-05-01,38.98,10880.7862,22.1398,2.4916
2014-05-02,39.05,10900.3258,22.1796,2.4961
2014-05-05,39.38,10992.4412,22.367,2.5172
2014-05-06,38.95,10872.412,22.1228,2.4897
2014-05-07,38.95,10872.412,22.1228,2.4897
2014-05-08,38.7,10802.6276,21.9808,2.4737
2014-05-09,38.46,10735.6346,21.8445,2.4584
