Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,101.29,3266.0959,89.6372,13.5035
2014-01-03,102.29,3298.3409,90.5221,13.6368
2014-01-06,101.73,3280.2837,90.0265,13.5621
2014-01-07,102.39,3301.5654,90.6106,13.6501
2014-01-08,101.48,3272.2225,89.8053,13.5288
2014-01-09,102.05,3290.6021,90.3097,13.6048
2014-01-10,102.65,3309.9491,90.8407,13.6848
2014-01-13,100.55,3242.2346,88.9823,13.4048
2014-01-14,104.02,3354.1248,92.0531,13.8674
2014-01-15,107.61,3469.8843,95.2301,14.346
2014-01-16,106.07,3420.227,93.8673,14.1407
2014-01-17,104.69,3375.7289,92.646,13.9568
2014-01-21,104.14,3357.9942,92.1593,13.8834
2014-01-22,105.32,3396.0433,93.2035,14.0407
2014-01-23,104.86,3381.2106,92.7965,13.9794
2014-01-24,102.26,3297.3736,90.4956,13.6328
2014-01-27,103.8,3347.0309,91.8584,13.8381
2014-01-28,106.07,3420.227,93.8673,14.1407
2014-01-29,104.19,3359.6064,92.2035,13.8901
2014-01-30,106.04,3419.2597,93.8407,14.1367
2014-01-31,105.45,3400.2351,93.3186,14.0581
2014-02-03,102.24,3296.7287,90.4779,13.6301
2014-02-04,101.89,3285.4429,90.1681,13.5835
2014-02-05,102.55,3306.7246,90.7522,13.6715
2014-02-06,93.11,3002.3319,82.3982,12.413
2014-02-07,92.01,2966.8624,81.4248,12.2663
2014-02-10,90.19,2908.1765,79.8142,12.0237
2014-02-11,90.05,2903.6622,79.6903,12.005
2014-02-12,91.94,2964.6052,81.3628,12.257
2014-02-13,94.57,3049.4095,83.6903,12.6076
2014-02-14,94.2,3037.4789,83.3628,12.5583
2014-02-18,95.75,3087.4586,84.7345,12.7649
2014-02-19,95.6,3147.6299,84.6018,12.7449
2014-02-20,97.41,3207.2242,86.2035,12.9862
2014-02-21,98.04,3227.9669,86.7611,13.0702
2014-02-24,97.8,3220.0649,86.5487,13.0382
2014-02-25,94.57,3113.7172,83.6903,12.6076
2014-02-26,94.48,3110.7539,83.6106,12.5956
2014-02-27,94.5,3111.4124,83.6283,12.5983
2014-02-28,93.78,3087.7064,82.9912,12.5023
2014-03-03,92.83,3056.4277,82.1504,12.3756
2014-03-04,94.81,3121.6192,83.9027,12.6396
2014-03-05,94.26,3103.5104,83.4159,12.5663
2014-03-06,93.19,3068.2807,82.469,12.4236
2014-03-07,92.5,3045.5624,81.8584,12.3316
2014-03-10,91.92,3026.4659,81.3451,12.2543
2014-03-11,90.19,2969.5057,79.8142,12.0237
2014-03-12,90.07,2965.5547,79.708,12.0077
2014-03-13,89.66,2952.0554,79.3451,11.953
2014-03-14,89.87,2958.9697,79.531,11.981
2014-03-17,91.01,2996.5042,80.5398,12.133
2014-03-18,92.17,3034.6972,81.5664,12.2876
2014-03-19,90.83,2990.5777,80.3805,12.109
2014-03-20,91.63,3016.9177,81.0885,12.2157
2014-03-21,91.15,3001.1137,80.6637,12.1517
2014-03-24,88.69,2920.1182,78.4867,11.8237
2014-03-25,88.81,2924.0692,78.5929,11.8397
2014-03-26,87.37,2876.6572,77.3186,11.6477
2014-03-27,86.24,2839.4519,76.3186,11.4971
2014-03-28,82.77,2731.6294,73.2478,11.0345
2014-03-31,83.68,2761.6619,69.157,10.3552
2014-04-01,86.35,2849.7789,71.3636,10.6856
2014-04-02,85.63,2826.017,70.7686,10.5965
2014-04-03,84.26,2780.8034,69.6364,10.427
2014-04-04,80.0,2640.2121,66.1157,9.8998
2014-04-07,78.9,2603.9092,65.2066,9.7637
