Date,Price,Market Cap,PE Ratio,PB Ratio
2019-05-09,45.0,,,3.5657
2019-05-10,41.57,69711.1865,,3.2939
2019-05-13,37.1,62215.1797,,2.9397
2019-05-14,39.96,67233.5777,,3.1663
2019-05-15,41.29,69471.3319,,3.2717
2019-05-16,43.0,72348.4445,,3.4072
2019-05-17,41.91,70514.4956,,3.3208
2019-05-20,41.59,69976.0885,,3.2955
2019-05-21,41.5,69824.6615,,3.2883
2019-05-22,41.25,69404.0311,,3.2685
2019-05-23,40.47,68091.6639,,3.2067
2019-05-24,41.51,69841.4868,,3.2891
2019-05-28,40.95,68899.2745,,3.2448
2019-05-29,39.94,67199.9273,,3.1647
2019-05-30,39.8,66964.3742,,3.1536
2019-05-31,40.41,67990.7126,,3.202
2019-06-03,41.25,69404.0311,,3.2685
2019-06-04,42.75,72484.8796,,3.3874
2019-06-05,45.0,76299.8733,,3.5657
2019-06-06,44.92,76164.229,,3.5593
2019-06-07,44.16,74875.609,,3.4991
2019-06-10,42.61,72247.5022,,3.3763
2019-06-11,42.45,71976.2138,,3.3636
2019-06-12,42.17,71501.459,,3.3414
2019-06-13,44.31,75129.9419,,3.511
2019-06-14,43.23,73298.7449,,3.4254
2019-06-17,43.78,74231.2989,,3.469
2019-06-18,43.86,74366.9431,,3.4753
2019-06-19,44.86,76062.4959,,3.5546
2019-06-20,43.86,74366.9431,,3.4753
2019-06-21,44.0,74604.3205,,3.4864
2019-06-24,43.09,73061.3675,,3.4143
2019-06-25,43.09,73061.3675,,3.4143
2019-06-26,42.5,72060.9914,,3.3676
2019-06-27,45.13,76520.2951,,3.576
2019-06-28,46.38,78639.736,,4.9451
2019-07-01,44.27,75062.1198,,4.7201
2019-07-02,44.0,74604.3205,,4.6913
2019-07-03,44.23,74994.2976,,4.7158
2019-07-05,43.53,73807.4107,,4.6412
2019-07-08,42.95,72823.9901,,4.5794
2019-07-09,44.2,74943.4311,,4.7126
2019-07-10,43.7,74095.6547,,4.6593
2019-07-11,43.99,74587.365,,4.6902
2019-07-12,43.99,74587.365,,4.6902
2019-07-15,44.53,75502.9635,,4.7478
2019-07-16,44.13,74824.7424,,4.7052
2019-07-17,43.62,73960.0105,,4.6508
2019-07-18,43.71,74112.6102,,4.6604
2019-07-19,43.18,73213.9673,,4.6039
2019-07-22,43.69,74078.6992,,4.6583
2019-07-23,43.36,73519.1668,,4.6231
2019-07-24,43.76,74197.3879,,4.6657
2019-07-25,43.4,73586.9889,,4.6273
2019-07-26,44.52,75486.0079,,4.7468
2019-07-29,43.88,74400.8542,,4.6785
2019-07-30,42.59,72213.5912,,4.541
2019-07-31,42.14,71450.5924,,4.493
2019-08-01,41.31,70043.2836,,4.4045
2019-08-02,40.4,68500.3307,,4.3075
2019-08-05,39.05,66211.3345,,4.1635
2019-08-06,39.15,66380.8897,,4.1742
2019-08-07,39.7,67313.4437,,4.2328
2019-08-08,42.97,72857.9012,,4.5815
2019-08-09,40.05,67906.8872,,4.2702
2019-08-12,37.0,62900.1332,,3.945
2019-08-13,36.45,61965.1313,,3.8863
2019-08-14,33.96,57732.1223,,3.6208
2019-08-15,33.22,56474.1196,,3.5419
2019-08-16,35.23,59891.1269,,3.7562
2019-08-19,34.61,58837.1246,,3.6901
2019-08-20,35.29,59993.1271,,3.7626
2019-08-21,34.91,59347.1257,,3.7221
2019-08-22,34.0,57800.1224,,3.6251
2019-08-23,33.43,56831.1204,,3.5643
2019-08-26,33.31,56627.1199,,3.5515
2019-08-27,33.11,56287.1192,,3.5302
2019-08-28,32.59,55403.1174,,3.4748
2019-08-29,32.76,55692.118,,3.4929
2019-08-30,32.57,55369.1173,,3.4726
2019-09-03,30.7,52190.1106,,3.2733
2019-09-04,31.99,54383.1152,,3.4108
2019-09-05,32.51,55267.1171,,3.4662
2019-09-06,31.86,54162.1147,,3.3969
2019-09-09,32.24,54808.1161,,3.4374
2019-09-10,33.51,56967.1207,,3.5729
2019-09-11,34.0,57800.1224,,3.6251
2019-09-12,34.07,57919.1227,,3.6326
2019-09-13,33.25,56525.1197,,3.5451
2019-09-16,34.43,58531.124,,3.6709
2019-09-17,34.29,58293.1235,,3.656
2019-09-18,34.26,58242.1234,,3.6528
2019-09-19,33.82,57494.1218,,3.6059
2019-09-20,32.6,55420.1174,,3.4758
2019-09-23,33.0,56100.1188,,3.5185
2019-09-24,31.3,53210.1127,,3.3372
2019-09-25,31.68,53856.1141,,3.3777
2019-09-26,31.57,53669.1137,,3.366
2019-09-27,30.29,51493.1091,,3.2295
2019-09-30,30.47,51799.1097,,3.2975
2019-10-01,29.15,49555.105,,3.1547
2019-10-02,29.0,49300.1044,,3.1384
2019-10-03,29.72,50524.107,,3.2164
2019-10-04,29.67,50439.1068,,3.2109
2019-10-07,30.37,51629.1094,,3.2867
2019-10-08,29.28,49776.1054,,3.1687
2019-10-09,29.07,49419.1047,,3.146
2019-10-10,28.87,49079.104,,3.1244
2019-10-11,30.13,51221.1085,,3.2607
2019-10-14,31.12,52904.1121,,3.3679
2019-10-15,32.0,54400.1152,,3.4631
2019-10-16,31.87,54179.1148,,3.449
2019-10-17,32.62,55454.1175,,3.5302
2019-10-18,32.06,54502.1154,,3.4696
2019-10-21,31.41,53397.1131,,3.3993
2019-10-22,32.53,55301.1171,,3.5205
2019-10-23,33.05,56185.119,,3.5767
2019-10-24,33.28,56576.1198,,3.6016
2019-10-25,32.71,55607.1178,,3.5399
2019-10-28,33.22,56474.1196,,3.5951
2019-10-29,32.42,55114.1167,,3.5086
2019-10-30,33.75,57375.1215,,3.6525
2019-10-31,31.5,53550.1134,,3.409
2019-11-01,31.37,53329.113,,3.3949
2019-11-04,31.08,52836.1119,,3.3635
2019-11-05,28.02,47735.7126,,3.0324
2019-11-06,26.94,45954.658,,2.9155
2019-11-07,27.38,46705.2166,,2.9631
2019-11-08,27.01,46074.065,,2.9231
2019-11-11,27.14,46295.821,,2.9371
2019-11-12,26.7,45545.2624,,2.8895
2019-11-13,26.71,45562.3205,,2.8906
2019-11-14,25.99,44334.1337,,2.8127
2019-11-15,26.79,45698.7857,,2.8993
2019-11-18,26.75,45630.5531,,2.8949
2019-11-19,27.05,46142.2976,,2.9274
2019-11-20,28.03,47813.9964,,3.0335
2019-11-21,29.46,50253.312,,3.1882
2019-11-22,29.56,50423.8935,,3.199
2019-11-25,29.11,49656.2767,,3.1503
2019-11-26,29.53,50372.719,,3.1958
2019-11-27,29.49,50304.4864,,3.1915
2019-11-29,29.6,50492.1261,,3.2034
2019-12-02,28.98,49434.5207,,3.1363
2019-12-03,29.02,49502.7533,,3.1406
