Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,80.62,7918.392,15.7154,2.4385
2014-01-03,81.51,8002.5945,15.8889,2.4654
2014-01-06,80.51,7912.7427,15.694,2.4351
2014-01-07,82.82,8131.2911,16.1442,2.505
2014-01-08,83.04,8152.1052,16.1871,2.5117
2014-01-09,84.44,8284.5587,16.46,2.554
2014-01-10,85.52,8386.7371,16.6706,2.5867
2014-01-13,83.99,8255.1966,16.3723,2.5404
2014-01-14,85.69,8416.033,16.7037,2.5918
2014-01-15,85.8,8426.44,16.7251,2.5951
2014-01-16,85.26,8375.3508,16.6199,2.5788
2014-01-17,85.28,8377.243,16.6238,2.5794
2014-01-21,83.89,8244.8206,16.3528,2.5374
2014-01-22,83.81,8237.2519,16.3372,2.5349
2014-01-23,82.91,8152.1032,16.1618,2.5077
2014-01-24,80.32,7899.3052,15.6569,2.4294
2014-01-27,79.68,7838.755,15.5322,2.41
2014-01-28,80.66,7931.4725,15.7232,2.4397
2014-01-29,79.98,7867.1379,15.5906,2.4191
2014-01-30,80.9,7954.1788,15.77,2.4469
2014-01-31,82.02,8061.2396,15.9883,2.4808
2014-02-03,78.68,7741.1808,15.3372,2.3798
2014-02-04,78.19,7694.8221,15.2417,2.365
2014-02-05,78.2,7695.7682,15.2437,2.3653
2014-02-06,78.22,7697.6604,15.2476,2.3659
2014-02-07,78.64,7737.3964,15.3294,2.3786
2014-02-10,80.12,7877.4187,15.6179,2.4233
2014-02-11,80.87,7942.081,15.7641,2.446
2014-02-12,80.28,7891.7145,15.6491,2.4282
2014-02-13,82.03,8057.2814,15.9903,2.4811
2014-02-14,82.5,8101.7479,16.0819,2.4953
2014-02-18,83.42,8188.7888,16.2612,2.5232
2014-02-19,82.0,8054.4431,15.9844,2.4802
2014-02-20,82.19,8072.419,16.0214,2.4859
2014-02-21,82.1,8063.9041,16.0039,2.4832
2014-02-24,83.11,8159.4598,16.2008,2.5138
2014-02-25,81.23,7985.9123,15.8343,2.4569
2014-02-26,82.43,8099.4439,16.0682,2.4932
2014-02-27,82.2,8105.7287,16.0234,2.4862
2014-02-28,80.28,7919.2507,15.6491,2.4282
2014-03-03,81.07,7994.2619,15.8031,2.4521
2014-03-04,81.5,8036.0424,15.8869,2.4651
2014-03-05,80.87,7976.2233,15.7641,2.446
2014-03-06,79.94,7887.919,15.5828,2.4179
2014-03-07,79.24,7821.4534,15.4464,2.3967
2014-03-10,78.52,7745.769,15.306,2.3749
2014-03-11,77.11,7605.7032,15.0312,2.3323
2014-03-12,76.77,7573.4199,14.9649,2.322
2014-03-13,75.1,7409.0693,14.6394,2.2715
2014-03-14,74.59,7360.6444,14.54,2.2561
2014-03-17,74.35,7337.8562,14.4932,2.2488
2014-03-18,76.95,7584.7285,15.0,2.3275
2014-03-19,76.87,7576.4736,14.9844,2.325
2014-03-20,76.81,7570.7766,14.9727,2.3232
2014-03-21,75.6,7455.886,14.7368,2.2866
2014-03-24,75.27,7423.7836,14.6725,2.2766
2014-03-25,75.97,7490.2493,14.809,2.2978
2014-03-26,78.17,7705.2166,15.2378,2.3644
2014-03-27,78.22,7709.9641,15.2476,2.3659
2014-03-28,79.7,7850.4914,15.5361,2.4106
2014-03-31,82.07,8087.1633,15.6718,2.39
2014-04-01,82.31,8109.9515,15.7176,2.397
2014-04-02,82.58,8135.5883,15.7692,2.4049
2014-04-03,83.04,8179.2657,15.857,2.4183
2014-04-04,81.33,8016.8997,15.5305,2.3685
2014-04-07,77.85,7686.4706,14.866,2.2671
2014-04-08,77.78,7679.824,14.8526,2.2651
2014-04-09,77.65,7675.6329,14.8278,2.2613
2014-04-10,75.87,7492.3433,14.4879,2.2095
2014-04-11,74.61,7372.5727,14.2473,2.1728
2014-04-14,75.09,7418.1996,14.3389,2.1868
2014-04-15,75.04,7413.4468,14.3294,2.1853
2014-04-16,74.89,7399.1884,14.3007,2.1809
2014-04-17,74.65,7376.375,14.2549,2.1739
2014-04-21,75.49,7456.222,14.4153,2.1984
2014-04-22,75.72,7478.0849,14.4592,2.2051
2014-04-23,76.6,7561.7343,14.6273,2.2307
2014-04-24,78.12,7706.2194,14.9175,2.275
2014-04-25,82.92,8162.4885,15.8341,2.4148
2014-04-28,83.12,8181.4997,15.8723,2.4206
2014-04-29,82.89,8159.6368,15.8284,2.4139
2014-04-30,81.79,8055.0751,15.6183,2.3819
2014-05-01,83.32,8200.5109,15.9105,2.4264
2014-05-02,83.4,8208.1154,15.9258,2.4288
2014-05-05,83.38,8206.2143,15.9219,2.4282
2014-05-06,82.69,8140.6256,15.7902,2.4081
2014-05-07,82.46,8145.042,15.7463,2.4014
2014-05-08,81.91,8095.4315,15.6412,2.3854
2014-05-09,82.57,8158.2139,15.7673,2.4046
2014-05-12,84.32,8324.6825,16.1014,2.4555
2014-05-13,86.0,8491.2261,16.4222,2.5045
2014-05-14,85.86,8477.9086,16.3955,2.5004
2014-05-15,84.94,8390.3937,16.2198,2.4736
2014-05-16,84.83,8379.9299,16.1988,2.4704
2014-05-19,85.98,8489.3236,16.4184,2.5039
2014-05-20,87.23,8608.2297,16.6571,2.5403
2014-05-21,88.29,8709.0621,16.8595,2.5712
2014-05-22,88.24,8704.3058,16.85,2.5697
2014-05-23,89.43,8817.5045,17.0772,2.6044
2014-05-27,89.06,8782.3083,17.0066,2.5936
2014-05-28,89.35,8809.8945,17.0619,2.602
2014-05-29,89.74,8846.9932,17.1364,2.6134
2014-05-30,89.57,8830.822,17.104,2.6084
2014-06-02,89.92,8864.1157,17.1708,2.6186
2014-06-03,92.83,9167.3884,17.7265,2.7034
2014-06-04,92.72,9156.9246,17.7055,2.7002
2014-06-05,95.26,9416.4376,18.1905,2.7741
2014-06-06,94.82,9374.5826,18.1065,2.7613
2014-06-09,94.0,9296.5802,17.9499,2.7374
2014-06-10,93.37,9236.6515,17.8296,2.7191
2014-06-11,92.77,9179.5766,17.715,2.7016
2014-06-12,92.5,9153.8928,17.6635,2.6938
2014-06-13,94.07,9303.2389,17.9633,2.7395
2014-06-16,94.71,9364.1189,18.0855,2.7581
2014-06-17,95.29,9416.5466,18.1962,2.775
2014-06-18,95.35,9422.2541,18.2077,2.7768
2014-06-19,96.35,9517.379,18.3986,2.8059
2014-06-20,97.06,9584.9177,18.5342,2.8266
2014-06-23,98.75,9745.6787,18.8569,2.8758
2014-06-24,96.89,9568.7464,18.5018,2.8216
2014-06-25,96.99,9578.1125,18.5209,2.8245
2014-06-26,95.94,9470.8389,18.3204,2.7939
2014-06-27,95.0,9388.1918,18.1409,2.7666
2014-06-30,95.76,9460.4868,18.3561,2.6777
2014-07-01,95.67,9453.7553,18.3388,2.6752
2014-07-02,96.48,9530.8065,18.4941,2.6979
2014-07-03,96.2,9504.1715,18.4404,2.69
2014-07-07,94.2,9313.9217,18.057,2.6341
2014-07-08,92.8,9171.5246,17.7887,2.595
2014-07-09,93.73,9259.9907,17.967,2.621
2014-07-10,92.45,9138.2309,17.7216,2.5852
2014-07-11,92.46,9139.1821,17.7235,2.5854
2014-07-14,92.22,9116.3521,17.6775,2.5787
2014-07-15,91.83,9079.2534,17.6027,2.5678
2014-07-16,96.98,9570.6105,18.5899,2.7118
2014-07-17,95.52,9438.0959,18.3101,2.671
2014-07-18,96.3,9512.2934,18.4596,2.6928
2014-07-21,95.88,9472.3409,18.3791,2.6811
2014-07-22,96.9,9569.3683,18.5746,2.7096
2014-07-23,97.56,9632.1507,18.7011,2.7281
2014-07-24,97.54,9630.2482,18.6973,2.7275
2014-07-25,104.23,10284.4563,19.9797,2.9146
2014-07-28,108.07,10649.736,20.7158,3.0219
2014-07-29,109.04,10782.007,20.9017,3.0491
2014-07-30,108.12,10694.4921,20.7254,3.0233
2014-07-31,106.6,10531.8968,20.434,2.9808
2014-08-01,105.37,10414.8932,20.1982,2.9464
2014-08-04,106.45,10517.6281,20.4052,2.9766
2014-08-05,106.88,10558.5318,20.4877,2.9887
2014-08-06,106.8,10550.9218,20.4723,2.9864
2014-08-07,107.45,10616.376,20.5969,3.0046
2014-08-08,107.12,10625.2196,20.5337,2.9954
2014-08-11,106.9,10604.2094,20.4915,2.9892
2014-08-12,107.21,10633.8147,20.5509,2.9979
2014-08-13,108.88,10793.3016,20.871,3.0446
2014-08-14,109.92,10897.3429,21.0704,3.0737
2014-08-15,109.62,10868.6926,21.0129,3.0653
2014-08-18,111.7,11072.0916,21.4116,3.1235
2014-08-19,112.19,11118.8872,21.5055,3.1372
2014-08-20,112.34,11133.2123,21.5343,3.1414
2014-08-21,112.38,11137.0324,21.5419,3.1425
2014-08-22,113.0,11196.2431,21.6608,3.1598
2014-08-25,113.16,11211.5232,21.6915,3.1643
2014-08-26,113.64,11257.3638,21.7835,3.1777
2014-08-27,113.4,11234.4435,21.7375,3.171
2014-08-28,113.57,11250.6787,21.7701,3.1757
2014-08-29,114.44,11333.7647,21.9368,3.2001
2014-09-02,114.66,11354.7749,21.979,3.2062
2014-09-03,111.45,11055.754,21.3637,3.1165
2014-09-04,108.0,10709.9558,20.7024,3.02
