Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,95.91,6160.5309,30.5399,6.6361
2014-01-03,94.92,6096.9408,30.2247,6.5676
2014-01-06,92.91,5967.8336,29.5847,6.4285
2014-01-07,94.46,6067.3938,30.0782,6.5357
2014-01-08,94.17,6048.7664,29.9859,6.5157
2014-01-09,92.29,5928.0095,29.3872,6.3856
2014-01-10,92.33,5930.5788,29.4,6.3884
2014-01-13,88.89,5709.6193,28.3046,6.1504
2014-01-14,88.76,5701.2691,28.2632,6.1414
2014-01-15,85.89,5516.9221,27.3493,5.9428
2014-01-16,82.75,5315.2323,26.3495,5.7255
2014-01-17,83.56,5367.2605,26.6074,5.7816
2014-01-21,80.93,5198.3293,25.77,5.5996
2014-01-22,83.06,5335.1443,26.4482,5.747
2014-01-23,84.62,5435.3469,26.9449,5.8549
2014-01-24,83.97,5393.5958,26.738,5.8099
2014-01-27,83.11,5338.3559,26.4641,5.7504
2014-01-28,84.25,5411.5809,26.8271,5.8293
2014-01-29,82.55,5302.3858,26.2858,5.7117
2014-01-30,85.97,5522.0607,27.3748,5.9483
2014-01-31,85.71,5505.3602,26.9586,5.4883
2014-02-03,83.93,5391.0265,26.3987,5.3743
2014-02-04,83.5,5363.4066,26.2635,5.3467
2014-02-05,85.82,5512.4258,26.9932,5.4953
2014-02-06,88.34,5674.2915,27.7858,5.6567
2014-02-07,88.31,5672.3645,27.7764,5.6547
2014-02-10,87.72,5634.4674,27.5908,5.617
2014-02-11,86.45,5552.8922,27.1914,5.5356
2014-02-12,86.42,5550.9652,27.1819,5.5337
2014-02-13,86.04,5526.5569,27.0624,5.5094
2014-02-14,85.71,5505.3602,26.9586,5.4883
2014-02-18,87.75,5636.3944,27.6003,5.6189
2014-02-19,87.56,5624.1902,27.5405,5.6067
2014-02-20,86.15,5533.6225,27.097,5.5164
2014-02-21,85.98,5522.703,27.0435,5.5055
2014-02-24,87.44,5616.4823,27.5028,5.599
2014-02-25,88.79,5703.1961,27.9274,5.6855
2014-02-26,90.22,5795.0484,28.3772,5.777
2014-02-27,91.62,5884.9738,28.8175,5.8667
2014-02-28,89.69,5761.0052,28.2105,5.7431
2014-03-03,88.42,5679.4301,27.811,5.6618
2014-03-04,89.06,5720.5388,28.0123,5.7028
2014-03-05,88.5,5684.5687,27.8362,5.6669
2014-03-06,87.3,5607.4898,27.4587,5.5901
2014-03-07,87.3,5607.4898,27.4587,5.5901
2014-03-10,89.64,5757.7936,28.1947,5.7399
2014-03-11,91.5,5877.2659,28.7798,5.859
2014-03-12,91.39,5870.2003,28.7452,5.852
2014-03-13,89.51,5749.4434,28.1538,5.7316
2014-03-14,95.26,6118.7798,29.9624,6.0998
2014-03-17,96.41,6192.6471,30.3241,6.1734
2014-03-18,98.64,6335.8853,31.0255,6.3162
2014-03-19,101.27,6504.8166,31.8527,6.4846
2014-03-20,104.3,6699.4408,32.8058,6.6786
2014-03-21,100.84,6477.1967,31.7175,6.4571
2014-03-24,101.26,6504.1743,31.8496,6.484
2014-03-25,100.34,6445.0804,31.5602,6.4251
2014-03-26,101.43,6515.0938,31.9031,6.4949
2014-03-27,98.75,6342.9509,31.0601,6.3232
2014-03-28,97.89,6287.711,30.7896,6.2682
2014-03-31,97.44,6258.8064,30.6481,6.2394
2014-04-01,98.98,6357.7244,31.1325,6.338
2014-04-02,100.11,6436.6013,31.4879,6.4103
2014-04-03,99.77,6414.7409,31.3809,6.3886
2014-04-04,96.09,6178.1342,30.2235,6.1529
2014-04-07,93.75,6027.6833,29.4875,6.0031
2014-04-08,95.87,6163.9893,30.1543,6.1388
2014-04-09,97.08,6241.7866,30.5349,6.2163
2014-04-10,94.85,6098.4081,29.8334,6.0735
2014-04-11,91.05,5854.086,28.6382,5.8302
2014-04-14,90.13,5794.9343,28.3488,5.7713
2014-04-15,90.42,5813.5799,28.4401,5.7899
2014-04-16,90.22,5800.7209,28.3772,5.777
2014-04-17,87.79,5644.4833,27.6128,5.6214
2014-04-21,89.59,5760.2149,28.179,5.7367
2014-04-22,89.41,5748.6417,28.1224,5.7252
2014-04-23,88.22,5673.9557,27.7481,5.649
2014-04-24,89.63,5764.6412,28.1916,5.7393
2014-04-25,88.11,5666.8809,27.7135,5.6419
2014-04-28,86.58,5568.4775,27.2323,5.544
2014-04-29,86.0,5531.1742,27.0498,5.5068
