Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,103.32,95917.1337,22.5024,14.7304
2014-01-03,103.09,95703.6131,22.4523,14.6976
2014-01-06,101.75,94459.624,22.1604,14.5065
2014-01-07,102.08,94765.9795,22.2323,14.5536
2014-01-08,102.0,94691.7115,22.2149,14.5422
2014-01-09,102.12,94803.1135,22.241,14.5593
2014-01-10,102.52,95174.4536,22.3281,14.6163
2014-01-13,100.23,93048.5318,21.8294,14.2898
2014-01-14,100.93,93698.3769,21.9818,14.3896
2014-01-15,101.05,93809.7789,22.008,14.4067
2014-01-16,100.49,93289.9028,21.886,14.3269
2014-01-17,99.91,92751.4598,21.7597,14.2442
2014-01-21,98.57,91507.4706,21.4678,14.0532
2014-01-22,98.99,91897.3777,21.5593,14.113
2014-01-23,97.94,90922.6101,21.3306,13.9633
2014-01-24,96.33,89427.9664,20.98,13.7338
2014-01-27,95.17,88351.0802,20.7273,13.5684
2014-01-28,95.81,88945.2243,20.8667,13.6597
2014-01-29,95.33,88499.6163,20.7622,13.5912
2014-01-30,95.78,88917.3738,20.8602,13.6554
2014-01-31,95.23,88406.7813,20.7404,13.577
2014-02-03,93.62,86912.1376,20.3898,13.3474
2014-02-04,93.89,87162.7921,20.4486,13.3859
2014-02-05,93.76,87042.1066,20.4203,13.3674
2014-02-06,94.74,87951.8897,20.6337,13.5071
2014-02-07,95.37,88536.7503,20.7709,13.5969
2014-02-10,94.73,87942.6062,20.6315,13.5057
2014-02-11,96.16,89270.1469,20.943,13.7096
2014-02-12,96.03,89149.4613,20.9147,13.691
2014-02-13,96.56,89641.4869,21.0301,13.7666
2014-02-14,97.24,90272.765,21.1782,13.8635
2014-02-18,96.49,89576.5024,21.0148,13.7566
2014-02-19,95.18,88360.3637,20.7295,13.5698
2014-02-20,95.67,88815.2553,20.8362,13.6397
2014-02-21,96.11,89223.7294,20.9321,13.7024
2014-02-24,95.95,89075.1933,20.8972,13.6796
2014-02-25,95.45,88611.0183,20.7883,13.6083
2014-02-26,95.2,88378.9307,20.7339,13.5727
2014-02-27,95.55,88703.8533,20.8101,13.6226
2014-02-28,95.77,88800.7246,20.858,13.654
2014-03-03,95.78,88396.1623,20.8602,13.6554
2014-03-04,96.98,89503.6523,21.1216,13.8265
2014-03-05,97.08,89595.9432,21.1433,13.8407
2014-03-06,97.86,90315.8117,21.3132,13.9519
2014-03-07,98.22,90648.0587,21.3916,14.0033
2014-03-10,98.74,91127.971,21.5049,14.0774
2014-03-11,98.31,90731.1205,21.4112,14.0161
2014-03-12,98.52,90924.9312,21.457,14.046
2014-03-13,97.1,89614.4013,21.1477,13.8436
2014-03-14,96.27,88848.3874,20.9669,13.7252
2014-03-17,96.99,89512.8814,21.1237,13.8279
2014-03-18,97.41,89713.7093,21.2152,13.8878
2014-03-19,96.95,89290.0535,21.115,13.8222
2014-03-20,96.91,89253.2139,21.1063,13.8165
2014-03-21,96.86,89207.1644,21.0954,13.8094
2014-03-24,97.34,89649.2399,21.2,13.8778
2014-03-25,97.65,89934.747,21.2675,13.922
2014-03-26,96.75,89105.8554,21.0715,13.7937
2014-03-27,97.05,89382.1526,21.1368,13.8364
2014-03-28,97.34,89649.2399,21.2,13.8778
2014-03-31,97.38,89686.0795,21.5013,14.3256
2014-04-01,97.34,89649.2399,21.4925,14.3197
2014-04-02,97.97,90229.4641,21.6316,14.4124
2014-04-03,98.52,90736.009,21.7531,14.4933
2014-04-04,98.1,90349.1929,21.6603,14.4316
2014-04-07,97.36,89667.6597,21.4969,14.3227
2014-04-08,97.42,89722.9192,21.5102,14.3315
2014-04-09,97.85,90118.9452,21.6051,14.3948
2014-04-10,96.63,88995.3365,21.3358,14.2153
2014-04-11,96.27,88663.7798,21.2563,14.1623
2014-04-14,96.09,88498.0015,21.2165,14.1359
2014-04-15,95.78,88212.4943,21.1481,14.0903
2014-04-16,97.35,89658.4498,21.4947,14.3212
2014-04-17,98.0,90257.0938,21.6382,14.4168
2014-04-21,98.9,91085.9855,21.837,14.5492
2014-04-22,99.0,91178.0846,21.859,14.564
2014-04-23,99.24,91399.1223,21.912,14.5993
2014-04-24,98.64,90846.5279,21.7796,14.511
2014-04-25,97.4,89704.4994,21.5058,14.3286
2014-04-28,98.26,90496.5514,21.6957,14.4551
2014-04-29,98.01,90266.3037,21.6405,14.4183
2014-04-30,98.5,90717.5892,21.7486,14.4904
2014-05-01,98.11,90358.4028,21.6625,14.433
2014-05-02,98.56,90772.8486,21.7619,14.4992
2014-05-05,97.95,90211.0443,21.6272,14.4095
2014-05-06,97.38,89686.0795,21.5013,14.3256
2014-05-07,98.83,91021.5161,21.8215,14.5389
2014-05-08,98.99,90615.3004,21.8568,14.5625
2014-05-09,99.76,91320.1573,22.0268,14.6758
2014-05-12,101.51,92922.1047,22.4132,14.9332
2014-05-13,102.51,93837.5032,22.634,15.0803
2014-05-14,102.04,93407.2659,22.5303,15.0112
2014-05-15,100.46,91960.9362,22.1814,14.7787
2014-05-16,101.33,92757.3329,22.3735,14.9067
2014-05-19,101.39,92812.2569,22.3868,14.9155
2014-05-20,100.53,92025.0141,22.1969,14.789
2014-05-21,101.74,93132.6463,22.464,14.967
2014-05-22,101.66,93059.4145,22.4464,14.9553
2014-05-23,102.73,94038.8909,22.6826,15.1127
2014-05-27,103.17,94441.6662,22.7798,15.1774
2014-05-28,103.41,94661.3619,22.8328,15.2127
2014-05-29,104.06,95256.3709,22.9763,15.3083
2014-05-30,103.88,95091.5992,22.9365,15.2819
2014-06-02,104.08,95274.6789,22.9807,15.3113
2014-06-03,103.43,94679.6699,22.8372,15.2157
2014-06-04,102.97,94258.5865,22.7356,15.148
2014-06-05,103.62,94853.5956,22.8791,15.2436
2014-06-06,103.59,94826.1336,22.8725,15.2392
2014-06-09,103.49,94734.5938,22.8504,15.2245
2014-06-10,102.91,94203.6626,22.7224,15.1392
2014-06-11,102.5,93828.3492,22.6318,15.0788
2014-06-12,100.89,92354.5576,22.2764,14.842
2014-06-13,101.03,92482.7134,22.3073,14.8626
2014-06-16,101.18,92620.0232,22.3404,14.8847
2014-06-17,101.61,93013.6445,22.4353,14.9479
2014-06-18,102.79,94093.8148,22.6959,15.1215
2014-06-19,102.37,93709.3474,22.6031,15.0597
2014-06-20,102.5,93828.3492,22.6318,15.0788
2014-06-23,102.46,93791.7333,22.623,15.073
2014-06-24,101.73,93123.4924,22.4618,14.9656
2014-06-25,102.41,93745.9634,22.612,15.0656
2014-06-26,102.64,93956.505,22.6627,15.0994
2014-06-27,102.71,94020.5829,22.6782,15.1097
2014-06-30,102.66,93974.813,22.2865,16.8519
2014-07-01,102.85,94148.7387,22.3277,16.8831
2014-07-02,103.55,94789.5177,22.4797,16.998
2014-07-03,103.88,95091.5992,22.5513,17.0521
2014-07-07,103.24,94505.7441,22.4124,16.9471
2014-07-08,102.9,94194.5086,22.3386,16.8913
2014-07-09,102.98,94267.7405,22.3559,16.9044
2014-07-10,102.09,93453.0358,22.1627,16.7583
2014-07-11,102.53,93855.8112,22.2582,16.8305
2014-07-14,103.45,94697.9778,22.458,16.9816
2014-07-15,104.29,95466.9126,22.6403,17.1194
2014-07-16,104.52,95677.4543,22.6902,17.1572
2014-07-17,102.65,93965.659,22.2843,16.8502
2014-07-18,103.82,95036.6753,22.5383,17.0423
2014-07-21,104.06,95256.3709,22.5904,17.0817
2014-07-22,104.48,95640.8383,22.6816,17.1506
2014-07-23,104.34,95512.6825,22.6512,17.1277
2014-07-24,104.09,95283.8329,22.5969,17.0866
2014-07-25,103.57,94807.8257,22.484,17.0013
2014-07-28,102.66,93974.813,22.2865,16.8519
2014-07-29,98.86,90496.2986,21.4615,16.2281
2014-07-30,99.35,90944.8439,21.5679,16.3085
2014-07-31,97.09,88876.0432,21.0773,15.9375
2014-08-01,97.03,88821.1193,21.0642,15.9277
2014-08-04,97.18,88958.4291,21.0968,15.9523
2014-08-05,96.51,88345.112,20.9513,15.8423
2014-08-06,95.73,87449.6282,20.782,15.7143
2014-08-07,95.05,86828.4462,20.6344,15.6027
2014-08-08,95.94,87641.4638,20.8276,15.7488
2014-08-11,96.07,87760.2191,20.8558,15.7701
2014-08-12,96.41,88070.8101,20.9296,15.8259
2014-08-13,96.62,88262.6457,20.9752,15.8604
2014-08-14,96.07,87760.2191,20.8558,15.7701
2014-08-15,96.85,88472.7514,21.0252,15.8982
2014-08-18,97.62,89176.1485,21.1923,16.0245
2014-08-19,98.27,89769.9254,21.3334,16.1312
2014-08-20,98.8,90254.0819,21.4485,16.2182
2014-08-21,98.41,89897.8158,21.3638,16.1542
2014-08-22,97.77,89313.174,21.2249,16.0492
2014-08-25,97.9,89431.9293,21.2531,16.0705
2014-08-26,97.42,88993.448,21.1489,15.9917
2014-08-27,97.38,88956.9079,21.1402,15.9852
2014-08-28,97.44,89011.718,21.1532,15.995
2014-08-29,97.33,88911.2327,21.1294,15.9769
2014-09-02,97.95,89477.6045,21.264,16.0787
2014-09-03,97.97,89495.8745,21.2683,16.082
2014-09-04,98.47,89952.626,21.3768,16.1641
2014-09-05,98.86,90308.8921,21.4615,16.2281
2014-09-08,98.42,89906.9508,21.366,16.1559
2014-09-09,97.71,89258.3638,21.2119,16.0393
2014-09-10,97.62,89176.1485,21.1923,16.0245
2014-09-11,97.94,89468.4695,21.2618,16.0771
2014-09-12,98.05,89568.9548,21.2857,16.0951
2014-09-15,97.62,89176.1485,21.1923,16.0245
2014-09-16,97.96,89486.7395,21.2661,16.0804
2014-09-17,99.39,90793.0486,21.5766,16.3151
2014-09-18,99.63,91012.2893,21.6287,16.3545
2014-09-19,99.44,90838.7237,21.5874,16.3233
2014-09-22,98.14,89651.17,21.3052,16.1099
2014-09-23,97.32,88902.0977,21.1272,15.9753
2014-09-24,98.08,89596.3599,21.2922,16.1001
2014-09-25,96.53,88180.4304,20.9557,15.8456
2014-09-26,97.48,89048.2581,21.1619,16.0016
2014-09-29,97.34,88920.3677,21.1315,15.9786
2014-09-30,98.29,89788.1955,20.6215,15.8606
2014-10-01,96.92,88536.6966,20.3341,15.6395
2014-10-02,97.14,88737.6672,20.3802,15.675
2014-10-03,98.79,90244.9469,20.7264,15.9412
2014-10-06,98.56,90034.8412,20.6781,15.9041
2014-10-07,96.43,88089.0802,20.2313,15.5604
2014-10-08,98.14,89651.17,20.59,15.8363
2014-10-09,96.53,88180.4304,20.2522,15.5765
2014-10-10,95.78,87495.3033,20.0949,15.4555
2014-10-13,94.67,86481.3151,19.862,15.2764
2014-10-14,95.8,87513.5734,20.0991,15.4588
2014-10-15,96.45,88107.3502,20.2355,15.5636
2014-10-16,95.63,87358.2779,20.0634,15.4313
2014-10-17,97.26,88847.2875,20.4054,15.6943
2014-10-20,98.08,89596.3599,20.5774,15.8267
2014-10-21,100.75,92035.4125,21.1376,16.2575
2014-10-22,99.06,90491.5927,20.783,15.9848
2014-10-23,100.48,91788.7667,21.081,16.2139
2014-10-24,100.59,91889.252,21.104,16.2317
2014-10-27,102.25,93405.6668,21.4523,16.4996
2014-10-28,102.9,93999.4436,21.5887,16.6044
2014-10-29,102.62,93743.6628,21.5299,16.5593
2014-10-30,103.29,94355.7097,21.6705,16.6674
2014-10-31,104.91,95835.5843,22.0104,16.9288
2014-11-03,105.64,96502.4414,22.1635,17.0466
2014-11-04,107.08,97817.8855,22.4657,17.2789
2014-11-05,107.54,98238.0969,22.5622,17.3532
2014-11-06,108.29,98026.9547,22.7195,17.4742
2014-11-07,108.33,98063.1638,22.7279,17.4807
2014-11-10,109.05,98714.9267,22.879,17.5968
2014-11-11,108.76,98452.4111,22.8181,17.55
2014-11-12,108.62,98325.6794,22.7888,17.5274
2014-11-13,107.79,97574.3416,22.6146,17.3935
2014-11-14,106.83,96705.3243,22.4132,17.2386
2014-11-17,106.47,96379.4429,22.3377,17.1805
2014-11-18,106.03,95981.1433,22.2454,17.1095
2014-11-19,105.64,95628.105,22.1635,17.0466
2014-11-20,106.71,96596.6972,22.388,17.2192
2014-11-21,107.35,97176.042,22.5223,17.3225
2014-11-24,107.26,97094.5716,22.5034,17.308
2014-11-25,107.12,96967.84,22.4741,17.2854
2014-11-26,106.98,96841.1083,22.4447,17.2628
2014-11-28,109.92,99502.4736,23.0615,17.7372
2014-12-01,109.79,99384.7941,23.0342,17.7162
2014-12-02,110.41,99946.0344,23.1643,17.8163
2014-12-03,110.9,100389.5953,23.2671,17.8954
