Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,55.2525,158652.7629,44.306,6.3487
2014-01-03,55.29,158760.4409,44.3361,6.353
2014-01-06,54.9575,157805.696,44.0695,6.3148
2014-01-07,55.3775,159011.6895,44.4063,6.3631
2014-01-08,55.555,159521.3654,44.5486,6.3835
2014-01-09,55.4775,159298.8309,44.4864,6.3746
2014-01-10,55.2825,158738.9053,44.3301,6.3521
2014-01-13,54.725,157138.0924,43.883,6.2881
2014-01-14,55.6625,159830.0423,44.6348,6.3958
2014-01-15,55.94,160626.8595,44.8573,6.4277
2014-01-16,55.4425,159198.3314,44.4584,6.3705
2014-01-17,58.045,166671.1845,46.5453,6.6696
2014-01-21,57.9825,166491.7212,46.4952,6.6624
2014-01-22,58.2475,167252.6457,46.7077,6.6928
2014-01-23,57.0625,163850.0209,45.7574,6.5567
2014-01-24,55.3125,158825.0477,44.3541,6.3556
2014-01-27,54.055,155214.2455,43.3458,6.2111
2014-01-28,55.24,158616.8702,44.296,6.3473
2014-01-29,54.28,155860.3134,43.5262,6.237
2014-01-30,55.22,157171.4328,44.28,6.345
2014-01-31,53.8575,153293.3799,43.1874,6.1884
2014-02-03,53.3675,151898.7041,42.7945,6.1321
2014-02-04,53.635,152660.0832,43.009,6.1628
2014-02-05,53.9025,153421.4624,43.2235,6.1936
2014-02-06,54.7525,155840.7981,43.9051,6.2912
2014-02-07,55.445,157811.8452,44.4604,6.3708
2014-02-10,55.1375,156936.6149,44.2138,6.3355
2014-02-11,55.5825,158203.2083,44.5706,6.3866
2014-02-12,56.0425,159512.4959,44.9395,6.4395
2014-02-13,56.0125,159427.1075,44.9155,6.436
2014-02-14,56.5,160814.6677,45.3064,6.492
2014-02-18,56.515,160857.3619,45.3184,6.4938
2014-02-19,55.97,159306.1408,44.8814,6.4311
2014-02-20,55.865,159007.2816,44.7972,6.4191
2014-02-21,55.84,158936.1247,44.7771,6.4162
2014-02-24,56.5475,160949.8659,45.3445,6.4975
2014-02-25,56.7775,161604.5097,45.5289,6.5239
2014-02-26,56.5275,160892.9404,45.3284,6.4952
2014-02-27,56.57,161013.9071,45.3625,6.5001
2014-02-28,56.485,160771.9736,45.2943,6.4903
2014-03-03,55.36,157569.9116,44.3922,6.3611
2014-03-04,56.375,160458.8831,45.2061,6.4777
2014-03-05,55.7025,158544.7616,44.6669,6.4004
2014-03-06,55.965,159291.9094,44.8774,6.4306
2014-03-07,56.39,160501.5772,45.2182,6.4794
2014-03-10,56.375,160458.8831,45.2061,6.4777
2014-03-11,56.795,161654.3195,45.5429,6.5259
2014-03-12,56.525,160885.8247,45.3264,6.4949
2014-03-13,55.195,157100.2758,44.2599,6.3421
2014-03-14,55.1925,157093.1601,44.2579,6.3418
2014-03-17,55.945,159234.9838,44.8613,6.4283
2014-03-18,56.6025,161106.4111,45.3886,6.5038
2014-03-19,55.955,159263.4466,44.8693,6.4294
2014-03-20,55.455,157840.3079,44.4684,6.372
2014-03-21,55.8425,158943.2404,44.7791,6.4165
2014-03-24,55.1875,157078.9288,44.2539,6.3412
2014-03-25,54.6,155406.7408,43.7828,6.2737
2014-03-26,53.92,153471.2723,43.2375,6.1956
2014-03-27,53.9425,153535.3135,43.2556,6.1982
2014-03-28,53.0225,150916.7384,42.5178,6.0925
2014-03-31,53.965,153599.3548,40.0326,6.0974
2014-04-01,53.675,152773.9343,39.8174,6.0646
2014-04-02,53.665,152745.4716,39.81,6.0635
2014-04-03,53.7525,152994.5208,39.8749,6.0734
2014-04-04,51.925,147792.9491,38.5192,5.8669
2014-04-07,50.8525,144740.3166,37.7236,5.7457
2014-04-08,50.6475,144156.8298,37.5716,5.7225
2014-04-09,51.885,147679.098,38.4896,5.8624
2014-04-10,50.3875,143416.7977,37.3787,5.6932
2014-04-11,49.1575,139915.8766,36.4662,5.5542
2014-04-14,50.2525,143032.5503,37.2785,5.6779
2014-04-15,51.0125,145195.721,37.8423,5.7638
2014-04-16,52.34,148974.1541,38.8271,5.9138
2014-04-17,51.9875,147970.8414,38.5656,5.8739
2014-04-21,52.2825,148810.4932,38.7844,5.9073
2014-04-22,52.4925,149408.2114,38.9402,5.931
2014-04-23,52.205,148589.9067,38.727,5.8985
2014-04-24,52.35,147739.1236,38.8345,5.9149
