Date,Price,Market Cap,PE Ratio,PB Ratio
2017-10-17,18.55,4567.4738,,
2017-10-18,18.5,4555.1625,,
2017-10-19,18.5,4555.1625,,
2017-10-20,18.0,4432.05,,
2017-10-23,18.0,4432.05,,
2017-10-24,18.65,4592.0962,,
2017-10-25,18.65,4592.0962,,
2017-10-26,18.5,4555.1625,,
2017-10-27,18.54,4565.0115,,
2017-10-30,,4565.0115,,
2017-10-31,18.5,4555.1625,,
2017-11-01,18.5,4555.1625,,
2017-11-02,18.5,4555.1625,,
2017-11-03,18.54,4565.0115,,
2017-11-06,18.55,4567.4738,,
2017-11-07,18.58,4574.8605,,
2017-11-08,18.55,4567.4738,,
2017-11-09,18.55,4567.4738,,
2017-11-10,18.5,4555.1625,,
2017-11-13,18.5,4555.1625,,
2017-11-14,18.35,4518.2288,,
2017-11-15,18.5,4555.1625,,
2017-11-16,18.5,4555.1625,,
2017-11-17,18.55,4567.4738,,
2017-11-20,18.6,4579.785,,
2017-11-21,18.75,4616.7188,,
2017-11-22,18.75,4616.7188,,
2017-11-24,,4616.7188,,
2017-11-27,18.8,4629.03,,
2017-11-28,19.0,4678.275,,
2017-11-29,19.05,4690.5863,,
2017-11-30,19.75,4862.9437,,
2017-12-01,19.78,4870.3305,,
2017-12-04,20.0,4924.5,,
2017-12-05,21.0,5170.725,,
2017-12-06,19.85,4887.5663,,
2017-12-07,19.8,4875.255,,
2017-12-08,19.8,4875.255,,
2017-12-11,19.81,4877.7173,,
2017-12-12,19.81,4877.7173,,
2017-12-13,19.85,4887.5663,,
2017-12-14,20.0,4924.5,,
2017-12-15,20.0,4924.5,,
2017-12-18,20.0,4924.5,,
2017-12-19,19.975,4918.3444,,
2017-12-20,20.0,4924.5,,
2017-12-21,20.5,5047.6125,,
2017-12-22,20.2,4973.745,,
2017-12-26,20.0,4924.5,,
2017-12-27,20.5,6155.7195,,
2017-12-28,,6155.7195,,
2017-12-29,20.5,6155.7195,,1.3121
2018-01-02,20.1,6035.6079,,1.2865
2018-01-03,20.16,6053.6246,,1.2903
2018-01-04,20.2,6065.6358,,1.2929
2018-01-05,20.2,6065.6358,,1.2929
2018-01-08,20.2,6065.6358,,1.2929
2018-01-09,20.21,6068.6386,,1.2935
2018-01-10,20.0,6005.58,,1.2801
2018-01-11,20.0,6005.58,,1.2801
2018-01-12,19.99,6002.5772,,1.2795
2018-01-16,21.5,6455.9985,,1.3761
2018-01-17,21.28,6389.9371,,1.362
2018-01-18,21.0,6305.859,,1.3441
2018-01-19,20.75,6230.7893,,1.3281
2018-01-22,22.99,6903.4142,,1.4715
2018-01-23,21.0,6305.859,,1.3441
2018-01-24,21.0,6305.859,,1.3441
2018-01-25,20.93,6284.8395,,1.3396
2018-01-26,21.1,6335.8869,,1.3505
2018-01-29,21.1,6335.8869,,1.3505
2018-01-30,21.05,6320.873,,1.3473
2018-01-31,22.0,7706.138,,1.4081
2018-02-01,20.89,7536.6733,,1.3371
2018-02-02,21.01,7770.6325,,1.3447
2018-02-05,20.61,7622.6909,,1.3191
2018-02-06,20.5,7582.007,,1.3121
2018-02-07,20.76,7678.169,,1.3287
2018-02-08,20.0,7397.08,,1.2801
2018-02-09,19.91,7363.7931,,1.2743
2018-02-12,19.58,7241.7413,,1.2532
2018-02-13,19.7,7286.1238,,1.2609
2018-02-14,19.65,7267.6311,,1.2577
2018-02-15,19.85,7341.6019,,1.2705
2018-02-16,19.99,7393.3815,,1.2795
2018-02-20,20.0,7397.08,,1.2801
2018-02-21,19.67,7275.0282,,1.259
2018-02-22,19.84,7337.9034,,1.2699
2018-02-23,19.82,7330.5063,,1.2686
2018-02-26,19.7,7286.1238,,1.2609
2018-02-27,19.46,7197.3588,,1.2455
2018-02-28,19.55,7230.6457,,1.2513
2018-03-01,19.49,7208.4545,,1.2475
2018-03-02,19.4,7175.1676,,1.2417
2018-03-05,19.47,7201.0574,,1.2462
2018-03-06,19.61,7252.8369,,1.2551
2018-03-07,19.61,7252.8369,,1.2551
2018-03-08,19.29,7134.4837,,1.2347
