Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,65.12,10955.2625,32.8832,19.9143
2014-01-03,65.13,10956.9448,32.8882,19.9174
2014-01-06,63.65,10707.9616,32.1409,19.4648
2014-01-07,63.61,10701.2323,32.1207,19.4525
2014-01-08,63.36,10659.1743,31.9944,19.3761
2014-01-09,63.14,10622.1633,31.8833,19.3088
2014-01-10,62.93,10586.8346,31.7773,19.2446
2014-01-13,62.45,10506.0833,31.5349,19.0978
2014-01-14,63.0,10598.6109,31.8126,19.266
2014-01-15,63.43,10670.9506,32.0298,19.3975
2014-01-16,64.12,10787.0306,32.3782,19.6085
2014-01-17,63.45,10674.3152,32.0399,19.4036
2014-01-21,64.02,10770.2074,32.3277,19.5779
2014-01-22,63.97,10761.7958,32.3025,19.5626
2014-01-23,64.16,10793.7599,32.3984,19.6207
2014-01-24,63.57,10694.503,32.1005,19.4403
2014-01-27,63.31,10650.7627,31.9692,19.3608
2014-01-28,63.86,10743.2903,32.2469,19.529
2014-01-29,63.68,10713.0086,32.156,19.4739
2014-01-30,64.55,10859.3703,32.5953,19.74
2014-01-31,63.86,10743.2903,32.2469,19.529
2014-02-03,62.78,10561.5998,31.7015,19.1987
2014-02-04,62.74,10554.8706,31.6813,19.1865
2014-02-05,62.28,10477.4839,31.4491,19.0458
2014-02-06,62.33,10485.8955,31.4743,19.0611
2014-02-07,62.4,10497.6717,31.5097,19.0825
2014-02-10,62.3,10480.8485,31.4592,19.0519
2014-02-11,62.78,10561.5998,31.7015,19.1987
2014-02-12,63.28,10645.7158,31.954,19.3516
2014-02-13,65.89,11084.8011,33.272,20.1498
2014-02-14,65.65,11044.4254,33.1508,20.0764
2014-02-18,65.21,10970.4034,32.9286,19.9418
2014-02-19,65.49,11017.5083,33.07,20.0275
2014-02-20,66.05,11111.7182,33.3528,20.1987
2014-02-21,65.53,11024.2376,33.0902,20.0397
2014-02-24,65.38,10999.0028,33.0144,19.9938
2014-02-25,65.2,10877.6792,32.9236,19.9388
2014-02-26,63.78,10640.7727,32.2065,19.5045
2014-02-27,63.79,10642.4411,32.2116,19.5076
2014-02-28,63.715,10629.9284,32.1737,19.4847
2014-03-03,63.41,10579.0436,32.0197,19.3914
2014-03-04,63.47,10589.0537,32.05,19.4097
2014-03-05,62.1,10360.489,31.3582,18.9908
2014-03-06,62.58,10440.5701,31.6006,19.1376
2014-03-07,62.24,10383.846,31.4289,19.0336
2014-03-10,63.85,10652.4512,32.2419,19.5259
2014-03-11,63.73,10632.431,32.1813,19.4892
2014-03-12,63.29,10559.0233,31.9591,19.3547
2014-03-13,62.36,10403.8662,31.4895,19.0703
2014-03-14,62.37,10405.5346,31.4945,19.0733
2014-03-17,62.88,10490.6207,31.752,19.2293
2014-03-18,62.94,10500.6309,31.7823,19.2477
2014-03-19,62.83,10482.2789,31.7268,19.214
2014-03-20,62.47,10422.2181,31.545,19.1039
2014-03-21,62.48,10423.8865,31.5501,19.107
2014-03-24,61.615,10279.5737,31.1133,18.8425
2014-03-25,61.22,10213.6737,30.9138,18.7217
2014-03-26,60.77,10138.5977,30.6866,18.584
2014-03-27,60.5,10093.5521,30.5502,18.5015
2014-03-28,59.87,9988.4457,30.2321,18.3088
2014-03-31,59.96,10003.4609,29.6499,16.6552
2014-04-01,59.74,9966.757,29.5411,16.5941
2014-04-02,60.61,10111.904,29.9713,16.8357
2014-04-03,60.75,10135.261,30.0406,16.8746
2014-04-04,59.57,9938.395,29.4571,16.5468
2014-04-07,58.34,9733.1872,28.8488,16.2052
2014-04-08,58.9,9826.6151,29.1257,16.3607
2014-04-09,59.0,9843.2987,29.1752,16.3885
2014-04-10,58.08,9689.81,28.7203,16.133
2014-04-11,56.55,9434.5516,27.9637,15.708
2014-04-14,57.78,9639.7593,28.5719,16.0496
2014-04-15,57.12,9529.6478,28.2455,15.8663
2014-04-16,57.97,9671.4581,28.6659,16.1024
2014-04-17,57.6,9609.7289,28.4829,15.9996
2014-04-21,57.59,9608.0606,28.478,15.9968
2014-04-22,58.0,9676.4631,28.6807,16.1107
2014-04-23,58.0,9676.4631,28.6807,16.1107
2014-04-24,58.34,9733.1872,28.8488,16.2052
2014-04-25,57.81,9644.7644,28.5867,16.058
2014-04-28,57.65,9618.0707,28.5076,16.0135
2014-04-29,57.88,9656.4429,28.6214,16.0774
2014-04-30,60.09,9998.5016,29.7142,16.6913
2014-05-01,59.91,9968.551,29.6252,16.6413
2014-05-02,59.73,9938.6004,29.5362,16.5913
2014-05-05,60.25,10025.1243,29.7933,16.7357
2014-05-06,59.85,9958.5675,29.5955,16.6246
2014-05-07,59.73,9938.6004,29.5362,16.5913
2014-05-08,60.2,10016.8047,29.7686,16.7218
2014-05-09,60.53,10071.7141,29.9318,16.8135
2014-05-12,61.45,10224.7949,30.3867,17.069
2014-05-13,60.82,10119.9678,30.0752,16.8941
2014-05-14,60.91,10134.9431,30.1197,16.919
2014-05-15,60.25,10025.1243,29.7933,16.7357
2014-05-16,60.97,10144.9266,30.1493,16.9357
2014-05-19,61.16,10176.5411,30.2433,16.9885
2014-05-20,60.74,10106.6565,30.0356,16.8718
2014-05-21,60.99,10148.2545,30.1592,16.9413
2014-05-22,60.63,10088.3533,29.9812,16.8413
2014-05-23,60.95,10141.5988,30.1395,16.9302
2014-05-27,61.13,10171.5494,30.2285,16.9802
2014-05-28,60.54,10073.378,29.9367,16.8163
2014-05-29,60.81,10118.3039,30.0702,16.8913
2014-05-30,59.19,9848.7487,29.2691,16.4413
2014-06-02,59.57,9911.9777,29.4571,16.5468
2014-06-03,59.92,9970.2149,29.6301,16.6441
2014-06-04,60.88,10129.9514,30.1048,16.9107
2014-06-05,61.34,10206.4917,30.3323,17.0385
2014-06-06,61.34,10206.4917,30.3323,17.0385
2014-06-09,61.79,10281.3682,30.5548,17.1635
2014-06-10,61.19,10181.5329,30.2581,16.9968
2014-06-11,61.14,10173.2133,30.2334,16.9829
2014-06-12,60.6,10083.3616,29.9664,16.8329
2014-06-13,60.42,10053.411,29.8774,16.7829
2014-06-16,60.8,10116.64,30.0653,16.8885
2014-06-17,60.38,10046.7553,29.8576,16.7718
2014-06-18,59.99,9981.8624,29.6647,16.6635
2014-06-19,60.2,10016.8047,29.7686,16.7218
2014-06-20,60.46,10060.0667,29.8972,16.7941
2014-06-23,60.37,10045.0914,29.8527,16.7691
2014-06-24,59.54,9906.9859,29.4422,16.5385
2014-06-25,59.23,9855.4044,29.2889,16.4524
2014-06-26,59.15,9842.093,29.2494,16.4302
2014-06-27,59.67,9928.6169,29.5065,16.5746
2014-06-30,60.02,9986.8541,28.9625,14.7648
2014-07-01,60.9,10133.2792,29.3872,14.9813
2014-07-02,60.58,10080.0337,29.2328,14.9025
2014-07-03,61.15,10174.8772,29.5078,15.0428
2014-07-07,61.4,10216.4753,29.6284,15.1042
2014-07-08,61.15,10174.8772,29.5078,15.0428
2014-07-09,60.95,10141.5988,29.4113,14.9936
2014-07-10,61.02,10153.2463,29.4451,15.0108
2014-07-11,61.12,10169.8855,29.4933,15.0354
2014-07-14,61.14,10173.2133,29.503,15.0403
2014-07-15,61.48,10229.7866,29.667,15.1239
2014-07-16,61.5,10233.1145,29.6767,15.1288
2014-07-17,61.46,10226.4588,29.6574,15.119
2014-07-18,62.49,10397.8426,30.1544,15.3724
2014-07-21,62.28,10362.9003,30.0531,15.3207
2014-07-22,62.52,10402.8344,30.1689,15.3798
2014-07-23,62.8,10449.4242,30.304,15.4486
2014-07-24,63.2,10515.981,30.497,15.547
2014-07-25,62.97,10477.7109,30.386,15.4905
2014-07-28,62.66,10426.1293,30.2365,15.4142
2014-07-29,62.19,10353.0882,30.0097,15.2986
2014-07-30,60.79,10120.023,29.3341,14.9542
2014-07-31,60.04,9995.1667,28.9722,14.7697
2014-08-01,59.47,9900.2759,28.6971,14.6295
2014-08-04,59.55,9913.5939,28.7357,14.6492
2014-08-05,59.42,9891.9521,28.673,14.6172
2014-08-06,59.72,9941.8947,28.8178,14.691
2014-08-07,60.4,10055.0977,29.1459,14.8583
2014-08-08,60.17,10016.8085,29.0349,14.8017
2014-08-11,60.75,10113.364,29.3148,14.9444
2014-08-12,60.75,10113.364,29.3148,14.9444
2014-08-13,61.63,10259.8621,29.7394,15.1608
2014-08-14,62.46,10398.0365,30.1399,15.365
2014-08-15,62.69,10436.3258,30.2509,15.4216
2014-08-18,63.77,10616.1189,30.7721,15.6873
2014-08-19,63.55,10579.4944,30.6659,15.6331
2014-08-20,63.58,10584.4886,30.6804,15.6405
2014-08-21,64.15,10679.3795,30.9554,15.7807
2014-08-22,63.8,10621.1132,30.7866,15.6946
2014-08-25,63.63,10592.8124,30.7045,15.6528
2014-08-26,64.07,10666.0615,30.9168,15.7611
2014-08-27,63.8,10621.1132,30.7866,15.6946
2014-08-28,63.88,10634.4312,30.8252,15.7143
2014-08-29,64.19,10686.0385,30.9748,15.7906
2014-09-02,64.47,10732.6515,31.1099,15.8595
2014-09-03,64.27,10699.3565,31.0134,15.8103
2014-09-04,64.28,10701.0212,31.0182,15.8127
2014-09-05,64.64,10760.9523,31.1919,15.9013
2014-09-08,64.22,10691.0327,30.9892,15.798
2014-09-09,64.24,10694.3622,30.9989,15.8029
2014-09-10,64.68,10767.6113,31.2112,15.9111
2014-09-11,64.77,10782.5941,31.2546,15.9333
2014-09-12,64.63,10759.2875,31.1871,15.8988
2014-09-15,64.26,10697.6917,31.0085,15.8078
2014-09-16,64.5,10737.6458,31.1243,15.8668
2014-09-17,64.77,10782.5941,31.2546,15.9333
2014-09-18,64.64,10760.9523,31.1919,15.9013
2014-09-19,64.06,10664.3967,30.912,15.7586
2014-09-22,63.15,10512.9043,30.4729,15.5347
2014-09-23,62.21,10356.4177,30.0193,15.3035
2014-09-24,62.36,10381.389,30.0917,15.3404
2014-09-25,61.33,10209.9196,29.5947,15.087
2014-09-26,61.34,10211.5844,29.5995,15.0895
2014-09-29,60.93,10143.3296,29.4016,14.9886
2014-09-30,60.89,10136.6706,28.9745,13.8862
2014-10-01,60.11,10006.82,28.6034,13.7083
2014-10-02,60.18,10018.4732,28.6367,13.7242
2014-10-03,60.26,10031.7912,28.6747,13.7425
2014-10-06,60.46,10065.0862,28.7699,13.7881
2014-10-07,59.78,9951.8832,28.4463,13.633
2014-10-08,60.48,10068.4158,28.7794,13.7927
2014-10-09,59.73,9943.5594,28.4225,13.6216
2014-10-10,59.07,9833.6858,28.1085,13.4711
2014-10-13,59.11,9840.3448,28.1275,13.4802
2014-10-14,59.63,9926.9119,28.375,13.5988
2014-10-15,59.17,9850.3333,28.1561,13.4939
2014-10-16,59.24,9861.9866,28.1894,13.5099
2014-10-17,59.46,9898.6111,28.2941,13.56
2014-10-20,59.95,9980.1839,28.5272,13.6718
2014-10-21,61.09,10169.9656,29.0697,13.9318
2014-10-22,60.69,10103.3755,28.8794,13.8405
2014-10-23,61.17,10183.2836,29.1078,13.95
2014-10-24,61.87,10299.8162,29.4409,14.1096
2014-10-27,62.46,10398.0365,29.7216,14.2442
2014-10-28,63.14,10413.0651,30.0452,14.3993
2014-10-29,61.53,10147.5434,29.2791,14.0321
2014-10-30,61.86,10201.9671,29.4361,14.1074
2014-10-31,62.35,10282.7781,29.6693,14.2191
2014-11-03,62.0,10225.056,29.5027,14.1393
2014-11-04,62.0,10225.056,29.5027,14.1393
2014-11-05,62.83,10361.9398,29.8977,14.3286
2014-11-06,63.9,10538.4045,30.4068,14.5726
2014-11-07,64.25,10596.1265,30.5734,14.6524
2014-11-10,63.99,10553.2473,30.4497,14.5931
2014-11-11,63.01,10391.6254,29.9833,14.3696
2014-11-12,63.12,10409.7667,30.0357,14.3947
2014-11-13,63.16,10416.3635,30.0547,14.4038
2014-11-14,62.87,10368.5366,29.9167,14.3377
2014-11-17,63.08,10403.1698,30.0166,14.3856
2014-11-18,62.69,10338.8509,29.8311,14.2966
2014-11-19,62.21,10259.6892,29.6027,14.1872
2014-11-20,62.18,10254.7416,29.5884,14.1803
2014-11-21,62.3,10274.532,29.6455,14.2077
2014-11-24,62.1,10241.548,29.5503,14.1621
2014-11-25,62.19,10256.3908,29.5931,14.1826
2014-11-26,62.03,10230.0036,29.517,14.1461
2014-11-28,61.98,10221.7576,29.4932,14.1347
2014-12-01,62.38,10287.7257,29.6835,14.226
2014-12-02,62.55,10315.7621,29.7644,14.2647
2014-12-03,62.66,10333.9033,29.8168,14.2898
2014-12-04,62.42,10294.3225,29.7026,14.2351
2014-12-05,63.26,10432.8555,30.1023,14.4266
2014-12-08,63.4,10455.9443,30.1689,14.4586
2014-12-09,63.3,10439.4523,30.1213,14.4358
2014-12-10,63.0,10389.9762,29.9786,14.3673
2014-12-11,62.89,10371.835,29.9262,14.3423
2014-12-12,62.39,10289.3749,29.6883,14.2282
2014-12-15,62.58,10320.7097,29.7787,14.2716
2014-12-16,62.77,10352.0446,29.8691,14.3149
2014-12-17,63.75,10513.6664,30.3355,14.5384
2014-12-18,64.85,10695.0787,30.8589,14.7892
2014-12-19,64.7,10670.3407,30.7875,14.755
2014-12-22,65.15,10744.5548,31.0017,14.8577
2014-12-23,64.92,10706.6231,30.8922,14.8052
2014-12-24,64.88,10700.0263,30.8732,14.7961
2014-12-26,64.76,10680.2359,30.8161,14.7687
2014-12-29,64.71,10671.9899,30.7923,14.7573
2014-12-30,64.82,10690.1311,30.8446,14.7824
