Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,73.83,17258.2695,,12.7253
2014-01-03,73.45,17169.4418,,12.6598
2014-01-06,75.5,17648.6434,,13.0131
2014-01-07,74.49,17412.549,,12.839
2014-01-08,75.23,17585.5291,,12.9666
2014-01-09,76.32,17840.324,,13.1545
2014-01-10,78.21,18282.1245,,13.4802
2014-01-13,77.04,18008.629,,13.2786
2014-01-14,79.38,18555.6201,,13.6819
2014-01-15,78.77,18413.0284,,13.5767
2014-01-16,81.0,18934.3062,,13.9611
2014-01-17,82.09,19189.1012,,14.149
2014-01-21,85.48,19981.5369,,14.7333
2014-01-22,84.12,19663.6276,,14.4989
2014-01-23,83.83,19595.8381,,14.4489
2014-01-24,79.77,18646.7852,,13.7491
2014-01-27,79.37,18553.2825,,13.6801
2014-01-28,79.3,18536.9195,,13.6681
2014-01-29,78.82,18427.2491,,13.5854
2014-01-30,82.15,19205.7665,,14.1593
2014-01-31,79.04,18478.6827,,13.6233
2014-02-03,77.63,18149.0402,,13.3802
2014-02-04,79.15,18504.3995,,13.6422
2014-02-05,77.41,18097.6066,,13.3423
2014-02-06,78.17,18275.2862,,13.4733
2014-02-07,81.41,19032.7626,,14.0318
2014-02-10,82.17,19210.4423,,14.1628
2014-02-11,84.98,20035.8996,,14.6471
2014-02-12,83.9,19781.2659,,14.4609
2014-02-13,85.0,20040.6151,,14.6505
2014-02-14,81.61,19241.3482,,14.0662
2014-02-18,82.0,19333.2993,,14.1335
2014-02-19,82.6,19474.7624,,14.2369
2014-02-20,84.01,19807.2009,,14.4799
2014-02-21,84.81,19995.8184,,14.6178
2014-02-24,83.95,19793.0545,,14.4696
2014-02-25,84.62,19951.0217,,14.585
2014-02-26,83.95,19793.0545,,14.4696
2014-02-27,83.16,19606.7947,,14.3334
2014-02-28,80.86,19064.5192,,13.937
2014-03-03,81.56,19229.5596,,14.0576
2014-03-04,83.12,19597.3638,,14.3265
2014-03-05,82.96,19559.6403,,14.2989
2014-03-06,79.94,18847.6091,,13.7784
2014-03-07,79.94,18847.6091,,13.7784
2014-03-10,79.65,18779.2352,,13.7284
2014-03-11,79.19,18670.7801,,13.6491
2014-03-12,79.87,18831.105,,13.7663
2014-03-13,77.86,18357.2034,,13.4199
2014-03-14,78.32,18465.6585,,13.4992
2014-03-17,77.7,18319.4799,,13.3923
2014-03-18,79.0,18625.9834,,13.6164
2014-03-19,77.8,18343.0571,,13.4095
2014-03-20,77.77,18335.9839,,13.4044
2014-03-21,73.83,17407.0425,,12.7253
2014-03-24,72.44,17079.3195,,12.4857
2014-03-25,71.9,16952.0026,,12.3926
2014-03-26,70.44,16607.7756,,12.141
2014-03-27,70.78,16687.9381,,12.1996
2014-03-28,67.8,15985.3377,,11.686
2014-03-31,70.72,16697.8827,,13.5709
2014-04-01,71.87,16969.4122,,13.7916
2014-04-02,72.3,17070.9406,,13.8741
2014-04-03,69.12,16320.1025,,13.2639
2014-04-04,65.84,15545.6532,,12.6345
2014-04-07,66.4,15677.8763,,12.7419
2014-04-08,65.35,15429.9581,,12.5404
2014-04-09,69.95,16516.076,,13.4232
2014-04-10,65.69,15510.2363,,12.6057
2014-04-11,63.06,14889.2602,,12.101
2014-04-14,62.44,14742.8704,,11.982
2014-04-15,63.25,14934.1216,,12.1375
2014-04-16,64.39,15203.29,,12.3562
2014-04-17,64.17,15151.3452,,12.314
2014-04-21,65.47,15458.2916,,12.5635
2014-04-22,68.3,16126.4902,,13.1065
2014-04-23,66.92,15800.6548,,12.8417
2014-04-24,66.18,15625.9315,,12.6997
2014-04-25,64.19,15156.0674,,12.3178
2014-04-28,64.51,15231.6235,,12.3793
2014-04-29,67.57,15954.128,,12.9665
2014-04-30,67.7,15984.8227,,12.9914
2014-05-01,68.95,16279.9634,,13.2313
2014-05-02,66.37,15670.7929,,12.7362
2014-05-05,68.41,16158.0545,,13.1276
2014-05-06,66.56,15721.095,,12.7726
2014-05-07,65.17,15392.7849,,12.5059
2014-05-08,63.8,15069.1986,,12.243
2014-05-09,65.05,15364.4416,,12.4829
2014-05-12,67.74,15999.8043,,12.9991
2014-05-13,66.71,15756.5242,,12.8014
2014-05-14,67.69,15987.9946,,12.9895
2014-05-15,65.46,15461.2812,,12.5616
2014-05-16,65.03,15359.7177,,12.479
2014-05-19,67.22,15876.9833,,12.8993
2014-05-20,65.49,15468.3671,,12.5673
2014-05-21,67.15,15860.4497,,12.8859
2014-05-22,71.18,16812.3128,,13.6592
2014-05-23,71.04,16779.2456,,13.6323
2014-05-27,73.36,17327.2165,,14.0775
2014-05-28,71.72,16939.8578,,13.7628
2014-05-29,72.81,17197.3096,,13.972
2014-05-30,72.26,17067.4027,,13.8665
2014-06-02,72.63,17154.7946,,13.9375
2014-06-03,72.96,17232.7387,,14.0008
2014-06-04,72.64,17157.1566,,13.9394
2014-06-05,73.06,17256.3582,,14.02
2014-06-06,73.49,17357.9217,,14.1025
2014-06-09,74.61,17622.4594,,14.3174
2014-06-10,74.04,17487.8286,,14.208
2014-06-11,74.08,17497.2764,,14.2157
2014-06-12,73.5,17360.2837,,14.1044
2014-06-13,73.49,17357.9217,,14.1025
2014-06-16,67.12,15853.3638,,12.8801
2014-06-17,65.89,15562.8448,,12.6441
2014-06-18,65.08,15371.5274,,12.4886
2014-06-19,64.63,15265.2399,,12.4023
2014-06-20,64.96,15343.1841,,12.4656
2014-06-23,66.61,15732.9047,,12.7822
2014-06-24,93.53,22091.2562,,17.9481
2014-06-25,89.86,21224.423,,17.2438
2014-06-26,93.17,22006.2263,,17.879
2014-06-27,93.77,22147.9429,,17.9941
2014-06-30,94.68,22362.8797,,19.1684
2014-07-01,95.85,22639.2271,,19.4053
2014-07-02,98.03,23154.1308,,19.8466
2014-07-03,98.8,23336.0004,,20.0025
2014-07-07,96.84,22873.0595,,19.6057
2014-07-08,95.04,22447.9097,,19.2413
2014-07-09,98.1,23170.6644,,19.8608
2014-07-10,97.82,23104.5299,,19.8041
2014-07-11,99.07,23399.7729,,20.0572
2014-07-14,98.38,23236.7988,,19.9175
2014-07-15,96.53,22799.8392,,19.5429
2014-07-16,96.83,22870.6975,,19.6037
2014-07-17,94.49,22318.0028,,19.1299
2014-07-18,97.2,22958.0895,,19.6786
2014-07-21,96.31,22747.8765,,19.4984
2014-07-22,97.74,23085.6344,,19.7879
2014-07-23,98.14,23180.1121,,19.8689
2014-07-24,95.77,22620.3316,,19.3891
2014-07-25,95.75,22615.6077,,19.385
2014-07-28,95.56,22570.7307,,19.3465
2014-07-29,95.56,22570.7307,,19.3465
2014-07-30,92.01,21732.2408,,18.6278
2014-07-31,88.91,21167.8286,,18.0002
2014-08-01,87.53,20839.2761,,17.7208
2014-08-04,86.69,20639.2876,,17.5508
2014-08-05,87.0,20713.0929,,17.6135
2014-08-06,86.81,20667.8574,,17.5751
2014-08-07,84.74,20175.0287,,17.156
2014-08-08,86.42,20575.0056,,17.4961
2014-08-11,86.2,20522.6277,,17.4516
2014-08-12,85.41,20334.5433,,17.2916
2014-08-13,88.75,21129.7356,,17.9678
2014-08-14,90.37,21515.4277,,18.2958
2014-08-15,90.88,21636.8492,,18.3991
2014-08-18,91.3,21736.8435,,18.4841
2014-08-19,91.92,21884.454,,18.6096
2014-08-20,91.3,21736.8435,,18.4841
2014-08-21,88.99,21186.8752,,18.0164
2014-08-22,90.22,21479.7154,,18.2654
2014-08-25,91.76,21846.361,,18.5772
2014-08-26,93.64,22293.9543,,18.9578
2014-08-27,93.03,22148.7245,,18.8343
2014-08-28,92.8,22093.9658,,18.7878
2014-08-29,93.57,22277.2885,,18.9437
2014-09-02,92.96,22132.0588,,18.8202
2014-09-03,92.82,22098.7274,,18.7918
2014-09-04,91.55,21796.3639,,18.5347
2014-09-05,95.04,22627.2684,,19.2413
2014-09-08,94.49,22496.3236,,19.1299
2014-09-09,93.12,22170.1519,,18.8526
2014-09-10,94.74,22555.8439,,19.1805
2014-09-11,94.25,22439.184,,19.0813
2014-09-12,92.99,22139.2013,,18.8262
2014-09-15,92.13,21934.4511,,18.6521
2014-09-16,93.86,22346.3322,,19.0024
2014-09-17,94.5,22498.7044,,19.1319
2014-09-18,97.35,23177.2367,,19.7089
2014-09-19,103.75,24700.9585,,21.0047
2014-09-22,104.71,24929.5168,,21.199
2014-09-23,104.84,24960.4674,,21.2253
2014-09-24,111.98,26660.3695,,22.6709
2014-09-25,110.28,26255.6309,,22.3267
2014-09-26,113.6,27046.0615,,22.9988
2014-09-29,113.9,27117.486,,23.0596
2014-09-30,112.31,26738.9364,,23.342
2014-10-01,107.25,25534.2438,,22.2904
2014-10-02,104.8,24950.9441,,21.7812
2014-10-03,108.59,25853.2731,,22.5689
2014-10-06,105.76,25179.5024,,21.9807
2014-10-07,102.83,24481.9235,,21.3717
2014-10-08,107.02,25479.4851,,22.2426
2014-10-09,105.27,25062.8424,,21.8788
2014-10-10,104.73,24934.2784,,21.7666
2014-10-13,105.91,25215.2146,,22.0119
2014-10-14,104.26,24822.3801,,21.6689
2014-10-15,101.1,24070.0425,,21.0122
2014-10-16,101.26,24108.1355,,21.0454
2014-10-17,102.35,24367.6444,,21.272
2014-10-20,104.77,24943.8017,,21.7749
2014-10-21,108.16,25750.898,,22.4795
2014-10-22,106.17,25277.1158,,22.0659
2014-10-23,108.09,25734.2323,,22.4649
2014-10-24,109.91,26167.5407,,22.8432
2014-10-27,111.59,26567.5177,,23.1924
2014-10-28,114.07,27157.9599,,23.7078
2014-10-29,109.91,26167.5407,,22.8432
2014-10-30,110.85,26391.3373,,23.0386
2014-10-31,112.64,26817.5033,,23.4106
2014-11-03,112.98,26898.451,,23.4813
2014-11-04,114.1,27165.1023,,23.714
2014-11-05,111.59,26567.5177,,23.1924
2014-11-06,117.29,28210.8025,,24.377
2014-11-07,115.93,27883.6928,,24.0944
2014-11-10,116.94,28126.6199,,24.3043
2014-11-11,117.49,28258.9068,,24.4186
2014-11-12,116.68,28064.0842,,24.2502
2014-11-13,112.72,27111.6178,,23.4272
2014-11-14,111.34,26779.6977,,23.1404
2014-11-17,111.62,26847.0439,,23.1986
2014-11-18,111.04,26707.5412,,23.0781
2014-11-19,112.8,27130.8596,,23.4438
2014-11-20,112.89,27152.5065,,23.4625
2014-11-21,111.4,26794.1291,,23.1529
2014-11-24,113.8,27371.3814,,23.6517
2014-11-25,114.19,27465.1849,,23.7327
2014-11-26,115.39,27753.8111,,23.9821
2014-11-28,117.88,28352.7104,,24.4996
2014-12-01,116.85,28104.9729,,24.2856
2014-12-02,118.95,28610.0687,,24.722
2014-12-03,120.18,28905.9105,,24.9777
2014-12-04,118.71,28552.3434,,24.6722
2014-12-05,117.95,28369.5469,,24.5142
2014-12-08,119.38,28713.4931,,24.8114
2014-12-09,120.3,28934.7731,,25.0026
2014-12-10,117.2,28189.1555,,24.3583
2014-12-11,120.78,29050.2236,,25.1024
2014-12-12,118.55,28513.86,,24.6389
2014-12-15,112.88,27150.1013,,23.4605
2014-12-16,110.855,26663.0447,,23.0396
2014-12-17,111.85,26902.3639,,23.2464
2014-12-18,117.74,28319.0373,,24.4706
2014-12-19,118.9,28598.0426,,24.7116
2014-12-22,116.68,28064.0842,,24.2502
2014-12-23,113.75,27359.3553,,23.6413
2014-12-24,115.15,27696.0858,,23.9323
2014-12-26,118.41,28480.1869,,24.6098
2014-12-29,119.79,28812.107,,24.8966
2014-12-30,119.15,28658.173,,24.7636
2014-12-31,118.8,28573.9904,,26.7176
2015-01-02,123.07,29601.0185,,27.6779
2015-01-05,121.03,29110.354,,27.2191
2015-01-06,117.36,28227.639,,26.3938
2015-01-07,120.66,29021.361,,27.1359
2015-01-08,123.97,29817.4881,,27.8803
2015-01-09,122.21,29394.1698,,27.4845
2015-01-12,118.31,28456.1347,,26.6074
2015-01-13,120.6,29006.9297,,27.1224
2015-01-14,120.38,28954.0149,,27.073
2015-01-15,117.78,28328.6582,,26.4882
2015-01-16,122.86,29550.5089,,27.6307
2015-01-20,124.74,30002.6899,,28.0535
2015-01-21,125.085,30085.67,,28.1311
2015-01-22,127.3,30618.4258,,28.6292
2015-01-23,125.57,30202.323,,28.2402
2015-01-26,125.12,30094.0882,,28.139
2015-01-27,123.67,29745.3316,,27.8129
2015-01-28,121.26,29165.6741,,27.2709
2015-01-29,114.14,27453.1588,,25.6696
2015-01-30,110.14,26491.0716,,24.77
2015-02-02,111.18,26741.2143,,25.0039
2015-02-03,108.72,26149.5306,,24.4507
2015-02-04,109.27,26281.8176,,24.5744
2015-02-05,111.59,26839.8282,,25.0961
2015-02-06,108.66,26135.0993,,24.4372
2015-02-09,107.88,25947.4923,,24.2618
2015-02-10,108.43,26079.7793,,24.3855
2015-02-11,108.62,26125.4784,,24.4282
2015-02-12,109.63,26368.4055,,24.6553
2015-02-13,113.66,27515.8224,,25.5617
2015-02-17,113.4,27452.8793,,25.5032
2015-02-18,113.57,27494.0344,,25.5414
2015-02-19,111.97,27106.6922,,25.1816
2015-02-20,118.61,28714.1623,,26.6749
2015-02-23,117.12,28353.4499,,26.3398
2015-02-24,116.92,28305.0321,,26.2948
2015-02-25,118.84,28769.8428,,26.7266
2015-02-26,119.97,29043.4032,,26.9808
2015-02-27,119.43,28912.6752,,26.8593
2015-03-02,120.17,29091.821,,27.0257
2015-03-03,123.52,29902.8188,,27.7791
2015-03-04,120.05,29062.7703,,26.9987
2015-03-05,126.96,30735.6045,,28.5528
2015-03-06,126.34,30585.5094,,28.4133
