Date,Price,Market Cap,PE Ratio,PB Ratio
2016-10-04,16.0,,,
2016-10-05,15.5,,,
2016-10-06,15.75,6733.125,,
2016-10-07,15.9,6797.25,,
2016-10-10,16.0,6840.0,,
2016-10-11,16.35,6989.625,,
2016-10-12,16.35,6989.625,,
2016-10-13,16.1,6882.75,,
2016-10-14,16.1,6882.75,,
2016-10-17,16.1,6882.75,,
2016-10-18,16.0,6840.0,,
2016-10-19,15.99,6835.725,,
2016-10-20,15.9,6797.25,,
2016-10-21,15.7,6711.75,,
2016-10-24,15.68,6703.2,,
2016-10-25,15.58,6660.45,,
2016-10-26,15.45,6604.875,,
2016-10-27,15.2,6498.0,,
2016-10-28,15.2,6498.0,,
2016-10-31,15.2,6498.0,,
2016-11-01,15.0,6412.5,,
2016-11-02,13.6,5814.0,,
2016-11-03,13.6,5814.0,,
2016-11-04,14.0,5985.0,,
2016-11-07,14.1,6027.75,,
2016-11-08,14.2,6070.5,,
2016-11-09,14.05,6006.375,,
2016-11-10,14.23,6083.325,,
2016-11-11,14.71,6288.525,,
2016-11-14,14.4,6156.0,,
2016-11-15,14.32,6121.8,,
2016-11-16,14.1,6027.75,,
2016-11-17,14.05,6006.375,,
2016-11-18,14.1,6027.75,,
2016-11-21,14.0,5985.0,,
2016-11-22,14.05,6006.375,,
2016-11-23,14.0,5985.0,,
2016-11-25,,5985.0,,
2016-11-28,14.15,6049.125,,
2016-11-29,13.75,5878.125,,
2016-11-30,13.95,5963.625,,
2016-12-01,13.96,5967.9,,
2016-12-02,13.85,5920.875,,
2016-12-05,14.45,6177.375,,
2016-12-06,15.6,6669.0,,
2016-12-07,15.5,6626.25,,
2016-12-08,15.9,6797.25,,
2016-12-09,16.4,7011.0,,
2016-12-12,16.25,6946.875,,
2016-12-13,16.23,6938.325,,
2016-12-14,16.28,6959.7,,
2016-12-15,14.19,6066.225,,
2016-12-16,14.06,6010.65,,
2016-12-19,14.23,6083.325,,
2016-12-20,14.35,6134.625,,
2016-12-21,14.35,6134.625,,
2016-12-22,14.29,6108.975,,
2016-12-23,14.385,6149.5875,,
2016-12-27,15.0,6412.5,,
2016-12-28,15.0,6412.5,,
2016-12-29,15.5,6626.25,,
2016-12-30,15.5,6626.25,,
2017-01-03,15.36,6566.4,,
2017-01-04,16.1,6882.75,,
2017-01-05,16.19,6921.225,,
2017-01-06,16.2,6925.5,,
2017-01-09,15.9,6797.25,,
2017-01-10,15.85,6775.875,,
2017-01-11,15.67,6698.925,,
2017-01-12,16.0,6840.0,,
2017-01-13,16.45,7032.375,,
2017-01-17,16.85,7203.375,,
2017-01-18,17.05,7288.875,,
2017-01-19,16.88,7216.2,,
2017-01-20,16.94,7241.85,,
2017-01-23,16.95,7246.125,,
2017-01-24,16.8,7182.0,,
2017-01-25,16.75,7160.625,,
2017-01-26,16.85,7203.375,,
2017-01-27,16.73,7152.075,,
2017-01-30,16.3,6968.25,,
2017-01-31,16.21,6929.775,,
2017-02-01,16.35,6989.625,,
2017-02-02,16.29,6963.975,,
2017-02-03,16.7,7139.25,,
2017-02-06,17.15,7331.625,,
2017-02-07,17.12,7318.8,,
2017-02-08,17.25,7374.375,,
2017-02-09,17.25,7374.375,,
2017-02-10,17.95,7673.625,,
2017-02-13,17.75,7588.125,,
2017-02-14,17.7,7566.75,,
2017-02-15,17.65,7545.375,,
2017-02-16,17.4,7438.5,,
2017-02-17,17.35,7417.125,,
2017-02-21,17.13,7323.075,,
2017-02-22,16.785,7175.5875,,
2017-02-23,16.3,6968.25,,
2017-02-24,16.62,7105.05,,
2017-02-27,16.17,6912.675,,
2017-02-28,16.16,6908.4,,
2017-03-01,16.3,6968.25,,
2017-03-02,16.2,6925.5,,
2017-03-03,16.26,6951.15,,
2017-03-06,16.17,6912.675,,
2017-03-07,16.1,6882.75,,
2017-03-08,15.85,6775.875,,
2017-03-09,15.41,6587.775,,
2017-03-10,15.69,6707.475,,
2017-03-13,16.22,6934.05,,
2017-03-14,16.17,6912.675,,
2017-03-15,16.14,6899.85,,
2017-03-16,16.15,6904.125,,
2017-03-17,16.08,6874.2,,
2017-03-20,16.2,6925.5,,
2017-03-21,16.0,6840.0,,
2017-03-22,15.85,6775.875,,
2017-03-23,15.73,6724.575,,
2017-03-24,15.8,6754.5,,
2017-03-27,15.85,6775.875,,
2017-03-28,15.9,6797.25,,
2017-03-29,16.25,6946.875,,
2017-03-30,16.28,6959.7,,
2017-03-31,16.3,6968.25,,1.0434
2017-04-03,16.35,6989.625,,1.0466
2017-04-04,16.49,7049.475,,1.0555
2017-04-05,16.48,7045.2,,1.0549
2017-04-06,16.41,7015.275,,1.0504
2017-04-07,16.25,6946.875,,1.0402
2017-04-10,16.25,6946.875,,1.0402
2017-04-11,16.15,6904.125,,1.0338
2017-04-12,16.0,6840.0,,1.0242
2017-04-13,16.17,6912.675,,1.035
2017-04-17,15.98,6831.45,,1.0229
2017-04-18,16.0,6840.0,,1.0242
2017-04-19,15.8,6754.5,,1.0114
2017-04-20,15.55,6647.625,,0.9954
2017-04-21,15.2,6498.0,,0.973
2017-04-24,15.48,6617.7,,0.9909
2017-04-25,15.45,6604.875,,0.989
2017-04-26,15.63,6681.825,,1.0005
2017-04-27,15.22,6506.55,,0.9742
2017-04-28,14.95,6391.125,,0.957
2017-05-01,14.98,6403.95,,0.9589
2017-05-02,14.59,6237.225,,0.9339
2017-05-03,14.69,6279.975,,0.9403
2017-05-04,14.62,6250.05,,0.9358
2017-05-05,15.03,6425.325,,0.9621
2017-05-08,15.0,6412.5,,0.9602
2017-05-09,15.01,6416.775,,0.9608
2017-05-10,15.15,6477.9491,,0.9698
2017-05-11,15.32,6550.639,,0.9806
2017-05-12,15.58,6661.8117,,0.9973
2017-05-15,15.73,6725.9498,,1.0069
2017-05-16,15.42,6593.3977,,0.987
2017-05-17,15.09,6452.2939,,0.9659
2017-05-18,14.8,6328.2935,,0.9473
2017-05-19,15.04,6430.9145,,0.9627
2017-05-22,14.96,6396.7075,,0.9576
2017-05-23,15.0,6413.811,,0.9602
2017-05-24,15.0,6413.811,,0.9602
2017-05-25,14.85,6349.6729,,0.9505
2017-05-26,14.99,6409.5352,,0.9595
2017-05-30,14.92,6379.604,,0.955
2017-05-31,14.77,6315.4659,,0.9454
2017-06-01,14.91,6375.3282,,0.9544
2017-06-02,14.99,6409.5352,,0.9595
2017-06-05,15.26,6524.9838,,0.9768
2017-06-06,15.52,6636.1565,,0.9934
2017-06-07,15.68,6704.5705,,1.0037
2017-06-08,15.72,6721.674,,1.0062
2017-06-09,15.8,6755.881,,1.0114
2017-06-12,16.0,6841.3984,,1.0242
2017-06-13,16.35,6991.054,,1.0466
2017-06-14,16.79,7179.1925,,1.0747
2017-06-15,16.6,7097.9509,,1.0626
2017-06-16,16.7,7140.7096,,1.069
2017-06-19,16.7,7140.7096,,1.069
2017-06-20,16.72,7149.2613,,1.0702
2017-06-21,16.7,7140.7096,,1.069
2017-06-22,16.65,7119.3302,,1.0658
2017-06-23,16.75,7162.089,,1.0722
2017-06-26,16.7,7140.7096,,1.069
2017-06-27,16.7,7140.7096,,1.069
2017-06-28,16.86,7209.1236,,1.0792
2017-06-29,16.7,7140.7096,,1.069
2017-06-30,16.79,7179.1925,,1.0783
2017-07-03,17.01,7273.2617,,1.0924
2017-07-05,16.74,7157.8131,,1.0751
2017-07-06,16.47,7042.3645,,1.0577
2017-07-07,16.44,7029.5369,,1.0558
2017-07-10,16.42,7020.9851,,1.0545
2017-07-11,16.44,7029.5369,,1.0558
2017-07-12,16.27,6956.847,,1.0449
2017-07-13,15.88,6790.0879,,1.0198
2017-07-14,16.02,6849.9502,,1.0288
2017-07-17,15.96,6824.2949,,1.025
2017-07-18,16.03,6854.226,,1.0295
2017-07-19,15.96,6824.2949,,1.025
2017-07-20,16.2,6926.9159,,1.0404
2017-07-21,16.39,7008.1575,,1.0526
2017-07-24,16.6,7097.9509,,1.0661
2017-07-25,16.61,7102.2267,,1.0667
2017-07-26,16.51,7059.468,,1.0603
2017-07-27,16.52,7063.7439,,1.0609
2017-07-28,16.43,7025.261,,1.0552
2017-07-31,16.43,7025.261,,1.0552
2017-08-01,16.61,7102.2201,,1.0667
2017-08-02,16.52,7063.7372,,1.0609
2017-08-03,16.18,6918.3577,,1.0391
2017-08-04,16.66,7123.6494,,1.0699
2017-08-07,17.02,7277.5818,,1.0931
2017-08-08,17.19,7350.2721,,1.104
2017-08-09,17.07,7298.9613,,1.0963
2017-08-10,17.0,7269.03,,1.0918
2017-08-11,17.21,7358.8239,,1.1053
2017-08-14,17.38,7431.5142,,1.1162
2017-08-15,17.51,7487.1009,,1.1245
2017-08-16,17.66,7551.2394,,1.1342
2017-08-17,17.12,7320.3408,,1.0995
2017-08-18,17.54,7499.9286,,1.1265
2017-08-21,17.66,7551.2394,,1.1342
2017-08-22,17.68,7559.7912,,1.1354
2017-08-23,17.72,7576.8948,,1.138
2017-08-24,17.65,7546.9635,,1.1335
2017-08-25,17.75,7589.7225,,1.1399
2017-08-28,17.76,7593.9984,,1.1406
2017-08-29,17.71,7572.6189,,1.1374
2017-08-30,17.36,7422.9624,,1.1149
2017-08-31,17.7,7568.343,,1.1367
2017-09-01,17.84,7628.2056,,1.1457
2017-09-05,17.75,7589.7225,,1.1399
2017-09-06,17.77,7598.2743,,1.1412
2017-09-07,17.87,7641.0333,,1.1476
2017-09-08,17.65,7546.9635,,1.1335
2017-09-11,17.72,7576.8948,,1.138
2017-09-12,17.7,7568.343,,1.1367
2017-09-13,17.71,7572.6189,,1.1374
2017-09-14,17.8,7611.102,,1.1432
2017-09-15,17.78,7602.5502,,1.1419
2017-09-18,17.99,7692.3441,,1.1554
2017-09-19,17.88,7645.3092,,1.1483
2017-09-20,18.22,7790.6898,,1.1701
2017-09-21,18.16,7765.0344,,1.1663
2017-09-22,18.15,7760.7585,,1.1656
2017-09-25,18.16,7765.0344,,1.1663
2017-09-26,18.46,7893.3114,,1.1855
2017-09-27,18.7,7995.933,,1.201
2017-09-28,18.65,7974.5535,,1.1977
2017-09-29,18.69,7991.6571,,1.1524
2017-10-02,18.9,8081.451,,1.1653
2017-10-03,18.9,8081.451,,1.1653
2017-10-04,18.93,8094.2787,,1.1672
2017-10-05,19.12,8175.5208,,1.1789
2017-10-06,18.79,8034.4161,,1.1586
2017-10-09,18.93,8094.2787,,1.1672
2017-10-10,18.81,8042.9679,,1.1598
2017-10-11,19.01,8128.4859,,1.1721
2017-10-12,19.08,8158.4172,,1.1764
2017-10-13,19.0,8124.21,,1.1715
2017-10-16,18.99,8119.9341,,1.1709
2017-10-17,19.01,8128.4859,,1.1721
2017-10-18,18.7,7995.933,,1.153
2017-10-19,18.83,8051.5197,,1.161
2017-10-20,19.03,8137.0377,,1.1733
2017-10-23,19.48,8329.4532,,1.2011
2017-10-24,19.58,8372.2122,,1.2073
2017-10-25,20.32,8688.6288,,1.2529
2017-10-26,20.49,8761.3191,,1.2634
2017-10-27,20.3,8680.077,,1.2517
2017-10-30,18.57,7940.3463,,1.145
2017-10-31,19.44,8312.3496,,1.1986
2017-11-01,19.21,8214.0039,,1.1844
2017-11-02,19.12,8175.5208,,1.1789
2017-11-03,19.23,8234.4783,,1.1857
2017-11-06,19.36,8290.1456,,1.1937
2017-11-07,18.95,8114.5795,,1.1684
2017-11-08,18.88,8084.6048,,1.1641
2017-11-09,18.3,7836.243,,1.1283
2017-11-10,18.61,7968.9881,,1.1475
2017-11-13,18.95,8114.5795,,1.1684
2017-11-14,19.18,8213.0678,,1.1826
2017-11-15,19.15,8200.2215,,1.1807
2017-11-16,18.98,8127.4258,,1.1703
2017-11-17,19.15,8200.2215,,1.1807
2017-11-20,18.93,8106.0153,,1.1672
2017-11-21,18.9,8093.169,,1.1653
2017-11-22,19.44,8324.4024,,1.1986
2017-11-24,19.28,8255.8888,,1.1888
2017-11-27,19.02,8144.5542,,1.1727
2017-11-28,19.23,8234.4783,,1.1857
2017-11-29,19.15,8200.2215,,1.1807
2017-11-30,18.9,8093.169,,1.1653
2017-12-01,18.73,8020.3733,,1.1549
2017-12-04,18.57,7951.8597,,1.145
2017-12-05,17.81,7626.4201,,1.0981
2017-12-06,17.51,7497.9571,,1.0796
2017-12-07,17.77,7609.2917,,1.0957
2017-12-08,17.75,7600.7275,,1.0944
2017-12-11,18.11,7754.8831,,1.1166
2017-12-12,18.07,7737.7547,,1.1142
2017-12-13,17.45,7472.2645,,1.0759
2017-12-14,17.24,7382.3404,,1.063
2017-12-15,17.31,7412.3151,,1.0673
2017-12-18,17.79,7617.8559,,1.0969
2017-12-19,18.0,7707.78,,1.1098
2017-12-20,18.16,7776.2936,,1.1197
2017-12-21,18.16,7776.2936,,1.1197
2017-12-22,17.98,7699.2158,,1.1086
2017-12-26,17.74,7596.4454,,1.0938
2017-12-27,17.85,7643.5485,,1.1006
2017-12-28,17.91,7669.2411,,1.1043
2017-12-29,18.32,7844.8072,,1.2375
2018-01-02,18.42,7887.6282,,1.2443
2018-01-03,18.47,7909.0387,,1.2476
2018-01-04,18.49,7917.6029,,1.249
2018-01-05,18.68,7998.9628,,1.2618
2018-01-08,18.7,8007.527,,1.2632
2018-01-09,18.46,7904.7566,,1.247
2018-01-10,18.35,7857.6535,,1.2395
2018-01-11,18.54,7939.0134,,1.2524
2018-01-12,18.57,7951.8597,,1.2544
2018-01-16,17.98,7699.2158,,1.2145
2018-01-17,18.44,7896.1924,,1.2456
2018-01-18,18.79,8046.0659,,1.2693
2018-01-19,19.49,8345.8129,,1.3165
2018-01-22,19.24,8238.7604,,1.2997
2018-01-23,19.23,8234.4783,,1.299
2018-01-24,19.48,8341.5308,,1.3159
2018-01-25,19.72,8448.541,,1.3321
2018-01-26,19.79,8478.5308,,1.3368
2018-01-29,19.56,8379.993,,1.3213
2018-01-30,19.16,8208.623,,1.2942
2018-01-31,19.5,8354.2875,,1.3172
2018-02-01,19.64,8414.267,,1.3267
2018-02-02,19.15,8204.3387,,1.2936
2018-02-05,18.53,7938.7153,,1.2517
2018-02-06,18.67,7998.6948,,1.2611
2018-02-07,18.53,7938.7153,,1.2517
2018-02-08,17.46,7480.3005,,1.1794
2018-02-09,17.88,7660.239,,1.2078
2018-02-12,17.96,7694.513,,1.2132
2018-02-13,18.25,7818.7563,,1.2328
2018-02-14,18.26,7823.0405,,1.2335
2018-02-15,18.69,8007.2633,,1.2625
2018-02-16,18.83,8067.2428,,1.272
2018-02-20,18.88,8088.664,,1.2753
2018-02-21,18.67,7998.6948,,1.2611
2018-02-22,18.72,8020.116,,1.2645
2018-02-23,19.02,8148.6435,,1.2848
2018-02-26,18.98,8131.943,,1.2821
2018-02-27,18.98,8131.943,,1.2821
2018-02-28,18.95,8119.0896,,1.2801
2018-03-01,19.1,8183.3568,,1.2902
2018-03-02,19.59,8393.2963,,1.3233
2018-03-05,19.91,8530.3997,,1.3449
2018-03-06,20.47,8770.3306,,1.3827
2018-03-07,20.59,8821.7443,,1.3908
2018-03-08,20.81,8916.0029,,1.4057
2018-03-09,20.69,8864.5891,,1.3976
2018-03-12,20.46,8766.0461,,1.3821
2018-03-13,20.46,8766.0461,,1.3821
2018-03-14,20.29,8693.2099,,1.3706
2018-03-15,20.69,8864.5891,,1.3976
2018-03-16,20.43,8753.1926,,1.38
2018-03-19,19.93,8538.9686,,1.3463
2018-03-20,19.82,8491.8394,,1.3388
2018-03-21,20.15,8633.2272,,1.3611
2018-03-22,20.35,8719.0389,,1.3746
2018-03-23,20.19,8650.4863,,1.3638
2018-03-26,20.71,8873.2823,,1.3989
2018-03-27,20.86,8937.5504,,1.4091
2018-03-28,21.13,9053.233,,1.4273
2018-03-29,20.83,8924.6968,,1.7976
2018-04-02,20.35,8719.0389,,1.7561
2018-04-03,20.78,8903.856,,1.7932
2018-04-04,20.61,8831.014,,1.7786
2018-04-05,20.22,8663.906,,1.7449
2018-04-06,19.68,8432.5258,,1.6983
2018-04-09,20.83,10805.0834,,1.7976
2018-04-10,21.32,11059.2596,,1.8398
2018-04-11,21.47,11137.0687,,1.8528
2018-04-12,21.46,11131.8814,,1.8519
2018-04-13,21.65,11230.4395,,1.8683
2018-04-16,21.99,11406.8067,,1.8977
2018-04-17,22.35,11680.6688,,1.9287
2018-04-18,22.34,11675.4425,,1.9279
2018-04-19,22.12,11560.465,,1.9089
2018-04-20,21.88,11435.035,,1.8882
2018-04-23,22.33,11670.2163,,1.927
2018-04-24,22.28,11644.085,,1.9227
2018-04-25,22.48,11748.61,,1.9399
2018-04-26,22.6,11811.325,,1.9503
2018-04-27,22.74,11884.4925,,1.9624
2018-04-30,22.85,11941.9813,,1.9719
2018-05-01,22.85,11941.9813,,1.9719
2018-05-02,22.99,12015.1487,,1.984
2018-05-03,23.14,12093.5425,,1.9969
2018-05-04,23.01,12033.2176,,1.9857
2018-05-07,23.8,12446.3528,,2.0539
2018-05-08,23.17,12116.8905,,1.9995
2018-05-09,22.99,12022.7584,,1.984
2018-05-10,22.91,11980.922,,1.977
2018-05-11,22.94,11996.6106,,1.9796
2018-05-14,23.1,12080.2836,,1.9934
2018-05-15,23.14,12101.2018,,1.9969
2018-05-16,23.08,12069.8245,,1.9917
2018-05-17,22.88,11965.2331,,1.9745
2018-05-18,23.01,12033.2174,,1.9857
2018-05-21,23.01,12033.2174,,1.9857
2018-05-22,23.22,12143.0382,,2.0038
2018-05-23,23.23,12148.2677,,2.0047
2018-05-24,24.08,12592.7803,,2.078
2018-05-25,23.95,12524.7961,,2.0668
2018-05-29,24.01,12556.1734,,2.072
2018-05-30,24.27,12692.142,,2.0944
2018-05-31,24.53,12828.1105,,2.1168
2018-06-01,24.34,12728.7489,,2.1005
2018-06-04,24.27,12692.142,,2.0944
2018-06-05,24.38,12749.6671,,2.1039
2018-06-06,24.61,12869.947,,2.1238
2018-06-07,24.67,12901.3244,,2.1289
2018-06-08,24.56,12843.7992,,2.1194
2018-06-11,24.09,12598.0099,,2.0789
2018-06-12,24.2,12655.5351,,2.0884
2018-06-13,24.39,12754.8967,,2.1048
2018-06-14,24.01,12556.1734,,2.072
2018-06-15,23.75,12420.2049,,2.0495
2018-06-18,23.52,12299.925,,2.0297
2018-06-19,23.46,12268.5476,,2.0245
2018-06-20,23.65,12367.9093,,2.0409
2018-06-21,24.07,12587.5508,,2.0772
2018-06-22,23.65,12367.9093,,2.0409
2018-06-25,23.33,12200.5633,,2.0133
2018-06-26,23.84,12467.2709,,2.0573
2018-06-27,23.75,12420.2049,,2.0495
2018-06-28,23.5,12289.4659,,2.028
2018-06-29,23.66,12373.1388,,1.4585
2018-07-02,24.01,12556.1734,,1.4801
2018-07-03,22.81,11928.6262,,1.4061
2018-07-05,22.62,11829.2646,,1.3944
2018-07-06,22.91,11980.9218,,1.4123
2018-07-09,22.71,11876.3306,,1.4
2018-07-10,23.01,12033.2174,,1.4184
2018-07-11,22.87,11960.0036,,1.4098
2018-07-12,23.19,12127.3495,,1.4295
2018-07-13,23.44,12277.5457,,1.445
