Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,42.58,16302.0443,20.596,5.3786
2014-01-03,42.72,16355.6443,20.6637,5.3963
2014-01-06,42.26,16179.5301,20.4412,5.3382
2014-01-07,42.98,16455.1871,20.7895,5.4292
2014-01-08,44.73,17125.1865,21.6359,5.6502
2014-01-09,45.1,17266.8436,21.8149,5.697
2014-01-10,45.97,17599.929,22.2357,5.8069
2014-01-13,45.24,17320.4435,21.8826,5.7147
2014-01-14,46.22,17695.6432,22.3567,5.8384
2014-01-15,45.46,17404.672,21.989,5.7424
2014-01-16,45.41,17385.5292,21.9649,5.7361
2014-01-17,45.75,17515.7005,22.1293,5.7791
2014-01-21,46.45,17783.7003,22.4679,5.8675
2014-01-22,45.91,17576.9576,22.2067,5.7993
2014-01-23,45.26,17328.1007,21.8923,5.7172
2014-01-24,44.31,16964.3867,21.4328,5.5972
2014-01-27,44.01,16849.5296,21.2877,5.5593
2014-01-28,44.7,17113.7008,21.6214,5.6464
2014-01-29,44.48,17029.4723,21.515,5.6187
2014-01-30,45.55,17439.1292,22.0326,5.7538
2014-01-31,45.41,17385.5292,21.9649,5.7361
2014-02-03,43.65,16711.7012,21.1135,5.5138
2014-02-04,43.65,16711.7012,21.1135,5.5138
2014-02-05,43.44,16631.3012,21.012,5.4873
2014-02-06,43.49,16650.4441,21.0362,5.4936
2014-02-07,45.08,17259.1864,21.8052,5.6944
2014-02-10,44.84,17167.3008,21.6892,5.6641
2014-02-11,45.49,17416.1577,22.0036,5.7462
2014-02-12,45.65,17477.4148,22.0809,5.7664
2014-02-13,46.19,17684.1575,22.3421,5.8347
2014-02-14,46.1,17649.7004,22.2986,5.8233
2014-02-18,48.3,18491.9855,23.3628,6.1012
2014-02-19,51.15,19583.1275,24.7413,6.4612
2014-02-20,52.26,20008.0986,25.2782,6.6014
2014-02-21,51.92,19877.9272,25.1138,6.5585
2014-02-24,51.05,19544.8418,24.6929,6.4486
2014-02-25,51.33,19652.0417,24.8284,6.4839
2014-02-26,51.42,19686.4988,24.8719,6.4953
2014-02-27,56.27,20927.5167,27.2179,7.1079
2014-02-28,55.57,20667.178,26.8793,7.0195
2014-03-03,55.52,20648.5823,26.8551,7.0132
2014-03-04,57.2,21273.3953,27.6677,7.2254
2014-03-05,55.84,20767.5943,27.0099,7.0536
2014-03-06,54.54,20284.1081,26.3811,6.8894
2014-03-07,54.86,20403.1201,26.5358,6.9298
2014-03-10,53.41,19863.847,25.8345,6.7467
2014-03-11,53.99,20079.5562,26.115,6.8199
2014-03-12,53.06,19733.6776,25.6652,6.7025
2014-03-13,52.02,19346.8886,25.1621,6.5711
2014-03-14,52.63,19573.7552,25.4572,6.6481
2014-03-17,53.52,19904.7573,25.8877,6.7606
2014-03-18,53.9,20046.0841,26.0715,6.8086
2014-03-19,53.3,19822.9366,25.7813,6.7328
2014-03-20,52.61,19566.3169,25.4475,6.6456
2014-03-21,52.14,19391.5181,25.2202,6.5863
2014-03-24,49.97,18584.4679,24.1705,6.3121
2014-03-25,50.71,18859.6832,24.5285,6.4056
2014-03-26,49.16,18283.2188,23.7787,6.2098
2014-03-27,48.58,18067.5095,23.4982,6.1366
2014-03-28,48.83,18160.4877,23.6191,6.1681
2014-03-31,48.83,18160.4877,23.5623,5.745
2014-04-01,49.31,18339.0057,23.7939,5.8015
2014-04-02,50.77,18881.9979,24.4984,5.9732
2014-04-03,49.86,18543.5576,24.0593,5.8662
2014-04-04,50.63,18829.9302,24.4308,5.9568
2014-04-07,48.4,18000.5653,23.3548,5.6944
2014-04-08,47.64,17717.9118,22.988,5.605
2014-04-09,48.57,18063.7904,23.4368,5.7144
2014-04-10,47.07,17505.9217,22.713,5.5379
2014-04-11,45.72,17003.8398,22.0616,5.3791
2014-04-14,46.03,17119.1327,22.2112,5.4156
2014-04-15,46.23,17193.5152,22.3077,5.4391
2014-04-16,47.21,17557.9894,22.7805,5.5544
2014-04-17,46.92,17450.1348,22.6406,5.5203
2014-04-21,48.32,17970.8123,23.3162,5.685
2014-04-22,49.85,18539.8384,24.0544,5.865
2014-04-23,50.28,18699.7608,24.2619,5.9156
2014-04-24,50.35,18725.7947,24.2957,5.9238
