Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,73.26,7055.3004,23.3064,4.4323
2014-01-03,73.73,7100.5637,23.4559,4.4607
2014-01-06,72.89,7019.6676,23.1887,4.4099
2014-01-07,73.15,7044.7069,23.2714,4.4257
2014-01-08,72.86,7016.7784,23.1791,4.4081
2014-01-09,73.29,7058.1896,23.3159,4.4341
2014-01-10,73.69,7096.7115,23.4432,4.4583
2014-01-13,72.69,7000.4066,23.1251,4.3978
2014-01-14,73.12,7041.8177,23.2619,4.4238
2014-01-15,75.17,7239.2429,23.914,4.5479
2014-01-16,75.37,7258.5038,23.9776,4.56
2014-01-17,74.91,7214.2036,23.8313,4.5321
2014-01-21,75.62,7282.5801,24.0572,4.5751
2014-01-22,75.99,7318.2129,24.1749,4.5975
2014-01-23,76.43,7360.5871,24.3149,4.6241
2014-01-24,73.0,7030.2611,23.2237,4.4166
2014-01-27,72.0,6933.9562,22.9055,4.3561
2014-01-28,72.82,7012.9262,23.1664,4.4057
2014-01-29,72.25,6958.0324,22.9851,4.3712
2014-01-30,73.61,7089.0071,23.4177,4.4535
2014-01-31,73.81,7108.2681,23.4814,4.4656
2014-02-03,70.89,6827.0577,22.5524,4.2889
2014-02-04,71.42,6878.0993,22.721,4.321
2014-02-05,71.02,6839.5773,22.5938,4.2968
2014-02-06,72.56,6987.8869,23.0837,4.39
2014-02-07,73.34,7063.0048,23.3318,4.4372
2014-02-10,72.36,6968.626,23.0201,4.3779
2014-02-11,73.33,7062.0418,23.3287,4.4365
2014-02-12,74.48,7172.7924,23.6945,4.5061
2014-02-13,75.94,7313.3977,24.159,4.5945
2014-02-14,76.45,7362.5132,24.3212,4.6253
2014-02-18,75.88,7307.6194,24.1399,4.5908
2014-02-19,75.67,7287.3953,24.0731,4.5781
2014-02-20,77.99,7510.8228,24.8112,4.7185
2014-02-21,78.23,7509.8401,24.8875,4.733
2014-02-24,79.14,7597.1973,25.177,4.7881
2014-02-25,79.0,7583.7577,25.1325,4.7796
2014-02-26,78.19,7506.0002,24.8748,4.7306
2014-02-27,78.63,7548.2388,25.0148,4.7572
2014-02-28,79.37,7619.2766,25.2502,4.802
2014-03-03,78.9,7574.158,25.1007,4.7735
2014-03-04,80.54,7731.593,25.6224,4.8728
2014-03-05,80.76,7752.7123,25.6924,4.8861
2014-03-06,81.08,7783.4313,25.7942,4.9054
2014-03-07,81.61,7834.3097,25.9628,4.9375
2014-03-10,80.49,7726.7931,25.6065,4.8697
2014-03-11,80.5,7727.7531,25.6097,4.8703
2014-03-12,80.74,7750.7924,25.686,4.8849
2014-03-13,80.4,7718.1534,25.5779,4.8643
2014-03-14,79.51,7632.7161,25.2947,4.8104
2014-03-17,80.44,7721.9933,25.5906,4.8667
2014-03-18,80.7,7746.9525,25.6733,4.8824
2014-03-19,80.97,7772.8717,25.7592,4.8988
2014-03-20,81.04,7779.5914,25.7815,4.903
2014-03-21,81.46,7819.9102,25.9151,4.9284
2014-03-24,80.23,7701.8339,25.5238,4.854
2014-03-25,80.2,7698.954,25.5142,4.8522
2014-03-26,77.9,7478.1611,24.7825,4.713
2014-03-27,76.16,7311.1264,24.229,4.6078
2014-03-28,76.97,7388.8839,24.4867,4.6568
2014-03-31,77.5,7439.7623,24.1365,4.4518
2014-04-01,78.57,7542.479,24.4697,4.5133
2014-04-02,78.96,7579.9178,24.5912,4.5357
2014-04-03,78.4,7561.5254,24.4168,4.5035
2014-04-04,75.6,7291.471,23.5448,4.3427
2014-04-07,73.15,7055.1733,22.7817,4.202
2014-04-08,73.01,7041.6706,22.7381,4.1939
2014-04-09,75.03,7236.4956,23.3672,4.3099
2014-04-10,73.37,7076.3919,22.8503,4.2146
2014-04-11,71.81,6925.9329,22.3644,4.125
2014-04-14,71.28,6874.8155,22.1993,4.0945
2014-04-15,70.82,6830.4494,22.0561,4.0681
2014-04-16,73.47,7086.0367,22.8814,4.2203
2014-04-17,73.89,7126.5448,23.0122,4.2445
2014-04-21,74.2,7156.4437,23.1087,4.2623
2014-04-22,74.78,7212.3836,23.2894,4.2956
2014-04-23,74.51,7186.3426,23.2053,4.2801
2014-04-24,75.51,7282.7906,23.5167,4.3375
2014-04-25,73.83,7120.7579,22.9935,4.241
2014-04-28,73.66,7104.3618,22.9406,4.2313
2014-04-29,73.97,7134.2607,23.0371,4.2491
2014-04-30,74.55,7190.2005,23.2178,4.2824
2014-05-01,74.54,7189.2992,23.2146,4.2818
2014-05-02,74.22,7158.4355,23.115,4.2634
2014-05-05,74.91,7224.9853,23.3299,4.3031
2014-05-06,74.48,7183.5122,23.196,4.2784
2014-05-07,74.85,7219.1983,23.3112,4.2996
2014-05-08,75.21,7253.9199,23.4233,4.3203
2014-05-09,74.31,7167.1159,23.143,4.2686
2014-05-12,75.9,7320.4696,23.6382,4.3599
2014-05-13,75.83,7313.7182,23.6164,4.3559
2014-05-14,75.3,7262.6003,23.4513,4.3255
2014-05-15,74.24,7160.3645,23.1212,4.2646
2014-05-16,74.39,7174.8318,23.1679,4.2732
2014-05-19,75.64,7295.3929,23.5572,4.345
2014-05-20,74.66,7200.873,23.252,4.2887
2014-05-21,74.85,7219.1983,23.3112,4.2996
2014-05-22,75.32,7264.5293,23.4576,4.3266
2014-05-23,77.06,7432.3503,23.9995,4.4266
2014-05-27,78.01,7523.9768,24.2953,4.4811
2014-05-28,77.92,7515.2964,24.2673,4.476
2014-05-29,78.23,7545.1955,24.3638,4.4938
2014-05-30,78.74,7594.3845,24.5227,4.5231
2014-06-02,78.99,7618.4967,24.6005,4.5374
2014-06-03,78.23,7545.1955,24.3638,4.4938
2014-06-04,78.17,7539.4086,24.3452,4.4903
2014-06-05,78.96,7615.6032,24.5912,4.5357
2014-06-06,79.87,7703.3717,24.8746,4.588
2014-06-09,81.31,7842.2581,25.3231,4.6707
2014-06-10,81.38,7849.0095,25.3449,4.6747
2014-06-11,81.19,7830.6842,25.2857,4.6638
2014-06-12,80.3,7744.8447,25.0085,4.6127
2014-06-13,80.44,7758.3475,25.0521,4.6207
2014-06-16,80.63,7776.6728,25.1113,4.6316
2014-06-17,81.66,7876.0152,25.4321,4.6908
2014-06-18,82.22,7930.0265,25.6065,4.723
2014-06-19,82.69,7975.3575,25.7529,4.75
2014-06-20,83.28,8032.2623,25.9366,4.7839
2014-06-23,82.97,8002.3632,25.8401,4.766
2014-06-24,81.73,7882.7666,25.4539,4.6948
2014-06-25,82.77,7983.0734,25.7778,4.7546
2014-06-26,82.49,7956.0677,25.6906,4.7385
2014-06-27,82.7,7976.322,25.756,4.7505
2014-06-30,82.59,7965.7126,24.7347,4.5084
2014-07-01,82.45,7952.2098,24.6928,4.5007
2014-07-02,83.8,8082.4158,25.0971,4.5744
2014-07-03,83.86,8088.2027,25.1151,4.5777
2014-07-07,82.86,7991.7538,24.8156,4.5231
2014-07-08,81.44,7854.7964,24.3903,4.4456
2014-07-09,82.03,7911.7013,24.567,4.4778
2014-07-10,80.8,7793.0691,24.1987,4.4107
2014-07-11,80.89,7801.7495,24.2256,4.4156
2014-07-14,81.67,7876.9797,24.4592,4.4582
2014-07-15,80.75,7788.2467,24.1837,4.4079
2014-07-16,81.06,7818.1458,24.2765,4.4249
2014-07-17,79.86,7702.4072,23.9171,4.3594
2014-07-18,81.04,7816.2169,24.2705,4.4238
2014-07-21,81.03,7815.2524,24.2675,4.4232
2014-07-22,81.71,7880.8376,24.4712,4.4603
2014-07-23,81.51,7861.5478,24.4113,4.4494
2014-07-24,86.18,8311.9641,25.8099,4.7043
2014-07-25,85.46,8242.5209,25.5943,4.665
2014-07-28,83.42,8045.7652,24.9833,4.5537
2014-07-29,82.37,7944.4939,24.6688,4.4964
2014-07-30,82.85,7990.7893,24.8126,4.5226
2014-07-31,80.68,7770.3989,24.1627,4.4041
2014-08-01,80.86,7787.735,24.2166,4.4139
2014-08-04,81.61,7859.9685,24.4412,4.4549
2014-08-05,80.86,7787.735,24.2166,4.4139
2014-08-06,80.33,7736.69,24.0579,4.385
2014-08-07,80.26,7729.9482,24.0369,4.3812
2014-08-08,81.33,7833.0013,24.3574,4.4396
2014-08-11,81.65,7863.8209,24.4532,4.4571
2014-08-12,81.06,7806.9972,24.2765,4.4249
2014-08-13,82.0,7897.5299,24.558,4.4762
2014-08-14,82.72,7966.8741,24.7737,4.5155
2014-08-15,82.15,7911.9766,24.603,4.4844
2014-08-18,84.06,8095.9313,25.175,4.5886
2014-08-19,84.28,8117.1198,25.2409,4.6006
2014-08-20,84.29,8118.0829,25.2439,4.6012
2014-08-21,84.18,8107.4886,25.2109,4.5952
2014-08-22,84.01,8091.1157,25.16,4.5859
2014-08-25,84.5,8138.3083,25.3068,4.6126
2014-08-26,84.0,8090.1526,25.157,4.5853
2014-08-27,83.9,8080.5215,25.1271,4.5799
2014-08-28,83.61,8052.5912,25.0402,4.5641
2014-08-29,83.36,8028.5133,24.9653,4.5504
2014-09-02,84.56,8144.0869,25.3247,4.6159
2014-09-03,84.11,8100.7468,25.19,4.5913
2014-09-04,83.86,8076.669,25.1151,4.5777
2014-09-05,83.89,8079.5583,25.1241,4.5793
2014-09-08,84.33,8121.9353,25.2558,4.6034
2014-09-09,83.18,8011.1773,24.9114,4.5406
2014-09-10,83.0,7993.8412,24.8575,4.5308
2014-09-11,83.56,8047.7756,25.0252,4.5613
2014-09-12,82.41,7937.0176,24.6808,4.4986
2014-09-15,82.48,7943.7594,24.7018,4.5024
2014-09-16,83.73,8064.1485,25.0762,4.5706
2014-09-17,83.07,8000.583,24.8785,4.5346
2014-09-18,83.7,8061.2592,25.0672,4.569
2014-09-19,83.75,8066.0748,25.0821,4.5717
2014-09-22,82.4,7936.0544,24.6778,4.498
2014-09-23,81.05,7806.0341,24.2735,4.4243
2014-09-24,82.02,7899.4561,24.564,4.4773
2014-09-25,79.98,7702.981,23.9531,4.3659
2014-09-26,81.31,7831.0751,24.3514,4.4385
2014-09-29,81.57,7856.116,24.4293,4.4527
2014-09-30,81.04,7805.071,22.556,4.3611
2014-10-01,78.35,7545.9935,21.8073,4.2163
2014-10-02,77.91,7503.6165,21.6848,4.1927
2014-10-03,78.9,7598.9648,21.9604,4.2459
2014-10-06,78.14,7525.7681,21.7488,4.205
2014-10-07,76.28,7346.629,21.2311,4.1049
2014-10-08,77.57,7470.8707,21.5902,4.1744
2014-10-09,75.45,7266.6906,21.0001,4.0603
2014-10-10,73.84,7111.6294,20.552,3.9736
2014-10-13,72.16,6949.8263,20.0844,3.8832
2014-10-14,72.79,7010.5025,20.2598,3.9171
2014-10-15,73.7,7098.1458,20.513,3.9661
2014-10-16,74.68,7192.5309,20.7858,4.0188
2014-10-17,74.66,7190.6047,20.7802,4.0178
2014-10-20,74.7,7194.4571,20.7914,4.0199
2014-10-21,77.5,7464.1289,21.5707,4.1706
2014-10-22,76.49,7366.8544,21.2896,4.1162
2014-10-23,79.08,7616.3008,22.0105,4.2556
2014-10-24,79.29,7636.5262,22.0689,4.2669
2014-10-27,79.07,7615.3377,22.0077,4.2551
2014-10-28,82.49,7944.7225,22.9596,4.4391
2014-10-29,83.6,8051.6281,23.2685,4.4989
2014-10-30,84.24,8108.5062,23.4466,4.5333
2014-10-31,86.3,8306.7911,24.02,4.6441
2014-11-03,86.29,8305.8286,24.0172,4.6436
2014-11-04,85.07,8188.3977,23.6777,4.578
2014-11-05,86.41,8317.3791,24.0506,4.6501
2014-11-06,88.28,8497.3757,24.5711,4.7507
2014-11-07,89.27,8592.6679,24.8467,4.804
2014-11-10,89.53,8617.6942,24.919,4.818
2014-11-11,89.81,8644.6455,24.997,4.833
2014-11-12,89.75,8638.8703,24.9803,4.8298
