Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,56.63,53808.1987,18.3638,2.6876
2014-01-03,56.82,53988.7313,18.4254,2.6966
2014-01-06,57.14,54292.7861,18.5292,2.7118
2014-01-07,57.51,54644.3494,18.6492,2.7294
2014-01-08,59.36,56402.1663,19.2491,2.8172
2014-01-09,61.14,58093.4711,19.8263,2.9016
2014-01-10,60.36,57352.3375,19.5734,2.8646
2014-01-13,60.2,57200.3101,19.5215,2.857
2014-01-14,60.0,57010.2759,19.4566,2.8475
2014-01-15,59.49,56525.6885,19.2913,2.8233
2014-01-16,59.89,56905.757,19.421,2.8423
2014-01-17,59.16,56212.132,19.1843,2.8077
2014-01-21,58.73,55803.5584,19.0448,2.7873
2014-01-22,58.91,55974.5892,19.1032,2.7958
2014-01-23,58.35,55442.4933,18.9216,2.7692
2014-01-24,57.23,54378.3015,18.5584,2.7161
2014-01-27,57.4,54539.8306,18.6135,2.7241
2014-01-28,57.02,54178.7655,18.4903,2.7061
2014-01-29,56.5,53684.6765,18.3217,2.6814
2014-01-30,57.26,54406.8066,18.5681,2.7175
2014-01-31,57.35,54492.322,18.5973,2.7218
2014-02-03,55.57,52801.0172,18.0201,2.6373
2014-02-04,55.95,53162.0823,18.1433,2.6553
2014-02-05,57.85,54967.4077,18.7595,2.7455
2014-02-06,59.22,56269.1423,19.2037,2.8105
2014-02-07,60.96,57922.4403,19.768,2.8931
2014-02-10,60.65,57627.8872,19.6674,2.8784
2014-02-11,64.2,61000.9952,20.8186,3.0469
2014-02-12,65.42,62160.2041,21.2142,3.1048
2014-02-13,66.39,63081.8703,21.5288,3.1508
2014-02-14,64.78,61552.0945,21.0067,3.0744
2014-02-18,64.54,61324.0534,20.9289,3.063
2014-02-19,65.51,62245.7195,21.2434,3.109
2014-02-20,66.55,63233.8977,21.5807,3.1584
2014-02-21,66.32,63015.3583,21.5061,3.1475
2014-02-24,66.52,63205.3925,21.5709,3.157
2014-02-25,66.95,63613.9662,21.7104,3.1774
2014-02-26,66.51,63195.8908,21.5677,3.1565
2014-02-27,68.19,64792.1785,22.1125,3.2362
2014-02-28,67.95,64564.1374,22.3063,3.12
2014-03-03,67.4,64041.5432,22.1257,3.0948
2014-03-04,69.09,65647.3327,22.6805,3.1724
2014-03-05,68.48,65067.7282,22.4802,3.1444
2014-03-06,66.71,63385.9251,21.8992,3.0631
2014-03-07,67.21,63861.0107,22.0633,3.0861
2014-03-10,66.78,63452.4371,21.9222,3.0663
2014-03-11,66.52,63205.3925,21.8368,3.0544
2014-03-12,66.93,63594.9627,21.9714,3.0732
2014-03-13,66.93,63594.9627,21.9714,3.0732
2014-03-14,67.07,63727.9867,22.0174,3.0796
2014-03-17,67.34,63984.533,22.106,3.092
2014-03-18,67.2,63851.509,22.06,3.0856
2014-03-19,66.83,63499.9456,21.9386,3.0686
2014-03-20,66.5,63186.3891,21.8303,3.0535
2014-03-21,64.75,61523.5894,21.2558,2.9731
2014-03-24,64.31,61105.514,21.1113,2.9529
2014-03-25,66.42,63110.3754,21.804,3.0498
2014-03-26,64.93,61694.6202,21.3149,2.9814
2014-03-27,64.35,61411.2073,21.1245,2.9547
2014-03-28,65.36,62375.0817,21.456,3.0011
2014-03-31,66.03,63014.4836,21.676,3.0319
2014-04-01,65.83,62823.6173,21.6103,3.0227
2014-04-02,66.35,63319.8695,21.781,3.0466
2014-04-03,67.09,64026.0746,22.0239,3.0805
2014-04-04,66.05,63033.5702,21.6825,3.0328
2014-04-07,65.1,62126.9556,21.3707,2.9892
2014-04-08,63.82,60905.4118,20.9505,2.9304
2014-04-09,65.52,62527.7747,21.5085,3.0085
2014-04-10,63.4,60504.5927,20.8126,2.9111
2014-04-11,64.26,61325.3175,21.0949,2.9506
2014-04-14,65.67,62670.9244,21.5578,3.0153
2014-04-15,66.01,62995.3969,21.6694,3.031
2014-04-16,66.16,63138.5466,21.7186,3.0378
2014-04-17,66.75,63701.602,21.9123,3.0649
2014-04-21,66.13,63109.9167,21.7088,3.0365
2014-04-22,67.38,64302.8306,22.1191,3.0939
2014-04-23,67.39,64312.3739,22.1224,3.0943
2014-04-24,67.42,64341.0038,22.1323,3.0957
2014-04-25,66.65,63606.1689,21.8795,3.0603
2014-04-28,67.45,64369.6338,22.1421,3.0971
2014-04-29,67.32,64245.5707,22.0994,3.0911
2014-04-30,67.9,64799.0828,22.2898,3.1177
2014-05-01,69.43,66259.2094,22.7921,3.188
2014-05-02,68.86,65715.2406,22.605,3.1618
2014-05-05,69.85,66660.0284,22.93,3.2073
2014-05-06,68.78,65638.8941,22.5787,3.1581
2014-05-07,69.87,66679.1151,22.9365,3.2082
2014-05-08,68.69,65553.0043,22.5492,3.154
2014-05-09,68.66,65524.3744,22.5393,3.1526
2014-05-12,69.35,66182.8629,22.7658,3.1843
2014-05-13,69.57,66392.8157,22.8381,3.1944
2014-05-14,68.61,65476.6578,22.5229,3.1503
2014-05-15,68.11,64999.4923,22.3588,3.1274
2014-05-16,67.77,64675.0197,22.2472,3.1118
2014-05-19,69.54,66364.1858,22.8282,3.193
2014-05-20,68.88,65734.3273,22.6115,3.1627
2014-05-21,68.85,65705.6973,22.6017,3.1614
2014-05-22,69.83,66640.9418,22.9234,3.2064
2014-05-23,69.79,66602.7686,22.9103,3.2045
2014-05-27,70.24,67032.2176,23.058,3.2252
2014-05-28,69.81,66621.8552,22.9168,3.2054
2014-05-29,71.11,67862.4856,23.3436,3.2651
2014-05-30,71.91,68625.9505,23.242,3.2118
2014-06-02,72.01,68721.3836,23.2743,3.2162
2014-06-03,71.56,68291.9346,23.1289,3.1961
2014-06-04,74.56,71154.928,24.0985,3.3301
2014-06-05,75.6,72147.4323,24.4347,3.3766
2014-06-06,75.03,71603.4636,24.2504,3.3511
2014-06-09,74.92,71498.4872,24.2149,3.3462
2014-06-10,74.74,71326.7076,24.1567,3.3382
2014-06-11,74.67,71259.9044,24.1341,3.335
2014-06-12,72.47,69160.376,23.423,3.2368
2014-06-13,73.06,69723.4313,23.6137,3.2631
2014-06-16,73.29,69942.9275,23.6881,3.2734
2014-06-17,73.1,69761.6046,23.6266,3.2649
2014-06-18,76.08,72605.5113,24.5898,3.398
2014-06-19,75.39,71947.0228,24.3668,3.3672
2014-06-20,74.54,71135.8414,24.0921,3.3292
2014-06-23,73.73,70362.8332,23.8303,3.293
2014-06-24,72.48,69169.9193,23.4263,3.2372
2014-06-25,74.19,70801.8255,23.9789,3.3136
2014-06-26,74.23,70839.9987,23.9919,3.3154
2014-06-27,74.1,70715.9357,23.9499,3.3096
2014-06-30,74.13,70744.5656,23.9596,3.3109
2014-07-01,73.78,70575.0417,23.8464,3.2953
2014-07-02,73.04,69867.1868,23.6073,3.2622
2014-07-03,73.98,70766.3538,23.9111,3.3042
2014-07-07,73.58,70383.7295,23.7818,3.2863
2014-07-08,71.12,68030.5904,22.9867,3.1765
2014-07-09,71.95,68824.5357,23.255,3.2135
2014-07-10,71.53,68422.7803,23.1192,3.1948
2014-07-11,71.66,68547.1332,23.1612,3.2006
2014-07-14,71.49,68384.5179,23.1063,3.193
