Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,62.475,19538.7717,8.3405,1.7259
2014-01-03,62.9284,19680.5625,8.401,1.7384
2014-01-06,62.6337,19588.3985,8.3617,1.7303
2014-01-07,64.7192,20240.6361,8.6401,1.7879
2014-01-08,65.2935,20420.2378,8.7167,1.8038
2014-01-09,64.1676,20068.124,8.5664,1.7727
2014-01-10,64.5756,20195.7357,8.6209,1.7839
2014-01-13,63.9333,19994.8654,8.5352,1.7662
2014-01-14,66.4118,20769.9884,8.866,1.8347
2014-01-15,67.2354,21027.575,8.976,1.8574
2014-01-16,67.2128,21020.4855,8.973,1.8568
2014-01-17,67.1145,20989.7642,8.9599,1.8541
2014-01-21,67.1447,20999.2169,8.9639,1.8549
2014-01-22,66.5554,20814.8888,8.8852,1.8386
2014-01-23,65.7771,20571.4813,8.7813,1.8171
2014-01-24,64.228,20087.0294,8.5745,1.7743
2014-01-27,63.9182,19990.139,8.5332,1.7658
2014-01-28,62.9964,19701.8311,8.4101,1.7403
2014-01-29,63.6235,19897.975,8.4938,1.7576
2014-01-30,65.694,20545.4863,8.7702,1.8148
2014-01-31,65.1121,20358.6605,8.6925,1.7988
2014-02-03,63.0946,19727.842,8.4232,1.743
2014-02-04,63.0946,19727.842,8.4232,1.743
2014-02-05,62.5203,19548.2832,8.3465,1.7272
2014-02-06,62.9813,19692.4028,8.4081,1.7399
2014-02-07,63.9862,20006.6307,8.5422,1.7677
2014-02-10,63.9938,20008.9933,8.5432,1.7679
2014-02-11,64.1298,20051.5204,8.5614,1.7716
2014-02-12,65.0366,20335.0343,8.6825,1.7967
2014-02-13,65.4899,20476.7913,8.743,1.8092
2014-02-14,65.5202,20486.2417,8.747,1.81
2014-02-18,65.2406,20398.8249,8.7097,1.8023
2014-02-19,64.5681,20188.5521,8.6199,1.7837
2014-02-20,65.165,20375.1988,8.6996,1.8002
2014-02-21,66.5025,20793.3818,8.8782,1.8372
2014-02-24,66.9483,20932.7761,8.9377,1.8495
2014-02-25,66.3362,20741.4042,8.856,1.8326
2014-02-26,67.4621,21093.434,9.0063,1.8637
2014-02-27,66.8123,20890.249,8.9195,1.8457
2014-02-28,65.7317,20552.395,8.7753,1.8159
2014-03-03,66.4193,20767.393,8.8671,1.8349
