Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,40.73,9226.1418,16.2271,2.1741
2014-01-03,40.68,9214.8158,16.2072,2.1714
2014-01-06,40.31,9131.0035,16.0598,2.1516
2014-01-07,41.0,9287.302,16.3347,2.1885
2014-01-08,40.69,9217.081,16.2112,2.1719
2014-01-09,40.75,9230.6721,16.2351,2.1751
2014-01-10,41.44,9386.9706,16.51,2.212
2014-01-13,40.99,9285.0368,16.3307,2.1879
2014-01-14,40.99,9285.0368,16.3307,2.1879
2014-01-15,40.9,9264.6501,16.2948,2.1831
2014-01-16,41.1,9309.954,16.3745,2.1938
2014-01-17,41.14,9319.0148,16.3904,2.1959
2014-01-21,41.5,9400.5618,16.5339,2.2152
2014-01-22,41.66,9436.8049,16.5976,2.2237
2014-01-23,41.64,9432.2746,16.5896,2.2226
2014-01-24,41.43,9384.7054,16.506,2.2114
2014-01-27,41.42,9382.4402,16.502,2.2109
2014-01-28,41.47,9393.7662,16.5219,2.2136
2014-01-29,41.57,9416.4182,16.5618,2.2189
2014-01-30,42.28,9577.2471,16.8446,2.2568
2014-01-31,42.67,9665.5897,17.0,2.2776
2014-02-03,42.19,9556.8603,16.8088,2.252
2014-02-04,42.16,9550.0647,16.7968,2.2504
2014-02-05,41.99,9511.5564,16.7291,2.2413
2014-02-06,41.92,9495.7,16.7012,2.2376
2014-02-07,42.1,9536.4736,16.7729,2.2472
2014-02-10,42.5,9627.0814,16.9323,2.2685
2014-02-11,43.17,9778.8495,17.1992,2.3043
2014-02-12,42.88,9713.1588,17.0837,2.2888
2014-02-13,43.31,9810.5622,17.255,2.3118
2014-02-14,43.62,9880.7833,17.3785,2.3283
2014-02-18,43.86,9935.148,17.4741,2.3411
2014-02-19,43.47,9846.8054,17.3187,2.3203
2014-02-20,43.89,9941.9436,17.4861,2.3427
2014-02-21,43.92,9948.7392,17.498,2.3443
2014-02-24,43.76,9912.496,17.4343,2.3358
2014-02-25,43.81,9923.822,17.4542,2.3385
2014-02-26,43.62,9880.7833,17.3785,2.3283
