Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,44.2,20738.0281,22.1168,3.5961
2014-01-03,44.19,20733.3363,22.1118,3.5953
2014-01-06,43.76,20531.5862,21.8966,3.5603
2014-01-07,44.08,20681.7258,22.0568,3.5863
2014-01-08,43.99,20639.4991,22.0117,3.579
2014-01-09,43.73,20517.5107,21.8816,3.5579
2014-01-10,43.61,20461.2083,21.8216,3.5481
2014-01-13,43.03,20189.0803,21.5314,3.5009
2014-01-14,43.3,20315.7606,21.6665,3.5229
2014-01-15,43.19,20264.1501,21.6114,3.5139
2014-01-16,42.86,20109.3187,21.4463,3.4871
2014-01-17,43.12,20231.3071,21.5764,3.5082
2014-01-21,42.91,20132.778,21.4713,3.4912
2014-01-22,42.75,20057.7082,21.3913,3.4781
2014-01-23,42.31,19851.2663,21.1711,3.4423
2014-01-24,41.64,19536.9116,20.8358,3.3878
2014-01-27,41.54,19489.993,20.7858,3.3797
2014-01-28,41.44,19443.0744,20.7358,3.3716
2014-01-29,41.07,19269.4755,20.5506,3.3415
2014-01-30,41.79,19607.2895,20.9109,3.4
2014-01-31,41.78,19602.5976,20.9059,3.3992
2014-02-03,41.0,19236.6324,20.5156,3.3358
2014-02-04,41.29,19372.6964,20.6607,3.3593
2014-02-05,41.5,19471.2255,20.7658,3.3764
2014-02-06,42.07,19738.6616,21.051,3.4228
2014-02-07,42.84,20099.935,21.4363,3.4855
2014-02-10,42.64,20006.0977,21.3362,3.4692
2014-02-11,42.85,20104.6268,21.4413,3.4863
2014-02-12,42.88,20118.7024,21.4563,3.4887
2014-02-13,43.33,20329.8362,21.6815,3.5253
2014-02-14,43.67,20489.3595,21.8516,3.553
2014-02-18,41.72,19392.3684,20.8759,3.3943
2014-02-19,41.19,19146.0128,20.6107,3.3512
2014-02-20,40.98,19048.4002,20.5056,3.3341
2014-02-21,40.99,19053.0484,20.5106,3.3349
2014-02-24,41.06,19085.5859,20.5456,3.3406
2014-02-25,40.76,18946.1394,20.3955,3.3162
2014-02-26,40.85,18987.9733,20.4405,3.3236
2014-02-27,40.58,18862.4714,20.3054,3.3016
2014-02-28,41.5,19290.1076,20.7658,3.3764
2014-03-03,41.28,19187.8467,20.6557,3.3585
2014-03-04,41.37,19229.6807,20.7007,3.3659
2014-03-05,41.34,19215.7361,20.6857,3.3634
2014-03-06,41.2,19150.661,20.6157,3.352
2014-03-07,41.38,19234.3289,20.7057,3.3667
2014-03-10,41.35,19220.3843,20.6907,3.3642
2014-03-11,41.26,19178.5503,20.6457,3.3569
2014-03-12,40.59,18867.1197,20.3104,3.3024
2014-03-13,40.41,18783.4517,20.2204,3.2878
2014-03-14,40.81,18969.3805,20.4205,3.3203
2014-03-17,41.06,19085.5859,20.5456,3.3406
2014-03-18,41.31,19201.7914,20.6707,3.361
2014-03-19,41.18,19141.3646,20.6057,3.3504
2014-03-20,41.07,19090.2342,20.5506,3.3415
2014-03-21,40.73,18932.1947,20.3805,3.3138
2014-03-24,40.51,18829.9339,20.2704,3.2959
2014-03-25,40.61,18876.4161,20.3204,3.304
2014-03-26,40.52,18834.5821,20.2754,3.2967
2014-03-27,40.9,19026.3547,20.4656,3.3276
2014-03-28,41.15,19142.6527,20.5906,3.348
2014-03-31,42.07,19570.6294,20.28,3.4121
2014-04-01,41.93,19505.5025,20.2125,3.4007
2014-04-02,41.71,19403.1603,20.1065,3.3829
2014-04-03,41.84,19463.6353,20.1691,3.3934
2014-04-04,41.83,19458.9833,20.1643,3.3926
2014-04-07,41.6,19351.9892,20.0534,3.3739
2014-04-08,42.0,19538.066,20.2463,3.4064
2014-04-09,41.97,19524.1102,20.2318,3.404
2014-04-10,41.38,19249.6469,19.9474,3.3561
2014-04-11,41.06,19100.7855,19.7931,3.3302
2014-04-14,41.4,19258.9508,19.957,3.3577
2014-04-15,41.4,19258.9508,19.957,3.3577
2014-04-16,42.16,19612.4967,20.3234,3.4194
2014-04-17,42.03,19552.0217,20.2607,3.4088
2014-04-21,41.86,19472.9391,20.1788,3.395
2014-04-22,41.96,19519.4583,20.227,3.4031
2014-04-23,41.99,19533.4141,20.2414,3.4056
2014-04-24,42.84,19936.1172,20.6512,3.4745
2014-04-25,43.04,20029.1897,20.7476,3.4907
2014-04-28,43.81,20387.5186,21.1188,3.5532
2014-04-29,43.91,20434.0548,21.167,3.5613
2014-04-30,44.45,20685.3504,21.4273,3.6051
2014-05-01,44.33,20629.5069,21.3694,3.5954
2014-05-02,44.14,20541.0881,21.2779,3.58
2014-05-05,44.11,20527.1272,21.2634,3.5775
2014-05-06,43.57,20275.8316,21.0031,3.5337
2014-05-07,43.96,20457.3229,21.1911,3.5654
2014-05-08,44.07,20508.5127,21.2441,3.5743
2014-05-09,43.92,20438.7084,21.1718,3.5621
2014-05-12,43.88,20420.0939,21.1525,3.5589
2014-05-13,44.11,20527.1272,21.2634,3.5775
2014-05-14,44.01,20480.591,21.2152,3.5694
2014-05-15,43.95,20452.6693,21.1863,3.5645
2014-05-16,43.8,20382.8649,21.114,3.5524
2014-05-19,43.89,20424.7475,21.1573,3.5597
2014-05-20,43.42,20206.0273,20.9308,3.5216
2014-05-21,43.65,20313.0606,21.0417,3.5402
2014-05-22,43.48,20233.949,20.9597,3.5264
2014-05-23,43.37,20182.7592,20.9067,3.5175
2014-05-27,43.73,20350.2896,21.0802,3.5467
2014-05-28,44.25,20592.2779,21.3309,3.5889
2014-05-29,44.36,20643.4678,21.3839,3.5978
2014-05-30,44.68,20792.3837,21.5382,3.6238
2014-06-02,44.81,20852.8808,21.6008,3.6343
2014-06-03,44.67,20787.7301,21.5333,3.6229
2014-06-04,44.2,20569.0098,21.3068,3.5848
2014-06-05,44.13,20536.4345,21.273,3.5791
2014-06-06,44.26,20596.9316,21.3357,3.5897
2014-06-09,44.53,20722.5794,21.4659,3.6116
2014-06-10,44.55,20731.8866,21.4755,3.6132
2014-06-11,44.09,20517.82,21.2538,3.5759
2014-06-12,43.89,20424.7475,21.1573,3.5597
2014-06-13,44.0,20475.9374,21.2104,3.5686
2014-06-16,43.99,20471.2838,21.2055,3.5678
2014-06-17,44.26,20596.9316,21.3357,3.5897
2014-06-18,44.3,20615.546,21.355,3.5929
2014-06-19,44.37,20648.1214,21.3887,3.5986
2014-06-20,44.63,20769.1156,21.5141,3.6197
2014-06-23,44.39,20657.4286,21.3984,3.6002
2014-06-24,44.37,20648.1214,21.3887,3.5986
2014-06-25,44.46,20690.004,21.4321,3.6059
2014-06-26,44.44,20680.6968,21.4225,3.6043
2014-06-27,44.84,20866.8416,21.6153,3.6367
2014-06-30,44.73,20815.6518,21.2433,3.5604
2014-07-01,44.83,20862.188,21.2908,3.5684
2014-07-02,44.47,20694.6576,21.1198,3.5397
2014-07-03,44.71,20806.3445,21.2338,3.5588
2014-07-07,44.54,20727.233,21.1531,3.5453
2014-07-08,44.6,20755.1547,21.1816,3.5501
2014-07-09,44.24,20587.6243,21.0106,3.5214
2014-07-10,44.18,20559.7026,20.9821,3.5166
2014-07-11,44.34,20634.1605,21.0581,3.5294
2014-07-14,44.4,20662.0823,21.0866,3.5341
2014-07-15,44.51,20713.2721,21.1388,3.5429
2014-07-16,44.65,20778.4228,21.2053,3.554
2014-07-17,44.07,20508.5127,20.9298,3.5079
2014-07-18,44.44,20680.6968,21.1056,3.5373
2014-07-21,44.48,20699.3112,21.1246,3.5405
2014-07-22,44.51,20713.2721,21.1388,3.5429
2014-07-23,44.28,20606.2388,21.0296,3.5246
2014-07-24,44.31,20620.1997,21.0438,3.527
2014-07-25,44.1,20522.4736,20.9441,3.5103
2014-07-28,43.89,20424.7475,20.8444,3.4935
2014-07-29,45.59,21263.2481,21.6517,3.6289
2014-07-30,45.4,21174.6318,21.5615,3.6137
2014-07-31,44.89,20936.767,21.3193,3.5731
2014-08-01,44.41,20712.8942,21.0913,3.5349
2014-08-04,44.55,20778.1904,21.1578,3.5461
2014-08-05,44.5,20754.8703,21.1341,3.5421
2014-08-06,44.23,20628.9419,21.0058,3.5206
2014-08-07,44.05,20544.9896,20.9203,3.5063
2014-08-08,45.18,21072.0234,21.457,3.5962
2014-08-11,45.28,21118.6636,21.5045,3.6042
2014-08-12,45.48,21211.9439,21.5995,3.6201
