Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,38.28,26161.6394,40.8819,5.3753
2014-01-03,38.03,25990.7823,40.6149,5.3402
2014-01-06,38.4,26243.6508,41.01,5.3921
2014-01-07,39.01,26660.5421,41.6615,5.4778
2014-01-08,39.16,26763.0564,41.8217,5.4988
2014-01-09,39.25,26824.5649,41.9178,5.5115
2014-01-10,39.35,26892.9078,42.0246,5.5255
2014-01-13,39.04,26681.045,41.6935,5.482
2014-01-14,39.16,26763.0564,41.8217,5.4988
2014-01-15,39.11,26728.8849,41.7683,5.4918
2014-01-16,39.37,26906.5763,42.046,5.5283
2014-01-17,39.22,26804.0621,41.8858,5.5072
2014-01-21,39.45,26961.2506,42.1314,5.5395
2014-01-22,38.96,26626.3707,41.6081,5.4707
2014-01-23,39.26,26831.3992,41.9285,5.5129
2014-01-24,38.97,26633.205,41.6188,5.4721
2014-01-27,38.88,26571.6964,41.5227,5.4595
2014-01-28,39.8,27200.4505,42.5052,5.5887
2014-01-29,39.72,27145.7763,42.4198,5.5775
2014-01-30,40.15,27439.6505,42.879,5.6378
2014-01-31,40.49,27672.0161,43.2421,5.6856
2014-02-03,39.33,26879.2392,42.0033,5.5227
2014-02-04,39.92,27282.462,42.6334,5.6055
2014-02-05,39.85,27234.622,42.5586,5.5957
2014-02-06,41.07,28068.4046,43.8615,5.767
2014-02-07,41.42,28307.6046,44.2353,5.8162
2014-02-10,40.92,27965.8904,43.7013,5.746
2014-02-11,41.76,28539.9702,44.5984,5.8639
2014-02-12,40.69,27808.7018,43.4557,5.7137
2014-02-13,40.85,27918.0504,43.6266,5.7361
2014-02-14,40.83,27904.3818,43.6052,5.7333
2014-02-18,40.54,27706.1876,43.2955,5.6926
2014-02-19,40.5,27678.8504,43.2528,5.687
2014-02-20,42.0,28703.993,44.8547,5.8976
2014-02-21,42.06,28744.9987,44.9188,5.906
2014-02-24,41.77,28546.8045,44.6091,5.8653
2014-02-25,41.54,28389.616,44.3635,5.833
2014-02-26,41.22,28211.6885,44.0217,5.7881
2014-02-27,41.26,28239.0652,44.0644,5.7937
2014-02-28,41.3,28266.4419,44.1072,5.7993
2014-03-03,41.64,28499.1439,44.4703,5.8471
2014-03-04,42.63,29176.7172,45.5276,5.9861
2014-03-05,42.45,29053.522,45.3353,5.9608
2014-03-06,42.65,29190.4055,45.5489,5.9889
2014-03-07,42.69,29217.7822,45.5916,5.9945
2014-03-10,42.08,28800.2876,44.9402,5.9088
2014-03-11,41.6,28471.7672,44.4275,5.8414
2014-03-12,41.18,28184.3118,43.979,5.7825
2014-03-13,41.0,28061.1167,43.7868,5.7572
2014-03-14,41.41,28341.7279,44.2246,5.8148
2014-03-17,41.53,28423.858,44.3528,5.8316
2014-03-18,41.59,28464.923,44.4169,5.84
2014-03-19,41.64,28499.1439,44.4703,5.8471
2014-03-20,40.86,27965.2983,43.6372,5.7375
2014-03-21,40.61,27794.1939,43.3703,5.7024
2014-03-24,40.76,27896.8565,43.5305,5.7235
2014-03-25,40.78,27910.5449,43.5518,5.7263
2014-03-26,40.0,27376.6992,42.7188,5.6168
2014-03-27,40.64,27814.7264,43.4023,5.7066
2014-03-28,40.92,28006.3633,43.7013,5.746
2014-03-31,40.58,27773.6614,48.1449,6.0219
2014-04-01,41.03,28081.6492,48.6787,6.0887
2014-04-02,40.6,27787.3497,48.1686,6.0249
2014-04-03,40.6,27787.3497,48.1686,6.0249
2014-04-04,40.26,27554.6478,47.7652,5.9745
2014-04-07,39.64,27130.3089,47.0296,5.8825
2014-04-08,40.59,27780.5055,48.1567,6.0234
2014-04-09,40.79,27917.389,48.394,6.0531
2014-04-10,40.24,27540.9594,47.7415,5.9715
2014-04-11,40.14,27512.6993,47.6228,5.9567
2014-04-14,40.42,27704.6165,47.955,5.9982
2014-04-15,40.7,27896.5337,48.2872,6.0398
2014-04-16,41.28,28294.0764,48.9753,6.1258
