Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,29.435,5551.2332,20.8021,4.7486
2014-01-03,29.53,5569.1496,20.8693,4.7639
2014-01-06,29.61,5584.237,20.9258,4.7768
2014-01-07,29.735,5607.8111,21.0141,4.797
2014-01-08,29.83,5625.7274,21.0813,4.8123
2014-01-09,29.04,5476.739,20.523,4.6849
2014-01-10,29.105,5488.9976,20.5689,4.6954
2014-01-13,28.455,5366.4121,20.1095,4.5905
2014-01-14,28.25,5327.7506,19.9647,4.5574
2014-01-15,27.935,5268.3438,19.742,4.5066
2014-01-16,27.125,5115.5835,19.1696,4.376
2014-01-17,27.055,5102.382,19.1201,4.3647
2014-01-21,26.98,5088.2376,19.0671,4.3526
2014-01-22,26.77,5048.633,18.9187,4.3187
2014-01-23,27.025,5096.7242,19.0989,4.3598
2014-01-24,26.73,5041.0893,18.8905,4.3122
2014-01-27,26.76,5046.7471,18.9117,4.3171
2014-01-28,27.1,5110.8687,19.1519,4.3719
2014-01-29,26.465,4991.1122,18.7032,4.2695
2014-01-30,26.505,4998.6559,18.7314,4.2759
2014-01-31,27.26,5141.0436,18.9965,4.0824
2014-02-03,26.605,5017.5152,18.5401,3.9843
2014-02-04,26.425,4983.5685,18.4146,3.9574
2014-02-05,26.62,5020.3441,18.5505,3.9866
2014-02-06,27.38,5163.6747,19.0801,4.1004
2014-02-07,27.605,5206.1081,19.2369,4.1341
2014-02-10,27.495,5185.3629,19.1603,4.1176
2014-02-11,27.8,5242.8838,19.3728,4.1633
2014-02-12,27.82,5246.6556,19.3868,4.1663
2014-02-13,27.485,5183.477,19.1533,4.1161
2014-02-14,27.49,5184.42,19.1568,4.1169
2014-02-18,27.28,5144.8154,19.0105,4.0854
2014-02-19,27.305,5149.5303,19.0279,4.0892
2014-02-20,27.585,5202.3363,19.223,4.1311
2014-02-21,27.515,5189.1348,19.1742,4.1206
2014-02-24,27.7,5224.0245,19.3031,4.1483
2014-02-25,27.635,5211.7659,19.2578,4.1386
2014-02-26,28.805,5432.4197,20.0732,4.3138
2014-02-27,28.625,5398.4729,19.9477,4.2869
2014-02-28,29.12,5491.8265,20.2927,4.361
2014-03-03,29.02,5472.9672,20.223,4.346
2014-03-04,29.52,5567.2636,20.5714,4.4209
2014-03-05,29.655,5592.7237,20.6655,4.4411
2014-03-06,29.445,5553.1192,20.5192,4.4097
2014-03-07,29.835,5626.6704,20.7909,4.4681
2014-03-10,29.62,5586.1229,20.6411,4.4359
2014-03-11,29.495,5562.5488,20.554,4.4172
2014-03-12,29.485,5560.6629,20.547,4.4157
2014-03-13,32.37,6104.7535,22.5575,4.8477
2014-03-14,32.255,6083.0653,22.4774,4.8305
2014-03-17,33.38,6295.2324,23.2613,4.999
2014-03-18,33.095,6241.4834,23.0627,4.9563
2014-03-19,33.0,6223.5671,22.9965,4.9421
2014-03-20,33.12,6246.1982,23.0801,4.96
2014-03-21,33.49,6315.9776,23.338,5.0154
2014-03-24,33.155,6252.799,23.1045,4.9653
2014-03-25,33.115,6245.2553,23.0767,4.9593
2014-03-26,32.82,6189.6203,22.8711,4.9151
2014-03-27,32.775,6181.1337,22.8397,4.9084
2014-03-28,33.405,6299.9472,23.2787,5.0027
2014-03-31,33.32,6283.9168,23.2195,4.99
2014-04-01,33.62,6340.4947,23.4286,5.0349
2014-04-02,33.595,6335.7799,23.4111,5.0312
2014-04-03,33.18,6246.1902,23.122,4.969
2014-04-04,32.865,6186.8909,22.9024,4.9218
2014-04-07,32.135,6049.4672,22.3937,4.8125
2014-04-08,32.215,6064.5273,22.4495,4.8245
2014-04-09,32.29,6078.6462,22.5017,4.8357
2014-04-10,31.395,5910.161,21.878,4.7017
2014-04-11,30.75,5788.7386,21.4286,4.6051
2014-04-14,31.19,5871.5694,21.7352,4.671
2014-04-15,31.2,5873.4519,21.7422,4.6725
2014-04-16,31.25,5882.8645,21.777,4.68
2014-04-17,31.2,5873.4519,21.7422,4.6725
2014-04-21,31.285,5889.4533,21.8014,4.6852
2014-04-22,31.33,5897.9246,21.8328,4.692
2014-04-23,31.285,5889.4533,21.8014,4.6852
2014-04-24,31.23,5879.0994,21.7631,4.677
2014-04-25,31.135,5861.2155,21.6969,4.6628
2014-04-28,31.495,5928.9861,21.9477,4.7167
2014-04-29,31.445,5919.5735,21.9129,4.7092
2014-04-30,31.41,5912.9847,21.8885,4.7039
2014-05-01,31.365,5904.5134,21.8571,4.6972
2014-05-02,31.53,5935.5749,21.5222,4.9154
2014-05-05,31.35,5901.6896,21.3993,4.8873
2014-05-06,30.655,5770.8547,20.9249,4.779
2014-05-07,30.71,5781.2086,20.9625,4.7876
2014-05-08,31.01,5837.6841,21.1672,4.8343
2014-05-09,31.715,5970.4015,21.6485,4.9442
2014-05-12,32.275,6075.8224,22.0307,5.0315
2014-05-13,32.18,6057.9385,21.9659,5.0167
2014-05-14,31.915,6008.0518,21.785,4.9754
2014-05-15,31.615,5951.5763,21.5802,4.9287
2014-05-16,32.025,6028.7595,21.8601,4.9926
2014-05-19,32.2,6061.7036,21.9795,5.0199
2014-05-20,31.7,5967.5777,21.6382,4.9419
2014-05-21,31.865,5998.6392,21.7509,4.9676
2014-05-22,34.465,6488.0936,23.5256,5.373
2014-05-23,33.99,6398.674,23.2014,5.2989
2014-05-27,33.765,6356.3174,23.0478,5.2638
2014-05-28,34.055,6410.9104,23.2457,5.309
2014-05-29,33.79,6361.0237,23.0648,5.2677
2014-05-30,33.46,6298.9007,22.8396,5.2163
2014-06-02,33.495,6305.4895,22.8635,5.2217
2014-06-03,33.85,6372.3188,23.1058,5.2771
2014-06-04,33.95,6391.144,23.1741,5.2927
2014-06-05,34.01,6402.4391,23.215,5.302
2014-06-06,34.24,6445.7369,23.372,5.3379
2014-06-09,34.315,6459.8558,23.4232,5.3496
2014-06-10,34.205,6439.1481,23.3481,5.3324
2014-06-11,34.005,6401.4978,23.2116,5.3012
2014-06-12,33.88,6377.2529,23.1263,5.2818
2014-06-13,33.86,6373.4883,23.1126,5.2786
2014-06-16,34.16,6429.9575,23.3174,5.3254
2014-06-17,34.245,6445.9571,23.3754,5.3387
2014-06-18,34.73,6537.2489,23.7065,5.4143
2014-06-19,34.79,6548.5428,23.7474,5.4236
2014-06-20,34.87,6563.6012,23.802,5.4361
2014-06-23,35.37,6657.7165,24.1433,5.514
2014-06-24,35.475,6677.4808,24.215,5.5304
2014-06-25,35.64,6708.5388,24.3276,5.5561
2014-06-26,35.425,6668.0692,24.1809,5.5226
2014-06-27,35.935,6764.0668,24.529,5.6021
2014-06-30,35.89,6755.5965,24.4983,5.5951
2014-07-01,36.205,6814.8891,24.7133,5.6442
2014-07-02,35.99,6774.4195,24.5666,5.6107
2014-07-03,36.175,6809.2422,24.6928,5.6395
2014-07-07,36.52,6874.1817,24.9283,5.6933
2014-07-08,36.485,6867.5937,24.9044,5.6879
2014-07-09,36.245,6822.4183,24.7406,5.6505
2014-07-10,35.58,6697.245,24.2867,5.5468
2014-07-11,35.885,6754.6553,24.4949,5.5943
2014-07-14,35.49,6680.3042,24.2253,5.5328
2014-07-15,35.11,6608.7766,23.9659,5.4735
2014-07-16,35.175,6621.0116,24.0102,5.4836
2014-07-17,34.615,6515.6024,23.628,5.3963
2014-07-18,34.995,6587.1301,23.8874,5.4556
2014-07-21,35.0,6588.0712,23.8908,5.4564
2014-07-22,34.9,6569.2482,23.8225,5.4408
2014-07-23,34.665,6525.014,23.6621,5.4041
2014-07-24,34.555,6504.3086,23.587,5.387
2014-07-25,34.345,6464.7802,23.4437,5.3543
2014-07-28,34.185,6434.6633,23.3345,5.3293
2014-07-29,33.99,6397.9583,23.2014,5.2989
2014-07-30,34.175,6432.781,23.3276,5.3277
2014-07-31,33.535,6312.3134,22.8908,5.228
2014-08-01,33.6,6324.5484,22.6263,5.327
2014-08-04,34.79,6548.5428,23.4276,5.5157
2014-08-05,34.55,6503.3674,23.266,5.4776
2014-08-06,34.735,6538.1901,23.3906,5.507
2014-08-07,34.745,6540.0724,23.3973,5.5086
2014-08-08,35.245,6634.1877,23.734,5.5878
2014-08-11,35.19,6623.835,23.697,5.5791
2014-08-12,35.15,6616.3058,23.67,5.5728
2014-08-13,35.23,6631.3643,23.7239,5.5855
2014-08-14,35.395,6662.4223,23.835,5.6116
2014-08-15,35.305,6645.4815,23.7744,5.5973
2014-08-18,35.995,6775.3607,24.2391,5.7067
2014-08-19,36.355,6843.1237,24.4815,5.7638
2014-08-20,36.435,6858.1821,24.5354,5.7765
2014-08-21,36.295,6831.8298,24.4411,5.7543
2014-08-22,37.15,6992.767,25.0168,5.8899
2014-08-25,37.27,7015.3547,25.0976,5.9089
2014-08-26,37.425,7044.5304,25.202,5.9335
2014-08-27,37.445,7048.295,25.2155,5.9366
2014-08-28,32.965,6205.0219,22.1987,5.2264
2014-08-29,32.885,6189.9635,22.1448,5.2137
2014-09-02,32.785,6171.1404,22.0774,5.1978
2014-09-03,32.415,6101.4951,21.8283,5.1392
2014-09-04,32.28,6076.084,21.7374,5.1178
2014-09-05,32.215,6063.849,21.6936,5.1074
2014-09-08,32.02,6027.144,21.5623,5.0765
