Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,48.68,3399.59,28.8033,3.7702
2014-01-03,49.12,3430.3176,29.0637,3.8043
2014-01-06,48.85,3411.4621,28.9039,3.7834
2014-01-07,49.22,3437.3012,29.1228,3.8121
2014-01-08,49.93,3486.8844,29.5429,3.867
2014-01-09,49.57,3461.7436,29.3299,3.8392
2014-01-10,49.69,3470.1239,29.4009,3.8485
2014-01-13,49.27,3440.793,29.1524,3.8159
2014-01-14,50.24,3508.5334,29.7264,3.8911
2014-01-15,50.47,3524.5955,29.8624,3.9089
2014-01-16,51.01,3562.3067,30.182,3.9507
2014-01-17,50.23,3507.835,29.7204,3.8903
2014-01-21,50.16,3502.9465,29.679,3.8849
2014-01-22,49.81,3478.5041,29.4719,3.8577
2014-01-23,49.63,3465.9337,29.3654,3.8438
2014-01-24,48.21,3366.7674,28.5252,3.7338
2014-01-27,47.33,3305.3122,28.0046,3.6657
2014-01-28,48.2,3366.069,28.5193,3.7331
2014-01-29,47.42,3311.5974,28.0578,3.6726
2014-01-30,48.17,3363.974,28.5016,3.7307
2014-01-31,47.45,3313.6924,28.0756,3.675
2014-02-03,46.32,3234.7784,27.4069,3.5874
2014-02-04,45.91,3206.1458,27.1644,3.5557
2014-02-05,45.84,3201.2573,27.1229,3.5503
2014-02-06,46.25,3229.8899,27.3655,3.582
2014-02-07,47.05,3285.7582,27.8389,3.644
2014-02-10,47.49,3316.4858,28.0992,3.6781
2014-02-11,47.85,3341.6266,28.3122,3.7059
2014-02-12,47.61,3324.8661,28.1702,3.6874
2014-02-13,48.49,3386.3213,28.6909,3.7555
2014-02-14,48.11,3359.7838,28.4661,3.7261
2014-02-18,48.69,3400.2884,28.8092,3.771
2014-02-19,47.74,3333.9447,28.2471,3.6974
2014-02-20,48.42,3381.4328,28.6495,3.7501
2014-02-21,48.12,3360.4822,28.472,3.7269
2014-02-24,47.34,3306.0105,28.0105,3.6664
2014-02-25,46.42,3241.7619,27.4661,3.5952
2014-02-26,46.2,3226.3981,27.3359,3.5782
2014-02-27,45.8,3221.504,27.0993,3.5472
2014-02-28,45.58,3206.0296,26.9691,3.5301
2014-03-03,45.1,3172.2671,26.6851,3.493
2014-03-04,46.62,3279.1816,27.5845,3.6107
2014-03-05,46.62,3279.1816,27.5845,3.6107
2014-03-06,46.81,3292.5459,27.6969,3.6254
2014-03-07,46.52,3272.1478,27.5253,3.6029
2014-03-10,46.3,3256.6733,27.3951,3.5859
2014-03-11,45.55,3203.9194,26.9513,3.5278
2014-03-12,45.91,3229.2413,27.1644,3.5557
2014-03-13,45.49,3199.6991,26.9158,3.5232
2014-03-14,44.75,3147.6486,26.478,3.4659
2014-03-17,45.2,3179.3009,26.7443,3.5007
2014-03-18,45.52,3201.8093,26.9336,3.5255
2014-03-19,45.22,3180.7077,26.7561,3.5023
2014-03-20,45.12,3173.6739,26.6969,3.4945
2014-03-21,44.47,3127.9538,26.3123,3.4442
2014-03-24,43.49,3059.0221,25.7325,3.3683
2014-03-25,43.79,3080.1236,25.91,3.3915
2014-03-26,42.86,3030.1051,25.3597,3.3195
2014-03-27,42.48,3003.2399,25.1349,3.29
2014-03-28,41.68,2946.6817,24.6615,3.2281
2014-03-31,44.05,3114.2354,26.6042,3.3276
2014-04-01,44.83,3169.3796,27.0753,3.3865
2014-04-02,45.22,3196.9517,27.3109,3.4159
2014-04-03,45.01,3182.1052,27.184,3.4001
2014-04-04,44.5,3146.0494,26.876,3.3615
2014-04-07,43.91,3104.3377,26.5197,3.317
2014-04-08,44.18,3123.4261,26.6827,3.3374
2014-04-09,45.46,3213.9192,27.4558,3.4341
2014-04-10,43.91,3104.3377,26.5197,3.317
2014-04-11,42.82,3027.2772,25.8614,3.2346
2014-04-14,43.05,3043.5376,26.0003,3.252
2014-04-15,43.03,3042.1237,25.9882,3.2505
2014-04-16,43.03,3042.1237,25.9882,3.2505
2014-04-17,43.76,3093.733,26.4291,3.3056
2014-04-21,43.51,3076.0586,26.2781,3.2868
2014-04-22,43.56,3079.5935,26.3083,3.2905
2014-04-23,42.8,3025.8632,25.8493,3.2331
2014-04-24,42.54,3007.4818,25.6923,3.2135
2014-04-25,42.05,2972.8399,25.3963,3.1765
2014-04-28,42.91,3033.64,25.9157,3.2414
2014-04-29,42.93,3035.0539,25.9278,3.2429
2014-04-30,43.38,3066.8679,26.1996,3.2769
2014-05-01,42.78,3024.4493,25.8372,3.2316
2014-05-02,43.58,3081.0075,26.3204,3.292
2014-05-05,43.5,3075.3516,26.2721,3.286
2014-05-06,43.1,3047.0725,26.0305,3.2558
2014-05-07,43.18,3052.7284,26.0788,3.2618
2014-05-08,42.45,2999.9236,25.6379,3.2067
2014-05-09,43.04,3041.6187,25.9942,3.2513
2014-05-12,44.07,3114.4083,26.6163,3.3291
2014-05-13,42.95,3035.2584,25.9399,3.2445
2014-05-14,42.0,2968.1223,25.3661,3.1727
2014-05-15,41.93,2963.1754,25.3238,3.1674
2014-05-16,42.1,2975.1893,25.4265,3.1802
2014-05-19,42.86,3028.8981,25.8855,3.2377
2014-05-20,41.7,2946.9214,25.1849,3.15
2014-05-21,42.26,2986.4964,25.5231,3.1923
2014-05-22,42.21,2982.9629,25.4929,3.1886
2014-05-23,42.87,3029.6048,25.8916,3.2384
