Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,117.0328,7853.8242,16.4555,3.5666
2014-01-03,115.9732,7782.7167,16.3065,3.5343
2014-01-06,115.9997,7784.4944,16.3102,3.5351
2014-01-07,116.3441,7807.6043,16.3586,3.5456
2014-01-08,116.5295,7820.0481,16.3847,3.5513
2014-01-09,117.3507,7875.1564,16.5002,3.5763
2014-01-10,117.1123,7859.1572,16.4667,3.569
2014-01-13,116.7414,7834.2696,16.4145,3.5577
2014-01-14,117.4831,7884.0449,16.5188,3.5803
2014-01-15,117.96,7916.0433,16.5858,3.5949
2014-01-16,117.3507,7875.1564,16.5002,3.5763
2014-01-17,117.5096,7885.8226,16.5225,3.5811
2014-01-21,118.6752,7964.0408,16.6864,3.6167
2014-01-22,120.0527,8056.4806,16.8801,3.6586
2014-01-23,118.8341,7974.7069,16.7088,3.6215
2014-01-24,115.7348,7766.7175,16.273,3.5271
2014-01-27,114.5692,7688.4992,16.1091,3.4915
2014-01-28,115.6288,7759.6067,16.2581,3.5238
2014-01-29,114.5957,7690.2769,16.1128,3.4923
2014-01-30,115.3374,7740.0522,16.2171,3.5149
2014-01-31,114.0659,7654.7232,16.0383,3.4762
2014-02-03,111.5494,7485.8428,15.6845,3.3995
2014-02-04,110.8606,7439.623,15.5876,3.3785
2014-02-05,111.4699,7480.5098,15.6733,3.3971
2014-02-06,110.6222,7423.6238,15.5541,3.3712
2014-02-07,112.9269,7578.2826,15.8782,3.4415
2014-02-10,113.9335,7645.8347,16.0197,3.4722
2014-02-11,115.3639,7741.8299,16.2208,3.5158
2014-02-12,110.3573,7405.8469,15.5169,3.3632
2014-02-13,109.6686,7359.627,15.42,3.3422
2014-02-14,109.8275,7370.2931,15.4424,3.347
2014-02-18,109.9335,7377.4039,15.4573,3.3503
2014-02-19,110.6752,7427.1791,15.5616,3.3729
2014-02-20,112.7149,7564.0611,15.8484,3.435
2014-02-21,111.9732,7514.2858,15.7441,3.4124
2014-02-24,111.7613,7546.1453,15.7143,3.406
2014-02-25,111.258,7512.1617,15.6435,3.3906
2014-02-26,108.3441,7315.4146,15.2338,3.3018
2014-02-27,109.2712,7384.6406,15.3642,3.3301
2014-02-28,109.0328,7368.5287,15.3306,3.3228
2014-03-03,108.7679,7350.6265,15.2934,3.3147
2014-03-04,110.6752,7479.5221,15.5616,3.3729
2014-03-05,112.1322,7577.984,15.7664,3.4173
2014-03-06,114.5692,7742.6838,16.1091,3.4915
2014-03-07,114.0659,7708.6697,16.0383,3.4762
2014-03-10,113.3242,7658.5437,15.934,3.4536
2014-03-11,113.854,7694.348,16.0085,3.4697
2014-03-12,113.3507,7660.3339,15.9378,3.4544
2014-03-13,113.1653,7647.8024,15.9117,3.4487
2014-03-14,112.2911,7588.7253,15.7888,3.4221
2014-03-17,113.2182,7651.3828,15.9191,3.4504
2014-03-18,114.6222,7746.2643,16.1165,3.4931
2014-03-19,113.7745,7688.9773,15.9973,3.4673
2014-03-20,114.5427,7740.8936,16.1054,3.4907
2014-03-21,114.6222,7746.2643,16.1165,3.4931
2014-03-24,112.3971,7595.8861,15.8037,3.4253
2014-03-25,114.0129,7705.0893,16.0309,3.4746
2014-03-26,112.5825,7608.4176,15.8297,3.431
2014-03-27,112.8474,7626.3198,15.867,3.4391
2014-03-28,113.1918,7649.5926,15.9154,3.4496
2014-03-31,116.9004,7900.2228,17.0393,3.2384
2014-04-01,117.0858,7912.7543,17.0663,3.2436
2014-04-02,116.6355,7882.3207,17.0007,3.2311
2014-04-03,116.9533,7903.8033,17.047,3.2399
2014-04-04,115.5494,7808.9218,16.8423,3.201
2014-04-07,113.8805,7696.1382,16.5991,3.1548
2014-04-08,113.3242,7658.5437,16.518,3.1393
2014-04-09,113.9335,7699.7186,16.6068,3.1562
2014-04-10,112.7679,7620.9491,16.4369,3.1239
2014-04-11,110.6487,7477.7319,16.128,3.0652
2014-04-14,111.099,7508.1655,16.1937,3.0777
2014-04-15,111.0196,7502.7949,16.1821,3.0755
2014-04-16,111.9997,7569.0329,16.325,3.1027
2014-04-17,111.9202,7563.6622,16.3134,3.1005
2014-04-21,112.1851,7581.5644,16.352,3.1078
2014-04-22,113.4567,7667.4948,16.5373,3.143
2014-04-23,113.6156,7678.236,16.5605,3.1474
2014-04-24,113.1918,7649.5926,16.4987,3.1357
2014-04-25,114.1984,7717.6208,16.6454,3.1636
2014-04-28,113.854,7694.348,16.5952,3.154
2014-04-29,114.4368,7733.7327,16.6802,3.1702
2014-04-30,108.5825,7338.095,15.8269,3.008
2014-05-01,110.4103,7461.6199,16.0933,3.0586
2014-05-02,109.1918,7379.27,15.9157,3.0249
2014-05-05,109.1388,7375.6896,15.908,3.0234
2014-05-06,108.609,7339.8852,15.8307,3.0087
2014-05-07,109.9865,7432.9765,16.0315,3.0469
2014-05-08,109.5891,7406.1232,15.9736,3.0359
2014-05-09,110.1719,7438.1991,16.0585,3.052
2014-05-12,110.5428,7463.2376,16.1126,3.0623
2014-05-13,110.6752,7472.1799,16.1319,3.066
2014-05-14,110.3043,7447.1414,16.0778,3.0557
2014-05-15,109.7745,7411.3723,16.0006,3.041
2014-05-16,110.9666,7491.8529,16.1744,3.074
