Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,27.51,13690.0625,14.4398,1.4321
2014-01-03,27.5,13685.0861,14.4346,1.4316
2014-01-06,27.35,13610.4402,14.3558,1.4238
2014-01-07,27.82,13844.3308,14.6025,1.4482
2014-01-08,27.71,13789.5904,14.5448,1.4425
2014-01-09,27.82,13844.3308,14.6025,1.4482
2014-01-10,28.25,14058.3158,14.8282,1.4706
2014-01-13,28.04,13953.8115,14.718,1.4597
2014-01-14,28.12,13993.6226,14.76,1.4638
2014-01-15,28.02,13943.8587,14.7075,1.4586
2014-01-16,28.2,14033.4338,14.802,1.468
2014-01-17,28.2,14033.4338,14.802,1.468
2014-01-21,28.45,14157.8437,14.9332,1.481
2014-01-22,28.55,14207.6076,14.9857,1.4862
2014-01-23,28.48,14172.7728,14.949,1.4826
2014-01-24,28.06,13963.7643,14.7285,1.4607
2014-01-27,28.18,14023.481,14.7915,1.467
2014-01-28,28.2,14033.4338,14.802,1.468
2014-01-29,28.16,14013.5282,14.781,1.4659
2014-01-30,28.73,14297.1827,15.0802,1.4956
2014-01-31,28.91,14386.7578,15.1747,1.505
2014-02-03,28.61,14237.466,15.0172,1.4893
2014-02-04,28.42,14142.9145,14.9175,1.4795
2014-02-05,28.27,14068.2685,14.8387,1.4716
2014-02-06,28.46,14162.8201,14.9385,1.4815
2014-02-07,28.63,14247.4188,15.0277,1.4904
2014-02-10,28.75,14307.1355,15.0907,1.4966
2014-02-11,29.01,14436.5218,15.2271,1.5102
2014-02-12,29.12,14491.2621,15.2849,1.5159
2014-02-13,29.43,14645.5304,15.4476,1.532
2014-02-14,29.65,14755.0111,15.5631,1.5435
2014-02-18,29.69,14774.9166,15.5841,1.5456
2014-02-19,29.54,14700.2707,15.5053,1.5378
2014-02-20,29.83,14844.5862,15.6576,1.5529
2014-02-21,30.05,14973.5597,15.773,1.5643
2014-02-24,29.98,14938.6796,15.7363,1.5607
2014-02-25,30.0,14948.6453,15.7468,1.5617
2014-02-26,29.91,14903.7994,15.6996,1.557
2014-02-27,29.93,14913.7652,15.71,1.5581
2014-02-28,30.29,15093.1489,15.899,1.5768
2014-03-03,30.01,14953.6282,15.752,1.5622
2014-03-04,30.27,15083.1831,15.8885,1.5758
2014-03-05,30.03,14963.594,15.7625,1.5633
