Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,53.9938,33439.8722,16.9876,11.043
2014-01-03,54.3317,33649.1776,17.0939,11.1122
2014-01-06,54.2886,33622.4578,17.0803,11.1033
2014-01-07,55.0508,34094.5082,17.3201,11.2592
2014-01-08,55.0292,34081.1482,17.3133,11.2548
2014-01-09,53.965,33422.059,16.9785,11.0372
2014-01-10,53.9434,33408.6991,16.9717,11.0328
2014-01-13,52.7858,32691.7169,16.6075,10.796
2014-01-14,52.6563,32611.5574,16.5668,10.7695
2014-01-15,52.6132,32584.8375,16.5532,10.7607
2014-01-16,51.9876,32197.4,16.3564,10.6327
2014-01-17,51.8438,32108.3338,16.3111,10.6033
2014-01-21,51.1607,31685.2698,16.0962,10.4636
2014-01-22,51.2973,31769.8826,16.1392,10.4916
2014-01-23,50.19,31084.0735,15.7908,10.2651
2014-01-24,49.4853,30647.6496,15.5691,10.121
2014-01-27,48.7806,30211.2256,15.3474,9.9768
2014-01-28,49.0395,30371.5446,15.4288,10.0298
2014-01-29,47.8243,29618.936,15.0465,9.7812
2014-01-30,47.889,29659.0157,15.0669,9.7945
2014-01-31,48.2845,29903.9475,15.1913,9.8754
2014-02-03,47.5726,29463.0703,14.9673,9.7298
2014-02-04,51.815,32090.5206,16.3021,10.5974
2014-02-05,50.7221,31413.6182,15.9582,10.3739
2014-02-06,51.1751,31694.1764,16.1007,10.4666
2014-02-07,51.5777,31943.5615,16.2274,10.5489
2014-02-10,52.3184,32402.252,16.4605,10.7004
2014-02-11,52.6419,32602.6508,16.5623,10.7666
2014-02-12,52.8577,32736.2499,16.6301,10.8107
2014-02-13,53.0806,32874.3024,16.7003,10.8563
2014-02-14,52.7929,32696.1702,16.6098,10.7974
2014-02-18,52.6635,32440.2865,16.569,10.771
2014-02-19,52.3615,32254.2554,16.474,10.7092
2014-02-20,52.4766,32325.1244,16.5102,10.7327
2014-02-21,52.3831,32267.5433,16.4808,10.7136
2014-02-24,52.4694,32320.6951,16.508,10.7313
2014-02-25,52.6923,32458.0038,16.5781,10.7769
2014-02-26,52.7714,32506.7262,16.603,10.793
2014-02-27,53.059,32683.8987,16.6935,10.8519
2014-02-28,53.2675,32812.3488,16.7591,10.8945
2014-03-03,52.9296,32604.1711,16.6527,10.8254
2014-03-04,53.6702,33060.3903,16.8858,10.9769
2014-03-05,53.7924,33135.6886,16.9242,11.0019
2014-03-06,55.5757,34234.1582,17.4853,11.3666
2014-03-07,55.4822,34176.5771,17.4559,11.3475
2014-03-10,55.6548,34282.8806,17.5102,11.3828
2014-03-11,55.6044,34251.8755,17.4943,11.3725
2014-03-12,55.4534,34158.8599,17.4468,11.3416
2014-03-13,54.5259,33587.4785,17.155,11.1519
2014-03-14,53.9866,33255.2801,16.9853,11.0416
2014-03-17,54.0153,33272.9973,16.9944,11.0475
2014-03-18,53.9722,33246.4215,16.9808,11.0386
2014-03-19,53.3538,32865.5006,16.7862,10.9122
2014-03-20,54.1088,33330.5784,17.0238,11.0666
2014-03-21,54.1232,33339.437,16.2673,10.5154
2014-03-24,53.5911,32937.8566,16.1074,10.412
2014-03-25,53.0518,32606.4009,15.9453,10.3072
2014-03-26,53.3322,32778.7579,16.0296,10.3617
2014-03-27,52.6348,32350.0752,15.8199,10.2262
2014-03-28,53.3538,32792.0161,16.0361,10.3659
2014-03-31,54.2095,33317.9258,16.2932,10.5321
2014-04-01,54.6912,33614.0262,16.438,10.6257
2014-04-02,55.4463,34078.0642,16.665,10.7724
2014-04-03,54.9645,33781.9638,16.5202,10.6788
2014-04-04,54.2454,33340.0229,16.3041,10.5391
2014-04-07,54.0944,33247.2153,16.2587,10.5098
2014-04-08,54.871,33724.5115,16.4921,10.6607
2014-04-09,55.2305,33945.4819,16.6001,10.7305
2014-04-10,54.0657,33229.5376,16.25,10.5042
2014-04-11,53.476,32867.1461,16.0728,10.3896
2014-04-14,54.2382,33335.6034,16.3019,10.5377
2014-04-15,54.267,33353.2811,16.3105,10.5433
2014-04-16,55.2665,33967.579,16.6109,10.7375
2014-04-17,54.8926,33737.7697,16.4986,10.6648
2014-04-21,54.6553,33591.9292,16.4272,10.6187
2014-04-22,55.7123,34241.5823,16.7449,10.8241
2014-04-23,55.2305,33945.4819,16.6001,10.7305
2014-04-24,55.2162,33936.6431,16.5958,10.7277
2014-04-25,55.8489,34325.5511,16.786,10.8506
2014-04-28,55.8633,34290.841,16.7903,10.8534
2014-04-29,55.3528,33977.461,16.6369,10.7543
2014-04-30,55.36,33981.8748,16.639,10.7557
2014-05-01,54.8279,33655.2533,16.4791,10.6523
2014-05-02,54.7919,33633.1843,16.4683,10.6453
2014-05-05,54.8638,33677.3223,16.4899,10.6593
2014-05-06,54.5402,33478.7011,16.3927,10.5964
2014-05-07,54.4827,33443.3907,16.3754,10.5852
2014-05-08,54.605,33518.4254,16.4121,10.609
2014-05-09,54.8854,33690.5637,16.4964,10.6634
2014-05-12,54.7416,33602.2877,16.4532,10.6355
2014-05-13,54.9861,33752.357,16.5267,10.683
2014-05-14,54.5474,33483.115,16.3948,10.5978
2014-05-15,53.8356,33046.1484,16.1809,10.4595
2014-05-16,53.7924,33019.6656,16.1679,10.4511
2014-05-19,53.6414,32926.9757,16.1225,10.4218
2014-05-20,53.6846,32953.4585,16.1355,10.4301
2014-05-21,53.6918,32957.8723,16.1376,10.4315
2014-05-22,53.8356,33046.1484,16.1809,10.4595
2014-05-23,53.7637,33002.0103,16.1593,10.4455
2014-05-27,54.7703,33619.9429,16.4618,10.6411
2014-05-28,55.324,33959.8058,16.6282,10.7487
2014-05-29,55.1658,33862.7021,16.5807,10.7179
2014-05-30,55.5901,34123.1165,16.7082,10.8004
2014-06-02,56.1725,34480.6346,16.8833,10.9135
2014-06-03,56.5536,34714.5662,16.9978,10.9876
2014-06-04,56.5895,34736.6352,17.0086,10.9945
2014-06-05,56.8844,34917.6012,17.0972,11.0518
2014-06-06,57.5171,35306.0159,17.2874,11.1748
2014-06-09,57.3949,35230.9812,17.2507,11.151
2014-06-10,57.0929,35045.6015,17.1599,11.0923
2014-06-11,57.1864,35102.9809,17.188,11.1105
2014-06-12,56.6399,34767.5318,17.0237,11.0043
2014-06-13,56.9706,34970.5668,16.4043,11.072
2014-06-16,56.8772,34913.1874,16.3774,11.0539
2014-06-17,57.1576,35085.3257,16.4581,11.1084
2014-06-18,57.2942,35169.188,16.4975,11.1349
2014-06-19,57.7904,35473.7404,16.6403,11.2313
2014-06-20,57.8838,35531.1199,16.6672,11.2495
2014-06-23,57.9629,35579.6717,16.69,11.2649
2014-06-24,57.9558,35575.2579,16.688,11.2635
2014-06-25,58.948,36184.3628,16.9737,11.4563
2014-06-26,58.7611,36069.6039,16.9198,11.42
2014-06-27,58.8977,36153.4662,16.9592,11.4466
2014-06-30,58.3872,35840.0861,16.8122,11.3473
2014-07-01,58.6317,35990.1555,16.8826,11.3948
2014-07-02,58.9049,36157.88,16.9613,11.4479
2014-07-03,59.3148,36409.4668,17.0793,11.5276
2014-07-07,59.171,36321.1907,17.0379,11.4997
2014-07-08,59.1781,36325.6045,17.0399,11.5011
2014-07-09,59.8469,36736.0883,17.2325,11.631
2014-07-10,59.3004,36400.6392,17.0751,11.5248
2014-07-11,59.2141,36347.6736,17.0503,11.508
2014-07-14,59.89,36762.5711,17.2449,11.6394
2014-07-15,59.8109,36714.0193,17.2221,11.624
2014-07-16,59.473,36506.5705,17.1248,11.5583
2014-07-17,55.3743,33990.7024,15.9447,10.7618
2014-07-18,55.6692,34171.6683,16.0295,10.8191
2014-07-21,53.3035,32719.5269,15.3484,10.3593
2014-07-22,53.814,32903.337,15.4954,10.4586
2014-07-23,53.7205,32846.1826,15.4684,10.4404
2014-07-24,53.0949,32463.6879,15.2883,10.3188
2014-07-25,53.2388,32551.6178,15.3297,10.3468
2014-07-28,53.325,32604.3757,15.3546,10.3635
