Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,89.4841,15771.275,15.9683,2.4128
2014-01-03,89.8722,15839.6674,16.0375,2.4233
2014-01-06,90.4543,15942.2559,16.1414,2.439
2014-01-07,92.2587,16260.2803,16.4634,2.4877
2014-01-08,94.5191,16658.6657,16.8668,2.5486
2014-01-09,93.5878,16494.5241,16.7006,2.5235
2014-01-10,93.7915,16530.4301,16.7369,2.529
2014-01-13,92.7923,16354.3198,16.5586,2.502
2014-01-14,93.9079,16550.9478,16.7577,2.5321
2014-01-15,94.7907,16706.5404,16.9152,2.5559
2014-01-16,94.1504,16593.693,16.801,2.5387
2014-01-17,93.0639,16402.1944,16.6071,2.5094
2014-01-21,93.5684,16491.1045,16.6971,2.523
2014-01-22,93.5296,16484.2652,16.6902,2.5219
2014-01-23,92.5303,16308.1549,16.5119,2.495
2014-01-24,90.5707,15962.7736,16.1622,2.4421
2014-01-27,90.4252,15937.1265,16.1362,2.4382
2014-01-28,91.4632,16120.076,16.3214,2.4662
2014-01-29,90.4349,15938.8363,16.1379,2.4385
2014-01-30,90.2602,15908.0597,16.1068,2.4338
2014-01-31,91.1625,16067.0719,16.2678,2.4581
2014-02-03,88.1551,15537.0312,15.7311,2.377
2014-02-04,88.5916,15613.9726,15.809,2.3888
2014-02-05,89.4259,15761.0162,15.9579,2.4113
2014-02-06,89.7849,15824.2791,16.0219,2.421
2014-02-07,91.6669,16155.982,16.3578,2.4717
2014-02-10,92.6953,16337.2217,16.5413,2.4994
2014-02-11,92.8796,16369.7081,16.5742,2.5044
2014-02-12,92.5497,16311.5746,16.5153,2.4955
2014-02-13,93.2482,16434.6808,16.64,2.5143
2014-02-14,93.1997,16426.1317,16.6313,2.513
2014-02-18,93.1318,16414.1631,16.6192,2.5112
2014-02-19,91.8706,16191.888,16.3941,2.4772
2014-02-20,92.4527,16294.4765,16.498,2.4929
2014-02-21,92.5497,16311.5746,16.5153,2.4955
2014-02-24,92.7341,16344.0609,16.5482,2.5005
2014-02-25,92.2393,16256.8607,16.4599,2.4871
2014-02-26,92.3557,16277.3784,16.4807,2.4903
2014-02-27,92.4042,16285.9274,16.4894,2.4916
2014-02-28,91.0363,15888.6215,16.2453,2.4547
2014-03-03,91.5796,15983.4385,16.3422,2.4693
2014-03-04,94.1504,16432.1261,16.801,2.5387
2014-03-05,94.2572,16450.7509,16.82,2.5415
2014-03-06,95.3146,16635.3054,17.0087,2.5701
2014-03-07,95.1303,16603.1354,16.9758,2.5651
2014-03-10,95.4116,16652.237,17.026,2.5727
2014-03-11,94.9362,16569.2722,16.9412,2.5599
2014-03-12,93.9176,16391.4903,16.7594,2.5324
2014-03-13,91.6281,15991.9043,16.3509,2.4707
2014-03-14,91.3371,15941.1095,16.2989,2.4628
2014-03-17,91.4923,15968.2001,16.3266,2.467
2014-03-18,92.346,16117.1982,16.479,2.49
2014-03-19,91.8998,16039.3128,16.3993,2.478
2014-03-20,91.9386,16046.0855,16.4063,2.479
2014-03-21,90.7453,15837.8267,16.1933,2.4469
2014-03-24,89.3095,15587.2389,15.9371,2.4081
2014-03-25,90.202,15672.5539,16.0964,2.4322
2014-03-26,89.8237,15606.8162,16.0289,2.422
2014-03-27,89.9886,15635.4711,16.0583,2.4264
2014-03-28,90.9102,15795.6015,16.2228,2.4513
2014-03-31,91.7542,15942.2473,16.2887,2.4678
2014-04-01,92.4624,16065.2948,16.4144,2.4868
2014-04-02,93.6848,16277.6783,16.6314,2.5197
2014-04-03,95.043,16513.66,16.8726,2.5562
2014-04-04,93.7818,16294.5342,16.6487,2.5223
