Date,Price,Market Cap,PE Ratio,PB Ratio
2014-01-02,32.36,16180.2212,22.8572,17.213
2014-01-03,32.05,16025.2191,22.6382,17.0481
2014-01-06,31.98,15990.2186,22.5887,17.0109
2014-01-07,32.1,16050.2194,22.6735,17.0747
2014-01-08,31.74,15870.217,22.4192,16.8832
2014-01-09,31.96,15980.2185,22.5746,17.0003
2014-01-10,32.54,16270.2224,22.9843,17.3088
2014-01-13,31.78,15890.2172,22.4475,16.9045
2014-01-14,31.85,15925.2177,22.4969,16.9417
2014-01-15,31.81,15905.2175,22.4687,16.9205
2014-01-16,32.0,16000.2188,22.6029,17.0215
2014-01-17,31.73,15865.2169,22.4122,16.8779
2014-01-21,31.27,15635.2138,22.0872,16.6332
2014-01-22,31.46,15730.2151,22.2215,16.7343
2014-01-23,31.74,15870.217,22.4192,16.8832
2014-01-24,31.46,15730.2151,22.2215,16.7343
2014-01-27,31.36,15680.2144,22.1508,16.6811
2014-01-28,31.44,15720.2149,22.2073,16.7237
2014-01-29,30.78,15390.2104,21.7411,16.3726
2014-01-30,30.67,15335.2097,21.6634,16.3141
2014-01-31,30.36,15180.2075,21.4445,16.1492
2014-02-03,30.37,15185.2076,21.4515,16.1545
2014-02-04,30.23,15115.2067,21.3527,16.08
2014-02-05,30.13,15065.206,21.282,16.0268
2014-02-06,30.05,15025.2054,21.2255,15.9843
2014-02-07,30.7,15350.2099,21.6846,16.33
2014-02-10,31.14,15570.2129,21.9954,16.5641
2014-02-11,29.13,14565.1991,20.5757,15.4949
2014-02-12,30.0,15000.2051,21.1902,15.9577
2014-02-13,29.67,14835.2028,20.9571,15.7821
2014-02-14,29.88,14940.2043,21.1054,15.8939
2014-02-18,30.27,15135.2069,21.3809,16.1013
2014-02-19,29.75,14875.2034,21.0136,15.8247
2014-02-20,29.97,14985.2049,21.169,15.9417
2014-02-21,29.61,14805.2024,20.9147,15.7502
2014-02-24,29.7,14850.203,20.9783,15.7981
2014-02-25,30.13,15065.206,21.282,16.0268
2014-02-26,30.4,15200.2078,21.4727,16.1705
2014-02-27,30.72,15360.21,21.6988,16.3407
2014-02-28,31.02,15510.2121,21.9107,16.5002
2014-03-03,30.99,15495.2118,21.8895,16.4843
2014-03-04,30.89,15445.2112,21.8188,16.4311
2014-03-05,30.72,15360.21,21.6988,16.3407
2014-03-06,30.78,15390.2104,21.7411,16.3726
2014-03-07,30.58,15290.209,21.5999,16.2662
2014-03-10,30.35,15175.2075,21.4374,16.1439
2014-03-11,30.28,15140.207,21.388,16.1066
2014-03-12,29.7,14850.203,20.9783,15.7981
2014-03-13,29.25,14625.2,20.6604,15.5587
2014-03-14,29.42,14710.2011,20.7805,15.6492
2014-03-17,29.38,14690.2008,20.7523,15.6279
2014-03-18,29.28,14640.2002,20.6816,15.5747
2014-03-19,29.91,14955.2045,21.1266,15.9098
2014-03-20,30.09,15045.2057,21.2538,16.0056
2014-03-21,29.26,14630.2,20.6675,15.5641
2014-03-24,29.14,14570.1992,20.5827,15.5002
2014-03-25,29.26,14630.2,20.6675,15.5641
2014-03-26,29.21,14605.1997,20.6322,15.5375
2014-03-27,29.3,14650.2003,20.6958,15.5853
2014-03-28,29.01,14505.1983,20.1516,13.4949
2014-03-31,28.94,14470.1978,20.1029,13.4623
2014-04-01,29.35,14675.2006,20.3877,13.6531
2014-04-02,29.62,14831.6058,20.5753,13.7787
2014-04-03,29.62,14831.6058,20.5753,13.7787
2014-04-04,29.32,14681.3869,20.3669,13.6391
2014-04-07,29.0,14521.1535,20.1446,13.4903
2014-04-08,29.15,14596.2629,20.2488,13.56
2014-04-09,29.06,14551.1973,20.1863,13.5182
2014-04-10,28.86,14451.0514,20.0474,13.4251
2014-04-11,28.4,14220.7158,19.7278,13.2111
2014-04-14,28.48,14260.7742,19.7834,13.2484
2014-04-15,28.55,14295.8253,19.832,13.2809
2014-04-16,28.53,14285.8107,19.8181,13.2716
2014-04-17,28.6,14320.8617,19.8668,13.3042
2014-04-21,29.03,14536.1754,20.1655,13.5042
2014-04-22,29.89,14966.8027,20.7629,13.9043
2014-04-23,29.39,14716.438,20.4155,13.6717
2014-04-24,29.89,14966.8027,20.7629,13.9043
2014-04-25,30.16,15101.9996,20.9504,14.0299
2014-04-28,30.4,15222.1747,21.1171,14.1415
2014-04-29,30.53,15287.2695,21.2074,14.202
2014-04-30,30.26,15152.0726,21.0199,14.0764
2014-05-01,30.31,15177.1091,21.0546,14.0996
2014-05-02,30.64,15342.3498,21.2838,14.2531
2014-05-05,30.53,15287.2695,21.2074,14.202
2014-05-06,30.89,15467.5321,21.4575,14.3694
2014-05-07,30.65,15347.3571,21.2908,14.2578
2014-05-08,30.48,15262.2331,21.1727,14.1787
2014-05-09,30.54,15292.2768,21.2144,14.2066
2014-05-12,30.81,15427.4738,21.4019,14.3322
2014-05-13,30.73,15396.3039,21.3464,14.295
2014-05-14,30.64,15351.2123,21.2838,14.2531
2014-05-15,30.46,15261.0289,21.1588,14.1694
2014-05-16,30.6,15331.1715,21.2561,14.2345
2014-05-19,30.46,15261.0289,21.1588,14.1694
2014-05-20,30.28,15170.8455,21.0338,14.0857
2014-05-21,30.42,15240.9881,21.131,14.1508
2014-05-22,30.33,15195.8965,21.0685,14.1089
2014-05-23,30.53,15296.1002,21.2074,14.202
2014-05-27,30.7,15381.2734,21.3255,14.2811
2014-05-28,30.48,15271.0493,21.1727,14.1787
2014-05-29,30.72,15391.2938,21.3394,14.2904
2014-05-30,30.7,15381.2734,21.3255,14.2811
2014-06-02,30.92,15491.4975,21.4783,14.3834
2014-06-03,31.25,15656.8336,21.7076,14.5369
2014-06-04,31.37,15716.9559,21.7909,14.5927
2014-06-05,31.61,15837.2004,21.9576,14.7044
2014-06-06,31.74,15902.3328,22.0479,14.7648
2014-06-09,32.01,16037.6078,22.2355,14.8904
2014-06-10,32.5,16283.107,22.5759,15.1184
2014-06-11,32.13,16097.7301,22.3189,14.9463
2014-06-12,31.99,16027.5875,22.2216,14.8811
2014-06-13,32.12,16092.7199,22.3119,14.9416
2014-06-16,32.13,16097.7301,22.3189,14.9463
2014-06-17,32.81,16438.4228,22.7912,15.2626
2014-06-18,32.89,16478.5043,22.8468,15.2998
2014-06-19,32.55,16308.1579,22.6106,15.1416
2014-06-20,32.46,16263.0662,22.5481,15.0998
2014-06-23,32.64,16353.2496,22.6731,15.1835
2014-06-24,32.37,16217.9746,22.4856,15.0579
2014-06-25,32.37,16217.9746,22.4856,15.0579
2014-06-26,32.24,16152.8421,22.3953,14.9974
2014-06-27,32.38,16222.9848,22.1897,12.8759
2014-06-30,32.27,16167.8727,22.1143,12.8321
2014-07-01,32.51,16288.1172,22.2788,12.9276
2014-07-02,32.74,16403.3515,22.4364,13.019
2014-07-03,32.91,16488.5247,22.5529,13.0866
2014-07-07,32.56,16313.1681,22.3131,12.9475
2014-07-08,32.48,16273.0866,22.2583,12.9156
2014-07-09,32.46,16263.0662,22.2445,12.9077
2014-07-10,32.52,16293.1274,22.2857,12.9315
2014-07-11,32.37,16217.9746,22.1829,12.8719
2014-07-14,32.73,16398.3413,22.4296,13.0151
2014-07-15,32.39,16227.9949,22.1966,12.8799
2014-07-16,32.63,16348.2394,22.361,12.9753
2014-07-17,32.21,16137.8116,22.0732,12.8083
2014-07-18,32.69,16378.3005,22.4022,12.9991
2014-07-21,32.85,16458.4635,22.5118,13.0628
2014-07-22,32.87,16468.4839,22.5255,13.0707
2014-07-23,32.84,16453.4533,22.505,13.0588
2014-07-24,32.89,16478.5043,22.5392,13.0787
2014-07-25,32.82,16443.433,22.4913,13.0508
2014-07-28,32.86,16463.4737,22.5187,13.0667
2014-07-29,33.03,16548.6469,22.6352,13.1343
2014-07-30,33.14,16603.7589,22.7105,13.1781
2014-07-31,32.91,16488.5247,22.5529,13.0866
2014-08-01,32.74,16403.3515,22.4364,13.019
2014-08-04,33.24,16653.8608,22.7791,13.2179
2014-08-05,32.21,16137.8116,22.0732,12.8083
2014-08-06,32.3,16182.9033,22.1349,12.8441
2014-08-07,31.79,15927.3837,21.7854,12.6413
2014-08-08,32.32,16192.9236,22.1486,12.852
2014-08-11,32.6,16333.2089,22.3405,12.9634
2014-08-12,32.45,16263.7255,22.2377,12.9037
2014-08-13,32.87,16474.2267,22.5255,13.0707
2014-08-14,33.07,16574.4654,22.6626,13.1503
2014-08-15,33.69,16885.2053,23.0875,13.3968
2014-08-18,33.93,17005.4917,23.2519,13.4922
2014-08-19,34.52,17301.1958,23.6562,13.7268
2014-08-20,34.79,17436.518,23.8413,13.8342
2014-08-21,34.89,17486.6374,23.9098,13.874
2014-08-22,34.89,17486.6374,23.9098,13.874
2014-08-25,34.9,17491.6493,23.9167,13.878
2014-08-26,35.13,17606.9238,24.0743,13.9694
2014-08-27,35.34,17712.1744,24.2182,14.0529
2014-08-28,35.33,17707.1625,24.2113,14.0489
2014-08-29,35.44,17762.2937,24.2867,14.0927
2014-09-02,35.48,17782.3415,24.3141,14.1086
2014-09-03,35.76,17922.6756,24.506,14.2199
2014-09-04,35.51,17797.3773,24.3347,14.1205
2014-09-05,36.04,18063.0098,24.6979,14.3313
2014-09-08,36.28,18183.2962,24.8624,14.4267
2014-09-09,36.18,18133.1768,24.7938,14.3869
2014-09-10,36.24,18163.2484,24.8349,14.4108
2014-09-11,36.27,18178.2843,24.8555,14.4227
2014-09-12,36.18,18133.1768,24.7938,14.3869
2014-09-15,36.27,18178.2843,24.8555,14.4227
2014-09-16,36.49,18288.5468,25.0063,14.5102
2014-09-17,36.65,18368.7377,25.1159,14.5738
2014-09-18,36.7,18393.7974,25.1502,14.5937
2014-09-19,37.2,18644.3941,25.4928,14.7925
2014-09-22,36.62,18353.7019,25.0954,14.5619
2014-09-23,35.88,17982.8188,24.5882,14.2676
2014-09-24,36.58,18333.6542,25.0679,14.546
2014-09-25,36.3,18193.3201,24.8761,14.4347
2014-09-26,36.63,18358.7139,23.9585,13.4595
2014-09-29,36.79,18438.9048,24.0632,13.5183
2014-09-30,36.95,18519.0958,24.1678,13.5771
2014-10-01,36.45,18268.4991,23.8408,13.3934
2014-10-02,36.91,18499.048,24.1417,13.5624
2014-10-03,37.67,18879.955,24.6387,13.8417
2014-10-06,37.66,18874.9431,24.6322,13.838
2014-10-07,36.71,18398.8093,24.0108,13.4889
2014-10-08,37.55,18819.8118,24.5603,13.7976
2014-10-09,37.02,18554.1793,24.2136,13.6028
2014-10-10,36.68,18383.7735,23.9912,13.4779
2014-10-13,35.57,17827.4489,23.2652,13.07
